month_start,scenario,pnl_line,statement_section,sort_order,amount_usd
2024-03-01,Actual,"General & Administrative","Operating Expense",160,1560317.59
2024-03-01,Actual,"Depreciation & Amortization",D&A,230,166618.12
2024-04-01,Actual,"Subscription Revenue",Revenue,10,7722654.21
2024-04-01,Actual,"Professional Services Revenue",Revenue,20,1638440.68
2024-04-01,Actual,"Cost of Subscription","Cost of Revenue",40,1796841.67
2024-04-01,Actual,"Cost of Services","Cost of Revenue",60,1224953.98
2024-04-01,Actual,"Sales & Marketing","Operating Expense",100,2086415.05
2024-04-01,Actual,"Research & Development","Operating Expense",140,2225179.38
2024-04-01,Actual,"General & Administrative","Operating Expense",160,1494561.17
2024-04-01,Actual,"Depreciation & Amortization",D&A,230,168499.71
2024-05-01,Actual,"Subscription Revenue",Revenue,10,7880543.63
2024-05-01,Actual,"Professional Services Revenue",Revenue,20,1383491.55
2024-05-01,Actual,"Cost of Subscription","Cost of Revenue",40,1819167.18
2024-05-01,Actual,"Cost of Services","Cost of Revenue",60,1215727.27
2024-05-01,Actual,"Sales & Marketing","Operating Expense",100,2099328.75
2024-05-01,Actual,"Research & Development","Operating Expense",140,2225889.89
2024-05-01,Actual,"General & Administrative","Operating Expense",160,1462746.14
2024-05-01,Actual,"Depreciation & Amortization",D&A,230,166752.63
2024-06-01,Actual,"Subscription Revenue",Revenue,10,7941952.97
2024-06-01,Actual,"Professional Services Revenue",Revenue,20,1668168.85
2024-06-01,Actual,"Cost of Subscription","Cost of Revenue",40,1850096.0
2024-06-01,Actual,"Cost of Services","Cost of Revenue",60,1256466.19
2024-06-01,Actual,"Sales & Marketing","Operating Expense",100,2120686.33
2024-06-01,Actual,"Research & Development","Operating Expense",140,2197207.65
2024-06-01,Actual,"General & Administrative","Operating Expense",160,1478506.26
2024-06-01,Actual,"Depreciation & Amortization",D&A,230,172982.19
2024-07-01,Actual,"Subscription Revenue",Revenue,10,7968586.68
2024-07-01,Actual,"Professional Services Revenue",Revenue,20,1261593.1
2024-07-01,Actual,"Cost of Subscription","Cost of Revenue",40,1851803.41
2024-07-01,Actual,"Cost of Services","Cost of Revenue",60,1211553.63
2024-07-01,Actual,"Sales & Marketing","Operating Expense",100,2092252.97
2024-07-01,Actual,"Research & Development","Operating Expense",140,2218450.72
2024-07-01,Actual,"General & Administrative","Operating Expense",160,1524751.1
2024-07-01,Actual,"Depreciation & Amortization",D&A,230,166143.24
2024-08-01,Actual,"Subscription Revenue",Revenue,10,8032401.29
2024-08-01,Actual,"Professional Services Revenue",Revenue,20,1493391.75
2024-08-01,Actual,"Cost of Subscription","Cost of Revenue",40,1863877.63
2024-08-01,Actual,"Cost of Services","Cost of Revenue",60,1242843.62
2024-08-01,Actual,"Sales & Marketing","Operating Expense",100,2129894.28
2024-08-01,Actual,"Research & Development","Operating Expense",140,2227465.16
2024-08-01,Actual,"General & Administrative","Operating Expense",160,1515435.07
2024-08-01,Actual,"Depreciation & Amortization",D&A,230,171464.27
2024-09-01,Actual,"Subscription Revenue",Revenue,10,8120991.54
2024-09-01,Actual,"Professional Services Revenue",Revenue,20,1507775.39
2024-09-01,Actual,"Cost of Subscription","Cost of Revenue",40,1875616.11
2024-09-01,Actual,"Cost of Services","Cost of Revenue",60,1223275.59
2024-09-01,Actual,"Sales & Marketing","Operating Expense",100,2137661.46
2024-09-01,Actual,"Research & Development","Operating Expense",140,2209908.24
2024-09-01,Actual,"General & Administrative","Operating Expense",160,1507559.48
2024-09-01,Actual,"Depreciation & Amortization",D&A,230,173317.8
2024-10-01,Actual,"Subscription Revenue",Revenue,10,8177403.04
2024-10-01,Actual,"Professional Services Revenue",Revenue,20,1492080.78
2024-10-01,Actual,"Cost of Subscription","Cost of Revenue",40,1882773.2
2024-10-01,Actual,"Cost of Services","Cost of Revenue",60,1215804.23
2024-10-01,Actual,"Sales & Marketing","Operating Expense",100,2296802.37
2024-10-01,Actual,"Research & Development","Operating Expense",140,2196231.62
2024-10-01,Actual,"General & Administrative","Operating Expense",160,1589676.16
2024-10-01,Actual,"Depreciation & Amortization",D&A,230,174050.71
2024-11-01,Actual,"Subscription Revenue",Revenue,10,8257340.62
2024-11-01,Actual,"Professional Services Revenue",Revenue,20,1888813.33
2024-11-01,Actual,"Cost of Subscription","Cost of Revenue",40,1931357.8
2024-11-01,Actual,"Cost of Services","Cost of Revenue",60,1265008.32
2024-11-01,Actual,"Sales & Marketing","Operating Expense",100,2329181.59
2024-11-01,Actual,"Research & Development","Operating Expense",140,2199491.34
2024-11-01,Actual,"General & Administrative","Operating Expense",160,1579523.53
2024-11-01,Actual,"Depreciation & Amortization",D&A,230,182630.77
2024-12-01,Actual,"Subscription Revenue",Revenue,10,8363385.76
2024-12-01,Actual,"Professional Services Revenue",Revenue,20,2034252.86
2024-12-01,Actual,"Cost of Subscription","Cost of Revenue",40,1959526.12
2024-12-01,Actual,"Cost of Services","Cost of Revenue",60,1247989.01
2024-12-01,Actual,"Sales & Marketing","Operating Expense",100,2347988.95
2024-12-01,Actual,"Research & Development","Operating Expense",140,2228470.85
2024-12-01,Actual,"General & Administrative","Operating Expense",160,1554183.32
2024-12-01,Actual,"Depreciation & Amortization",D&A,230,187157.5
2025-01-01,Actual,"Subscription Revenue",Revenue,10,8444899.25
2025-01-01,Actual,"Professional Services Revenue",Revenue,20,2008429.36
2025-01-01,Actual,"Cost of Subscription","Cost of Revenue",40,1974728.36
2025-01-01,Actual,"Cost of Services","Cost of Revenue",60,1263928.26
2025-01-01,Actual,"Sales & Marketing","Operating Expense",100,2377281.08
2025-01-01,Actual,"Research & Development","Operating Expense",140,2298797.59
2025-01-01,Actual,"General & Administrative","Operating Expense",160,1644868.41
2025-01-01,Actual,"Depreciation & Amortization",D&A,230,188159.91
2025-02-01,Actual,"Subscription Revenue",Revenue,10,8522419.28
2025-02-01,Actual,"Professional Services Revenue",Revenue,20,2221243.81
2025-02-01,Actual,"Cost of Subscription","Cost of Revenue",40,1997948.01
2025-02-01,Actual,"Cost of Services","Cost of Revenue",60,1300448.66
2025-02-01,Actual,"Sales & Marketing","Operating Expense",100,2396358.67
2025-02-01,Actual,"Research & Development","Operating Expense",140,2311669.49
2025-02-01,Actual,"General & Administrative","Operating Expense",160,1681856.22
2025-02-01,Actual,"Depreciation & Amortization",D&A,230,193385.94
2025-03-01,Actual,"Subscription Revenue",Revenue,10,8599107.89
2025-03-01,Actual,"Professional Services Revenue",Revenue,20,1940440.41
2025-03-01,Actual,"Cost of Subscription","Cost of Revenue",40,2005769.49
2025-03-01,Actual,"Cost of Services","Cost of Revenue",60,1237321.1
2025-03-01,Actual,"Sales & Marketing","Operating Expense",100,2386303.31
2025-03-01,Actual,"Research & Development","Operating Expense",140,2335604.77
2025-03-01,Actual,"General & Administrative","Operating Expense",160,1719702.7
2025-03-01,Actual,"Depreciation & Amortization",D&A,230,189711.87
2025-04-01,Actual,"Subscription Revenue",Revenue,10,8689476.56
2025-04-01,Actual,"Professional Services Revenue",Revenue,20,1575110.97
2025-04-01,Actual,"Cost of Subscription","Cost of Revenue",40,2019044.29
2025-04-01,Actual,"Cost of Services","Cost of Revenue",60,1189671.2
2025-04-01,Actual,"Sales & Marketing","Operating Expense",100,2297387.85
2025-04-01,Actual,"Research & Development","Operating Expense",140,2366420.07
2025-04-01,Actual,"General & Administrative","Operating Expense",160,1586661.76
2025-04-01,Actual,"Depreciation & Amortization",D&A,230,184762.58
2025-05-01,Actual,"Subscription Revenue",Revenue,10,8881303.91
2025-05-01,Actual,"Professional Services Revenue",Revenue,20,1322500.81
2025-05-01,Actual,"Cost of Subscription","Cost of Revenue",40,2041618.75
2025-05-01,Actual,"Cost of Services","Cost of Revenue",60,1162580.73
2025-05-01,Actual,"Sales & Marketing","Operating Expense",100,2327500.18
2025-05-01,Actual,"Research & Development","Operating Expense",140,2367283.29
2025-05-01,Actual,"General & Administrative","Operating Expense",160,1594258.27
2025-05-01,Actual,"Depreciation & Amortization",D&A,230,183668.48
2025-06-01,Actual,"Subscription Revenue",Revenue,10,9121574.47
2025-06-01,Actual,"Professional Services Revenue",Revenue,20,1428474.62
2025-06-01,Actual,"Cost of Subscription","Cost of Revenue",40,2084091.14
2025-06-01,Actual,"Cost of Services","Cost of Revenue",60,1156012.54
2025-06-01,Actual,"Sales & Marketing","Operating Expense",100,2368767.11
2025-06-01,Actual,"Research & Development","Operating Expense",140,2368364.51
2025-06-01,Actual,"General & Administrative","Operating Expense",160,1660647.92
2025-06-01,Actual,"Depreciation & Amortization",D&A,230,189900.88
2025-07-01,Actual,"Subscription Revenue",Revenue,10,9246914.88
2025-07-01,Actual,"Professional Services Revenue",Revenue,20,1368624.91
2025-07-01,Actual,"Cost of Subscription","Cost of Revenue",40,2101611.18
2025-07-01,Actual,"Cost of Services","Cost of Revenue",60,1167421.22
2025-07-01,Actual,"Sales & Marketing","Operating Expense",100,2362533.1
2025-07-01,Actual,"Research & Development","Operating Expense",140,2381982.59
2025-07-01,Actual,"General & Administrative","Operating Expense",160,1628885.9
2025-07-01,Actual,"Depreciation & Amortization",D&A,230,191079.72
2025-08-01,Actual,"Subscription Revenue",Revenue,10,9335581.33
2025-08-01,Actual,"Professional Services Revenue",Revenue,20,1694764.42
2025-08-01,Actual,"Cost of Subscription","Cost of Revenue",40,2138609.91
2025-08-01,Actual,"Cost of Services","Cost of Revenue",60,1173477.23
2025-08-01,Actual,"Sales & Marketing","Operating Expense",100,2402820.33
2025-08-01,Actual,"Research & Development","Operating Expense",140,2421228.9
2025-08-01,Actual,"General & Administrative","Operating Expense",160,1665509.39
2025-08-01,Actual,"Depreciation & Amortization",D&A,230,198546.22
2025-09-01,Actual,"Subscription Revenue",Revenue,10,9452391.09
2025-09-01,Actual,"Professional Services Revenue",Revenue,20,1738271.54
2025-09-01,Actual,"Cost of Subscription","Cost of Revenue",40,2144591.13
2025-09-01,Actual,"Cost of Services","Cost of Revenue",60,1188788.13
2025-09-01,Actual,"Sales & Marketing","Operating Expense",100,2395917.9
2025-09-01,Actual,"Research & Development","Operating Expense",140,2438291.22
2025-09-01,Actual,"General & Administrative","Operating Expense",160,1645525.54
2025-09-01,Actual,"Depreciation & Amortization",D&A,230,201431.93
2025-10-01,Actual,"Subscription Revenue",Revenue,10,9526175.2
2025-10-01,Actual,"Professional Services Revenue",Revenue,20,2214499.16
2025-10-01,Actual,"Cost of Subscription","Cost of Revenue",40,2163718.7
2025-10-01,Actual,"Cost of Services","Cost of Revenue",60,1208044.08
2025-10-01,Actual,"Sales & Marketing","Operating Expense",100,2574249.37
2025-10-01,Actual,"Research & Development","Operating Expense",140,2402860.81
2025-10-01,Actual,"General & Administrative","Operating Expense",160,1666406.03
2025-10-01,Actual,"Depreciation & Amortization",D&A,230,211332.14
2025-11-01,Actual,"Subscription Revenue",Revenue,10,9545415.48
2025-11-01,Actual,"Professional Services Revenue",Revenue,20,2410504.21
2025-11-01,Actual,"Cost of Subscription","Cost of Revenue",40,2157011.75
2025-11-01,Actual,"Cost of Services","Cost of Revenue",60,1180341.18
2025-11-01,Actual,"Sales & Marketing","Operating Expense",100,2596130.22
2025-11-01,Actual,"Research & Development","Operating Expense",140,2433488.91
2025-11-01,Actual,"General & Administrative","Operating Expense",160,1671794.91
2025-11-01,Actual,"Depreciation & Amortization",D&A,230,215206.55
2025-12-01,Actual,"Subscription Revenue",Revenue,10,9606214.62
2025-12-01,Actual,"Professional Services Revenue",Revenue,20,1577135.66
2025-12-01,Actual,"Cost of Subscription","Cost of Revenue",40,2192345.28
2025-12-01,Actual,"Cost of Services","Cost of Revenue",60,1155602.48
2025-12-01,Actual,"Sales & Marketing","Operating Expense",100,2563315.45
2025-12-01,Actual,"Research & Development","Operating Expense",140,2420851.72
2025-12-01,Actual,"General & Administrative","Operating Expense",160,1633136.89
2025-12-01,Actual,"Depreciation & Amortization",D&A,230,201300.31
2026-01-01,Actual,"Subscription Revenue",Revenue,10,9723598.24
2026-01-01,Actual,"Professional Services Revenue",Revenue,20,1668592.53
2026-01-01,Actual,"Cost of Subscription","Cost of Revenue",40,2269755.03
2026-01-01,Actual,"Cost of Services","Cost of Revenue",60,1228811.8
2026-01-01,Actual,"Sales & Marketing","Operating Expense",100,2603511.97
2026-01-01,Actual,"Research & Development","Operating Expense",140,2558144.16
2026-01-01,Actual,"General & Administrative","Operating Expense",160,1781737.32
2026-01-01,Actual,"Depreciation & Amortization",D&A,230,205059.43
2026-01-01,Budget,"Subscription Revenue",Revenue,10,9964981.12
2026-01-01,Budget,"Professional Services Revenue",Revenue,20,2289609.48
2026-01-01,Budget,"Cost of Subscription","Cost of Revenue",40,2185030.54
2026-01-01,Budget,"Cost of Services","Cost of Revenue",60,1398494.26
2026-01-01,Budget,"Sales & Marketing","Operating Expense",100,2678482.0
2026-01-01,Budget,"Research & Development","Operating Expense",140,2616029.6
2026-01-01,Budget,"General & Administrative","Operating Expense",160,1797733.04
2026-01-01,Budget,"Depreciation & Amortization",D&A,230,206975.9
2026-01-01,"Q2 Forecast","Subscription Revenue",Revenue,10,9723598.24
2026-01-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,1668592.53
2026-01-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2269755.03
2026-01-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1228811.8
2026-01-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2603511.97
2026-01-01,"Q2 Forecast","Research & Development","Operating Expense",140,2558144.16
2026-01-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1781737.32
2026-01-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,205059.43
2026-02-01,Actual,"Subscription Revenue",Revenue,10,9872349.5
2026-02-01,Actual,"Professional Services Revenue",Revenue,20,1821056.82
2026-02-01,Actual,"Cost of Subscription","Cost of Revenue",40,2295336.31
2026-02-01,Actual,"Cost of Services","Cost of Revenue",60,1227088.8
2026-02-01,Actual,"Sales & Marketing","Operating Expense",100,2599615.61
2026-02-01,Actual,"Research & Development","Operating Expense",140,2597812.04
2026-02-01,Actual,"General & Administrative","Operating Expense",160,1753583.18
2026-02-01,Actual,"Depreciation & Amortization",D&A,230,210481.31
2026-02-01,Budget,"Subscription Revenue",Revenue,10,10056454.75
2026-02-01,Budget,"Professional Services Revenue",Revenue,20,2532217.95
2026-02-01,Budget,"Cost of Subscription","Cost of Revenue",40,2210715.4
2026-02-01,Budget,"Cost of Services","Cost of Revenue",60,1438065.35
2026-02-01,Budget,"Sales & Marketing","Operating Expense",100,2699862.33
2026-02-01,Budget,"Research & Development","Operating Expense",140,2630696.6
2026-02-01,Budget,"General & Administrative","Operating Expense",160,1840471.09
2026-02-01,Budget,"Depreciation & Amortization",D&A,230,212724.53
2026-02-01,"Q2 Forecast","Subscription Revenue",Revenue,10,9872349.5
2026-02-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,1821056.82
2026-02-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2295336.31
2026-02-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1227088.8
2026-02-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2599615.61
2026-02-01,"Q2 Forecast","Research & Development","Operating Expense",140,2597812.04
2026-02-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1753583.18
2026-02-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,210481.31
2026-03-01,Actual,"Subscription Revenue",Revenue,10,9961728.13
2026-03-01,Actual,"Professional Services Revenue",Revenue,20,1637203.81
2026-03-01,Actual,"Cost of Subscription","Cost of Revenue",40,2323179.24
2026-03-01,Actual,"Cost of Services","Cost of Revenue",60,1198377.77
2026-03-01,Actual,"Sales & Marketing","Operating Expense",100,2596502.11
2026-03-01,Actual,"Research & Development","Operating Expense",140,2620733.02
2026-03-01,Actual,"General & Administrative","Operating Expense",160,1719342.31
2026-03-01,Actual,"Depreciation & Amortization",D&A,230,208780.77
2026-03-01,Budget,"Subscription Revenue",Revenue,10,10146947.31
2026-03-01,Budget,"Professional Services Revenue",Revenue,20,2212102.07
2026-03-01,Budget,"Cost of Subscription","Cost of Revenue",40,2219384.99
2026-03-01,Budget,"Cost of Services","Cost of Revenue",60,1369038.47
2026-03-01,Budget,"Sales & Marketing","Operating Expense",100,2688699.01
2026-03-01,Budget,"Research & Development","Operating Expense",140,2657946.91
2026-03-01,Budget,"General & Administrative","Operating Expense",160,1884982.68
2026-03-01,Budget,"Depreciation & Amortization",D&A,230,208683.06
2026-03-01,"Q2 Forecast","Subscription Revenue",Revenue,10,9961728.13
2026-03-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,1637203.81
2026-03-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2323179.24
2026-03-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1198377.77
2026-03-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2596502.11
2026-03-01,"Q2 Forecast","Research & Development","Operating Expense",140,2620733.02
2026-03-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1719342.31
2026-03-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,208780.77
2026-04-01,Actual,"Subscription Revenue",Revenue,10,9869587.73
2026-04-01,Actual,"Professional Services Revenue",Revenue,20,1650055.73
2026-04-01,Actual,"Cost of Subscription","Cost of Revenue",40,2285253.93
2026-04-01,Actual,"Cost of Services","Cost of Revenue",60,1204631.87
2026-04-01,Actual,"Sales & Marketing","Operating Expense",100,2527217.5
2026-04-01,Actual,"Research & Development","Operating Expense",140,2637119.45
2026-04-01,Actual,"General & Administrative","Operating Expense",160,1675117.74
2026-04-01,Actual,"Depreciation & Amortization",D&A,230,207353.58
2026-04-01,Budget,"Subscription Revenue",Revenue,10,10253582.33
2026-04-01,Budget,"Professional Services Revenue",Revenue,20,1795626.51
2026-04-01,Budget,"Cost of Subscription","Cost of Revenue",40,2234085.26
2026-04-01,Budget,"Cost of Services","Cost of Revenue",60,1317047.24
2026-04-01,Budget,"Sales & Marketing","Operating Expense",100,2590420.92
2026-04-01,Budget,"Research & Development","Operating Expense",140,2693010.22
2026-04-01,Budget,"General & Administrative","Operating Expense",160,1737342.89
2026-04-01,Budget,"Depreciation & Amortization",D&A,230,203238.84
2026-04-01,"Q2 Forecast","Subscription Revenue",Revenue,10,9869587.73
2026-04-01,"Q2 Forecast","Professional Services Revenue",Revenue,20,1650055.73
2026-04-01,"Q2 Forecast","Cost of Subscription","Cost of Revenue",40,2285253.93
2026-04-01,"Q2 Forecast","Cost of Services","Cost of Revenue",60,1204631.87
2026-04-01,"Q2 Forecast","Sales & Marketing","Operating Expense",100,2527217.5
2026-04-01,"Q2 Forecast","Research & Development","Operating Expense",140,2637119.45
2026-04-01,"Q2 Forecast","General & Administrative","Operating Expense",160,1675117.74
2026-04-01,"Q2 Forecast","Depreciation & Amortization",D&A,230,207353.58
2026-05-01,Actual,"Subscription Revenue",Revenue,10,9862711.13
2026-05-01,Actual,"Professional Services Revenue",Revenue,20,1974030.18
2026-05-01,Actual,"Cost of Subscription","Cost of Revenue",40,2205052.97
2026-05-01,Actual,"Cost of Services","Cost of Revenue",60,1240229.52
2026-05-01,Actual,"Sales & Marketing","Operating Expense",100,2547228.54
2026-05-01,Actual,"Research & Development","Operating Expense",140,2637088.51
2026-05-01,Actual,"General & Administrative","Operating Expense",160,1737324.02
2026-05-01,Actual,"Depreciation & Amortization",D&A,230,213061.34
2026-05-01,Budget,"Subscription Revenue",Revenue,10,10479938.61
