forecast_row_id,forecast_version,month_start,account_id,department_id,region_id,business_line,period_type,amount_usd,forecast_driver
F000028,2026_Q2_Forecast,2026-04-01,A4000,D00,R04,Subscription,Actualized,1438747.11,Closed actual
F000029,2026_Q2_Forecast,2026-05-01,A4000,D00,R04,Subscription,Actualized,1465527.48,Closed actual
F000030,2026_Q2_Forecast,2026-06-01,A4000,D00,R04,Subscription,Actualized,1486317.03,Closed actual
F000031,2026_Q2_Forecast,2026-07-01,A4000,D00,R04,Subscription,Forecast,1590777.44,Q2 reforecast adjustment
F000032,2026_Q2_Forecast,2026-08-01,A4000,D00,R04,Subscription,Forecast,1582121.47,Q2 reforecast adjustment
F000033,2026_Q2_Forecast,2026-09-01,A4000,D00,R04,Subscription,Forecast,1576146.36,Q2 reforecast adjustment
F000034,2026_Q2_Forecast,2026-10-01,A4000,D00,R04,Subscription,Forecast,1579165.6,Q2 reforecast adjustment
F000035,2026_Q2_Forecast,2026-11-01,A4000,D00,R04,Subscription,Forecast,1583422.86,Q2 reforecast adjustment
F000036,2026_Q2_Forecast,2026-12-01,A4000,D00,R04,Subscription,Forecast,1574778.34,Q2 reforecast adjustment
F000037,2026_Q2_Forecast,2026-01-01,A4000,D00,R01,Subscription,Actualized,2908224.31,Closed actual
F000038,2026_Q2_Forecast,2026-02-01,A4000,D00,R01,Subscription,Actualized,2967125.82,Closed actual
F000039,2026_Q2_Forecast,2026-03-01,A4000,D00,R01,Subscription,Actualized,3040770.04,Closed actual
F000040,2026_Q2_Forecast,2026-04-01,A4000,D00,R01,Subscription,Actualized,3060718.78,Closed actual
F000041,2026_Q2_Forecast,2026-05-01,A4000,D00,R01,Subscription,Actualized,3064268.96,Closed actual
F000042,2026_Q2_Forecast,2026-06-01,A4000,D00,R01,Subscription,Actualized,3063575.83,Closed actual
F000043,2026_Q2_Forecast,2026-07-01,A4000,D00,R01,Subscription,Forecast,3039384.97,Q2 reforecast adjustment
F000044,2026_Q2_Forecast,2026-08-01,A4000,D00,R01,Subscription,Forecast,3094644.06,Q2 reforecast adjustment
F000045,2026_Q2_Forecast,2026-09-01,A4000,D00,R01,Subscription,Forecast,3160751.23,Q2 reforecast adjustment
F000046,2026_Q2_Forecast,2026-10-01,A4000,D00,R01,Subscription,Forecast,3189775.85,Q2 reforecast adjustment
F000047,2026_Q2_Forecast,2026-11-01,A4000,D00,R01,Subscription,Forecast,3214898.52,Q2 reforecast adjustment
F000048,2026_Q2_Forecast,2026-12-01,A4000,D00,R01,Subscription,Forecast,3255455.69,Q2 reforecast adjustment
F000049,2026_Q2_Forecast,2026-01-01,A4010,D00,R02,Services,Actualized,139260.8,Closed actual
F000050,2026_Q2_Forecast,2026-02-01,A4010,D00,R02,Services,Actualized,182011.33,Closed actual
F000051,2026_Q2_Forecast,2026-03-01,A4010,D00,R02,Services,Actualized,72964.22,Closed actual
F000052,2026_Q2_Forecast,2026-04-01,A4010,D00,R02,Services,Actualized,78851.52,Closed actual
F000053,2026_Q2_Forecast,2026-05-01,A4010,D00,R02,Services,Actualized,91650.66,Closed actual
F000054,2026_Q2_Forecast,2026-06-01,A4010,D00,R02,Services,Actualized,101847.86,Closed actual
F000055,2026_Q2_Forecast,2026-07-01,A4010,D00,R02,Services,Forecast,240317.86,Q2 reforecast adjustment
F000056,2026_Q2_Forecast,2026-08-01,A4010,D00,R02,Services,Forecast,460804.59,Q2 reforecast adjustment
F000057,2026_Q2_Forecast,2026-09-01,A4010,D00,R02,Services,Forecast,461596.11,Q2 reforecast adjustment
F000058,2026_Q2_Forecast,2026-10-01,A4010,D00,R02,Services,Forecast,454342.14,Q2 reforecast adjustment
F000059,2026_Q2_Forecast,2026-11-01,A4010,D00,R02,Services,Forecast,383752.84,Q2 reforecast adjustment
F000060,2026_Q2_Forecast,2026-12-01,A4010,D00,R02,Services,Forecast,115214.88,Q2 reforecast adjustment
F000061,2026_Q2_Forecast,2026-01-01,A5030,D03,R02,Services,Actualized,8211.67,Closed actual
F000062,2026_Q2_Forecast,2026-02-01,A5030,D03,R02,Services,Actualized,10434.02,Closed actual
F000063,2026_Q2_Forecast,2026-03-01,A5030,D03,R02,Services,Actualized,3346.44,Closed actual
F000064,2026_Q2_Forecast,2026-04-01,A5030,D03,R02,Services,Actualized,6156.41,Closed actual
F000065,2026_Q2_Forecast,2026-05-01,A5030,D03,R02,Services,Actualized,4694.27,Closed actual
F000066,2026_Q2_Forecast,2026-06-01,A5030,D03,R02,Services,Actualized,6719.63,Closed actual
F000067,2026_Q2_Forecast,2026-07-01,A5030,D03,R02,Services,Forecast,16446.36,Q2 reforecast adjustment
F000068,2026_Q2_Forecast,2026-08-01,A5030,D03,R02,Services,Forecast,22441.95,Q2 reforecast adjustment
F000069,2026_Q2_Forecast,2026-09-01,A5030,D03,R02,Services,Forecast,23519.72,Q2 reforecast adjustment
F000070,2026_Q2_Forecast,2026-10-01,A5030,D03,R02,Services,Forecast,22990.51,Q2 reforecast adjustment
F000071,2026_Q2_Forecast,2026-11-01,A5030,D03,R02,Services,Forecast,26329.98,Q2 reforecast adjustment
F000072,2026_Q2_Forecast,2026-12-01,A5030,D03,R02,Services,Forecast,9533.1,Q2 reforecast adjustment
F000073,2026_Q2_Forecast,2026-01-01,A5040,D03,R02,Services,Actualized,2378.36,Closed actual
F000074,2026_Q2_Forecast,2026-02-01,A5040,D03,R02,Services,Actualized,1874.64,Closed actual
F000075,2026_Q2_Forecast,2026-03-01,A5040,D03,R02,Services,Actualized,1016.26,Closed actual
F000076,2026_Q2_Forecast,2026-04-01,A5040,D03,R02,Services,Actualized,1376.66,Closed actual
F000077,2026_Q2_Forecast,2026-05-01,A5040,D03,R02,Services,Actualized,592.13,Closed actual
F000078,2026_Q2_Forecast,2026-06-01,A5040,D03,R02,Services,Actualized,1376.57,Closed actual
F000079,2026_Q2_Forecast,2026-07-01,A5040,D03,R02,Services,Forecast,5000.71,Q2 reforecast adjustment
F000080,2026_Q2_Forecast,2026-08-01,A5040,D03,R02,Services,Forecast,8116.2,Q2 reforecast adjustment
F000081,2026_Q2_Forecast,2026-09-01,A5040,D03,R02,Services,Forecast,8330.42,Q2 reforecast adjustment
F000082,2026_Q2_Forecast,2026-10-01,A5040,D03,R02,Services,Forecast,4712.28,Q2 reforecast adjustment
F000083,2026_Q2_Forecast,2026-11-01,A5040,D03,R02,Services,Forecast,1671.91,Q2 reforecast adjustment
F000084,2026_Q2_Forecast,2026-12-01,A5040,D03,R02,Services,Forecast,849.37,Q2 reforecast adjustment
F000085,2026_Q2_Forecast,2026-01-01,A4010,D00,R01,Services,Actualized,928894.73,Closed actual
F000086,2026_Q2_Forecast,2026-02-01,A4010,D00,R01,Services,Actualized,992670.02,Closed actual
F000087,2026_Q2_Forecast,2026-03-01,A4010,D00,R01,Services,Actualized,939377.67,Closed actual
F000088,2026_Q2_Forecast,2026-04-01,A4010,D00,R01,Services,Actualized,772805.98,Closed actual
F000089,2026_Q2_Forecast,2026-05-01,A4010,D00,R01,Services,Actualized,775675.54,Closed actual
F000090,2026_Q2_Forecast,2026-06-01,A4010,D00,R01,Services,Actualized,606825.47,Closed actual
F000091,2026_Q2_Forecast,2026-07-01,A4010,D00,R01,Services,Forecast,551551.49,Q2 reforecast adjustment
F000092,2026_Q2_Forecast,2026-08-01,A4010,D00,R01,Services,Forecast,564304.91,Q2 reforecast adjustment
F000093,2026_Q2_Forecast,2026-09-01,A4010,D00,R01,Services,Forecast,360576.35,Q2 reforecast adjustment
F000094,2026_Q2_Forecast,2026-10-01,A4010,D00,R01,Services,Forecast,497292.69,Q2 reforecast adjustment
F000095,2026_Q2_Forecast,2026-11-01,A4010,D00,R01,Services,Forecast,698144.35,Q2 reforecast adjustment
F000096,2026_Q2_Forecast,2026-12-01,A4010,D00,R01,Services,Forecast,719994.56,Q2 reforecast adjustment
F000097,2026_Q2_Forecast,2026-01-01,A5030,D03,R01,Services,Actualized,93822.35,Closed actual
F000098,2026_Q2_Forecast,2026-02-01,A5030,D03,R01,Services,Actualized,79179.25,Closed actual
F000099,2026_Q2_Forecast,2026-03-01,A5030,D03,R01,Services,Actualized,76698.91,Closed actual
F000100,2026_Q2_Forecast,2026-04-01,A5030,D03,R01,Services,Actualized,60615.34,Closed actual
F000101,2026_Q2_Forecast,2026-05-01,A5030,D03,R01,Services,Actualized,57933.89,Closed actual
F000102,2026_Q2_Forecast,2026-06-01,A5030,D03,R01,Services,Actualized,31673.5,Closed actual
F000103,2026_Q2_Forecast,2026-07-01,A5030,D03,R01,Services,Forecast,40271.76,Q2 reforecast adjustment
F000104,2026_Q2_Forecast,2026-08-01,A5030,D03,R01,Services,Forecast,48617.32,Q2 reforecast adjustment
F000105,2026_Q2_Forecast,2026-09-01,A5030,D03,R01,Services,Forecast,23617.77,Q2 reforecast adjustment
F000106,2026_Q2_Forecast,2026-10-01,A5030,D03,R01,Services,Forecast,24320.34,Q2 reforecast adjustment
F000107,2026_Q2_Forecast,2026-11-01,A5030,D03,R01,Services,Forecast,41387.3,Q2 reforecast adjustment
F000108,2026_Q2_Forecast,2026-12-01,A5030,D03,R01,Services,Forecast,61498.16,Q2 reforecast adjustment
F000109,2026_Q2_Forecast,2026-01-01,A5040,D03,R01,Services,Actualized,14924.85,Closed actual
F000110,2026_Q2_Forecast,2026-02-01,A5040,D03,R01,Services,Actualized,14230.69,Closed actual
F000111,2026_Q2_Forecast,2026-03-01,A5040,D03,R01,Services,Actualized,10959.08,Closed actual
F000112,2026_Q2_Forecast,2026-04-01,A5040,D03,R01,Services,Actualized,11160.98,Closed actual
F000113,2026_Q2_Forecast,2026-05-01,A5040,D03,R01,Services,Actualized,7009.41,Closed actual
F000114,2026_Q2_Forecast,2026-06-01,A5040,D03,R01,Services,Actualized,7521.37,Closed actual
F000115,2026_Q2_Forecast,2026-07-01,A5040,D03,R01,Services,Forecast,6973.44,Q2 reforecast adjustment
F000116,2026_Q2_Forecast,2026-08-01,A5040,D03,R01,Services,Forecast,9015.25,Q2 reforecast adjustment
F000117,2026_Q2_Forecast,2026-09-01,A5040,D03,R01,Services,Forecast,4954.51,Q2 reforecast adjustment
F000118,2026_Q2_Forecast,2026-10-01,A5040,D03,R01,Services,Forecast,6841.11,Q2 reforecast adjustment
F000119,2026_Q2_Forecast,2026-11-01,A5040,D03,R01,Services,Forecast,7727.16,Q2 reforecast adjustment
F000120,2026_Q2_Forecast,2026-12-01,A5040,D03,R01,Services,Forecast,9611.47,Q2 reforecast adjustment
F000121,2026_Q2_Forecast,2026-01-01,A4010,D00,R03,Services,Actualized,428819.97,Closed actual
F000122,2026_Q2_Forecast,2026-02-01,A4010,D00,R03,Services,Actualized,467204.7,Closed actual
F000123,2026_Q2_Forecast,2026-03-01,A4010,D00,R03,Services,Actualized,445260.66,Closed actual
F000124,2026_Q2_Forecast,2026-04-01,A4010,D00,R03,Services,Actualized,575903.36,Closed actual
F000125,2026_Q2_Forecast,2026-05-01,A4010,D00,R03,Services,Actualized,678621.06,Closed actual
F000126,2026_Q2_Forecast,2026-06-01,A4010,D00,R03,Services,Actualized,519935.62,Closed actual
F000127,2026_Q2_Forecast,2026-07-01,A4010,D00,R03,Services,Forecast,497244.71,Q2 reforecast adjustment
F000128,2026_Q2_Forecast,2026-08-01,A4010,D00,R03,Services,Forecast,454346.16,Q2 reforecast adjustment
F000129,2026_Q2_Forecast,2026-09-01,A4010,D00,R03,Services,Forecast,863762.3,Q2 reforecast adjustment
F000130,2026_Q2_Forecast,2026-10-01,A4010,D00,R03,Services,Forecast,1222140.51,Q2 reforecast adjustment
F000131,2026_Q2_Forecast,2026-11-01,A4010,D00,R03,Services,Forecast,1305135.46,Q2 reforecast adjustment
F000132,2026_Q2_Forecast,2026-12-01,A4010,D00,R03,Services,Forecast,676924.64,Q2 reforecast adjustment
F000133,2026_Q2_Forecast,2026-01-01,A5030,D03,R03,Services,Actualized,33908.65,Closed actual
F000134,2026_Q2_Forecast,2026-02-01,A5030,D03,R03,Services,Actualized,35372.65,Closed actual
F000135,2026_Q2_Forecast,2026-03-01,A5030,D03,R03,Services,Actualized,32287.58,Closed actual
F000136,2026_Q2_Forecast,2026-04-01,A5030,D03,R03,Services,Actualized,39563.32,Closed actual
F000137,2026_Q2_Forecast,2026-05-01,A5030,D03,R03,Services,Actualized,51009.02,Closed actual
F000138,2026_Q2_Forecast,2026-06-01,A5030,D03,R03,Services,Actualized,35382.2,Closed actual
F000139,2026_Q2_Forecast,2026-07-01,A5030,D03,R03,Services,Forecast,42422.07,Q2 reforecast adjustment
F000140,2026_Q2_Forecast,2026-08-01,A5030,D03,R03,Services,Forecast,26394.68,Q2 reforecast adjustment
F000141,2026_Q2_Forecast,2026-09-01,A5030,D03,R03,Services,Forecast,75766.19,Q2 reforecast adjustment
F000142,2026_Q2_Forecast,2026-10-01,A5030,D03,R03,Services,Forecast,77805.34,Q2 reforecast adjustment
F000143,2026_Q2_Forecast,2026-11-01,A5030,D03,R03,Services,Forecast,74366.37,Q2 reforecast adjustment
F000144,2026_Q2_Forecast,2026-12-01,A5030,D03,R03,Services,Forecast,50894.2,Q2 reforecast adjustment
F000145,2026_Q2_Forecast,2026-01-01,A5040,D03,R03,Services,Actualized,4846.55,Closed actual
F000146,2026_Q2_Forecast,2026-02-01,A5040,D03,R03,Services,Actualized,5020.12,Closed actual
F000147,2026_Q2_Forecast,2026-03-01,A5040,D03,R03,Services,Actualized,3832.83,Closed actual
F000148,2026_Q2_Forecast,2026-04-01,A5040,D03,R03,Services,Actualized,10530.94,Closed actual
F000149,2026_Q2_Forecast,2026-05-01,A5040,D03,R03,Services,Actualized,5848.05,Closed actual
F000150,2026_Q2_Forecast,2026-06-01,A5040,D03,R03,Services,Actualized,5367.18,Closed actual
F000151,2026_Q2_Forecast,2026-07-01,A5040,D03,R03,Services,Forecast,4398.56,Q2 reforecast adjustment
F000152,2026_Q2_Forecast,2026-08-01,A5040,D03,R03,Services,Forecast,6917.39,Q2 reforecast adjustment
F000153,2026_Q2_Forecast,2026-09-01,A5040,D03,R03,Services,Forecast,7069.96,Q2 reforecast adjustment
F000154,2026_Q2_Forecast,2026-10-01,A5040,D03,R03,Services,Forecast,8971.43,Q2 reforecast adjustment
F000155,2026_Q2_Forecast,2026-11-01,A5040,D03,R03,Services,Forecast,14898.91,Q2 reforecast adjustment
F000156,2026_Q2_Forecast,2026-12-01,A5040,D03,R03,Services,Forecast,8858.69,Q2 reforecast adjustment
F000157,2026_Q2_Forecast,2026-01-01,A4010,D00,R04,Services,Actualized,142206.59,Closed actual
F000158,2026_Q2_Forecast,2026-02-01,A4010,D00,R04,Services,Actualized,149760.33,Closed actual
F000159,2026_Q2_Forecast,2026-03-01,A4010,D00,R04,Services,Actualized,179601.26,Closed actual
F000160,2026_Q2_Forecast,2026-04-01,A4010,D00,R04,Services,Actualized,222494.87,Closed actual
F000161,2026_Q2_Forecast,2026-05-01,A4010,D00,R04,Services,Actualized,428082.92,Closed actual
F000162,2026_Q2_Forecast,2026-06-01,A4010,D00,R04,Services,Actualized,420451.91,Closed actual
F000163,2026_Q2_Forecast,2026-07-01,A4010,D00,R04,Services,Forecast,146299.73,Q2 reforecast adjustment
F000164,2026_Q2_Forecast,2026-08-01,A4010,D00,R04,Services,Forecast,179419.36,Q2 reforecast adjustment
F000165,2026_Q2_Forecast,2026-09-01,A4010,D00,R04,Services,Forecast,137164.45,Q2 reforecast adjustment
F000166,2026_Q2_Forecast,2026-10-01,A4010,D00,R04,Services,Forecast,148791.38,Q2 reforecast adjustment
F000167,2026_Q2_Forecast,2026-11-01,A4010,D00,R04,Services,Forecast,141104.18,Q2 reforecast adjustment
F000168,2026_Q2_Forecast,2026-12-01,A4010,D00,R04,Services,Forecast,141965.8,Q2 reforecast adjustment
F000169,2026_Q2_Forecast,2026-01-01,A5030,D03,R04,Services,Actualized,4725.57,Closed actual
F000170,2026_Q2_Forecast,2026-02-01,A5030,D03,R04,Services,Actualized,1461.29,Closed actual
F000171,2026_Q2_Forecast,2026-03-01,A5030,D03,R04,Services,Actualized,1802.75,Closed actual
F000172,2026_Q2_Forecast,2026-04-01,A5030,D03,R04,Services,Actualized,7357.08,Closed actual
F000173,2026_Q2_Forecast,2026-05-01,A5030,D03,R04,Services,Actualized,26857.6,Closed actual
F000174,2026_Q2_Forecast,2026-06-01,A5030,D03,R04,Services,Actualized,37905.98,Closed actual
F000175,2026_Q2_Forecast,2026-07-01,A5030,D03,R04,Services,Forecast,7670.99,Q2 reforecast adjustment
F000176,2026_Q2_Forecast,2026-08-01,A5030,D03,R04,Services,Forecast,6898.66,Q2 reforecast adjustment
F000177,2026_Q2_Forecast,2026-09-01,A5030,D03,R04,Services,Forecast,2306.6,Q2 reforecast adjustment
F000178,2026_Q2_Forecast,2026-10-01,A5030,D03,R04,Services,Forecast,6124.79,Q2 reforecast adjustment
F000179,2026_Q2_Forecast,2026-11-01,A5030,D03,R04,Services,Forecast,2860.37,Q2 reforecast adjustment
F000180,2026_Q2_Forecast,2026-12-01,A5030,D03,R04,Services,Forecast,2082.09,Q2 reforecast adjustment
F000181,2026_Q2_Forecast,2026-01-01,A5040,D03,R04,Services,Actualized,1626.93,Closed actual
F000182,2026_Q2_Forecast,2026-02-01,A5040,D03,R04,Services,Actualized,843.75,Closed actual
F000183,2026_Q2_Forecast,2026-03-01,A5040,D03,R04,Services,Actualized,2637.47,Closed actual
F000184,2026_Q2_Forecast,2026-04-01,A5040,D03,R04,Services,Actualized,2074.69,Closed actual
F000185,2026_Q2_Forecast,2026-05-01,A5040,D03,R04,Services,Actualized,4950.01,Closed actual
F000186,2026_Q2_Forecast,2026-06-01,A5040,D03,R04,Services,Actualized,2976.84,Closed actual
F000187,2026_Q2_Forecast,2026-07-01,A5040,D03,R04,Services,Forecast,1508.96,Q2 reforecast adjustment
F000188,2026_Q2_Forecast,2026-08-01,A5040,D03,R04,Services,Forecast,2613.83,Q2 reforecast adjustment
F000189,2026_Q2_Forecast,2026-09-01,A5040,D03,R04,Services,Forecast,1501.78,Q2 reforecast adjustment
F000190,2026_Q2_Forecast,2026-10-01,A5040,D03,R04,Services,Forecast,2750.98,Q2 reforecast adjustment
F000191,2026_Q2_Forecast,2026-11-01,A5040,D03,R04,Services,Forecast,1548.41,Q2 reforecast adjustment
F000192,2026_Q2_Forecast,2026-12-01,A5040,D03,R04,Services,Forecast,1559.43,Q2 reforecast adjustment
F000193,2026_Q2_Forecast,2026-01-01,A4020,D00,R03,Services,Actualized,0,Closed actual
F000194,2026_Q2_Forecast,2026-02-01,A4020,D00,R03,Services,Actualized,0,Closed actual
F000195,2026_Q2_Forecast,2026-03-01,A4020,D00,R03,Services,Actualized,0,Closed actual
F000196,2026_Q2_Forecast,2026-04-01,A4020,D00,R03,Services,Actualized,0,Closed actual
F000197,2026_Q2_Forecast,2026-05-01,A4020,D00,R03,Services,Actualized,0,Closed actual
F000198,2026_Q2_Forecast,2026-06-01,A4020,D00,R03,Services,Actualized,0,Closed actual
F000199,2026_Q2_Forecast,2026-07-01,A4020,D00,R03,Services,Forecast,0,Q2 reforecast adjustment
F000200,2026_Q2_Forecast,2026-08-01,A4020,D00,R03,Services,Forecast,30789.46,Q2 reforecast adjustment
F000201,2026_Q2_Forecast,2026-09-01,A4020,D00,R03,Services,Forecast,0,Q2 reforecast adjustment
F000202,2026_Q2_Forecast,2026-10-01,A4020,D00,R03,Services,Forecast,0,Q2 reforecast adjustment
F000203,2026_Q2_Forecast,2026-11-01,A4020,D00,R03,Services,Forecast,0,Q2 reforecast adjustment
F000204,2026_Q2_Forecast,2026-12-01,A4020,D00,R03,Services,Forecast,0,Q2 reforecast adjustment
F000205,2026_Q2_Forecast,2026-01-01,A4020,D00,R02,Services,Actualized,0,Closed actual
F000206,2026_Q2_Forecast,2026-02-01,A4020,D00,R02,Services,Actualized,0,Closed actual
F000207,2026_Q2_Forecast,2026-03-01,A4020,D00,R02,Services,Actualized,0,Closed actual
F000208,2026_Q2_Forecast,2026-04-01,A4020,D00,R02,Services,Actualized,0,Closed actual
F000209,2026_Q2_Forecast,2026-05-01,A4020,D00,R02,Services,Actualized,0,Closed actual
F000210,2026_Q2_Forecast,2026-06-01,A4020,D00,R02,Services,Actualized,0,Closed actual
F000211,2026_Q2_Forecast,2026-07-01,A4020,D00,R02,Services,Forecast,0,Q2 reforecast adjustment
F000212,2026_Q2_Forecast,2026-08-01,A4020,D00,R02,Services,Forecast,0,Q2 reforecast adjustment
F000213,2026_Q2_Forecast,2026-09-01,A4020,D00,R02,Services,Forecast,0,Q2 reforecast adjustment
F000214,2026_Q2_Forecast,2026-10-01,A4020,D00,R02,Services,Forecast,0,Q2 reforecast adjustment
F000215,2026_Q2_Forecast,2026-11-01,A4020,D00,R02,Services,Forecast,0,Q2 reforecast adjustment
F000216,2026_Q2_Forecast,2026-12-01,A4020,D00,R02,Services,Forecast,0,Q2 reforecast adjustment
F000217,2026_Q2_Forecast,2026-01-01,A4020,D00,R01,Services,Actualized,29410.44,Closed actual
F000218,2026_Q2_Forecast,2026-02-01,A4020,D00,R01,Services,Actualized,29410.44,Closed actual
F000219,2026_Q2_Forecast,2026-03-01,A4020,D00,R01,Services,Actualized,0,Closed actual
F000220,2026_Q2_Forecast,2026-04-01,A4020,D00,R01,Services,Actualized,0,Closed actual
F000221,2026_Q2_Forecast,2026-05-01,A4020,D00,R01,Services,Actualized,0,Closed actual
F000222,2026_Q2_Forecast,2026-06-01,A4020,D00,R01,Services,Actualized,0,Closed actual
F000223,2026_Q2_Forecast,2026-07-01,A4020,D00,R01,Services,Forecast,0,Q2 reforecast adjustment
F000224,2026_Q2_Forecast,2026-08-01,A4020,D00,R01,Services,Forecast,90382.58,Q2 reforecast adjustment
F000225,2026_Q2_Forecast,2026-09-01,A4020,D00,R01,Services,Forecast,0,Q2 reforecast adjustment
F000226,2026_Q2_Forecast,2026-10-01,A4020,D00,R01,Services,Forecast,0,Q2 reforecast adjustment
F000227,2026_Q2_Forecast,2026-11-01,A4020,D00,R01,Services,Forecast,0,Q2 reforecast adjustment
F000228,2026_Q2_Forecast,2026-12-01,A4020,D00,R01,Services,Forecast,0,Q2 reforecast adjustment
F000229,2026_Q2_Forecast,2026-01-01,A4020,D00,R04,Services,Actualized,0,Closed actual
F000230,2026_Q2_Forecast,2026-02-01,A4020,D00,R04,Services,Actualized,0,Closed actual
F000231,2026_Q2_Forecast,2026-03-01,A4020,D00,R04,Services,Actualized,0,Closed actual
F000232,2026_Q2_Forecast,2026-04-01,A4020,D00,R04,Services,Actualized,0,Closed actual
F000233,2026_Q2_Forecast,2026-05-01,A4020,D00,R04,Services,Actualized,0,Closed actual
F000234,2026_Q2_Forecast,2026-06-01,A4020,D00,R04,Services,Actualized,0,Closed actual
F000235,2026_Q2_Forecast,2026-07-01,A4020,D00,R04,Services,Forecast,0,Q2 reforecast adjustment
F000236,2026_Q2_Forecast,2026-08-01,A4020,D00,R04,Services,Forecast,0,Q2 reforecast adjustment
F000237,2026_Q2_Forecast,2026-09-01,A4020,D00,R04,Services,Forecast,0,Q2 reforecast adjustment
F000238,2026_Q2_Forecast,2026-10-01,A4020,D00,R04,Services,Forecast,0,Q2 reforecast adjustment
F000239,2026_Q2_Forecast,2026-11-01,A4020,D00,R04,Services,Forecast,0,Q2 reforecast adjustment
F000240,2026_Q2_Forecast,2026-12-01,A4020,D00,R04,Services,Forecast,0,Q2 reforecast adjustment
F000241,2026_Q2_Forecast,2026-01-01,A6100,D04,R03,Corporate,Actualized,618675.62,Closed actual
F000242,2026_Q2_Forecast,2026-02-01,A6100,D04,R03,Corporate,Actualized,618675.62,Closed actual
F000243,2026_Q2_Forecast,2026-03-01,A6100,D04,R03,Corporate,Actualized,618675.62,Closed actual
F000244,2026_Q2_Forecast,2026-04-01,A6100,D04,R03,Corporate,Actualized,618675.62,Closed actual
F000245,2026_Q2_Forecast,2026-05-01,A6100,D04,R03,Corporate,Actualized,622319.82,Closed actual
F000246,2026_Q2_Forecast,2026-06-01,A6100,D04,R03,Corporate,Actualized,622319.82,Closed actual
F000247,2026_Q2_Forecast,2026-07-01,A6100,D04,R03,Corporate,Forecast,615069.97,Q2 reforecast adjustment
F000248,2026_Q2_Forecast,2026-08-01,A6100,D04,R03,Corporate,Forecast,632687.51,Q2 reforecast adjustment
F000249,2026_Q2_Forecast,2026-09-01,A6100,D04,R03,Corporate,Forecast,632687.51,Q2 reforecast adjustment
