budget_row_id,budget_version,month_start,account_id,department_id,region_id,business_line,amount_usd,budget_driver
B000035,FY2026_Budget_v1,2026-11-01,A4000,D00,R04,Subscription,1658034.41,Growth and retention plan
B000036,FY2026_Budget_v1,2026-12-01,A4000,D00,R04,Subscription,1648982.55,Growth and retention plan
B000037,FY2026_Budget_v1,2026-01-01,A4000,D00,R01,Subscription,3098122.19,Growth and retention plan
B000038,FY2026_Budget_v1,2026-02-01,A4000,D00,R01,Subscription,3103096.49,Growth and retention plan
B000039,FY2026_Budget_v1,2026-03-01,A4000,D00,R01,Subscription,3115313.66,Growth and retention plan
B000040,FY2026_Budget_v1,2026-04-01,A4000,D00,R01,Subscription,3136004.67,Growth and retention plan
B000041,FY2026_Budget_v1,2026-05-01,A4000,D00,R01,Subscription,3159287.05,Growth and retention plan
B000042,FY2026_Budget_v1,2026-06-01,A4000,D00,R01,Subscription,3172755.37,Growth and retention plan
B000043,FY2026_Budget_v1,2026-07-01,A4000,D00,R01,Subscription,3182602.06,Growth and retention plan
B000044,FY2026_Budget_v1,2026-08-01,A4000,D00,R01,Subscription,3240464.98,Growth and retention plan
B000045,FY2026_Budget_v1,2026-09-01,A4000,D00,R01,Subscription,3309687.15,Growth and retention plan
B000046,FY2026_Budget_v1,2026-10-01,A4000,D00,R01,Subscription,3340079.42,Growth and retention plan
B000047,FY2026_Budget_v1,2026-11-01,A4000,D00,R01,Subscription,3366385.88,Growth and retention plan
B000048,FY2026_Budget_v1,2026-12-01,A4000,D00,R01,Subscription,3408854.13,Growth and retention plan
B000049,FY2026_Budget_v1,2026-01-01,A4010,D00,R02,Services,511987.97,Growth and retention plan
B000050,FY2026_Budget_v1,2026-02-01,A4010,D00,R02,Services,463379.35,Growth and retention plan
B000051,FY2026_Budget_v1,2026-03-01,A4010,D00,R02,Services,288481.81,Growth and retention plan
B000052,FY2026_Budget_v1,2026-04-01,A4010,D00,R02,Services,359118.86,Growth and retention plan
B000053,FY2026_Budget_v1,2026-05-01,A4010,D00,R02,Services,127851.1,Growth and retention plan
B000054,FY2026_Budget_v1,2026-06-01,A4010,D00,R02,Services,307999.19,Growth and retention plan
B000055,FY2026_Budget_v1,2026-07-01,A4010,D00,R02,Services,261215.07,Growth and retention plan
B000056,FY2026_Budget_v1,2026-08-01,A4010,D00,R02,Services,500874.55,Growth and retention plan
B000057,FY2026_Budget_v1,2026-09-01,A4010,D00,R02,Services,501734.9,Growth and retention plan
B000058,FY2026_Budget_v1,2026-10-01,A4010,D00,R02,Services,493850.15,Growth and retention plan
B000059,FY2026_Budget_v1,2026-11-01,A4010,D00,R02,Services,417122.65,Growth and retention plan
B000060,FY2026_Budget_v1,2026-12-01,A4010,D00,R02,Services,125233.57,Growth and retention plan
B000061,FY2026_Budget_v1,2026-01-01,A5030,D03,R02,Services,25151.02,Headcount and unit-cost plan
B000062,FY2026_Budget_v1,2026-02-01,A5030,D03,R02,Services,41056.73,Headcount and unit-cost plan
B000063,FY2026_Budget_v1,2026-03-01,A5030,D03,R02,Services,16481.93,Headcount and unit-cost plan
B000064,FY2026_Budget_v1,2026-04-01,A5030,D03,R02,Services,22728.08,Headcount and unit-cost plan
B000065,FY2026_Budget_v1,2026-05-01,A5030,D03,R02,Services,9697.19,Headcount and unit-cost plan
B000066,FY2026_Budget_v1,2026-06-01,A5030,D03,R02,Services,17153.5,Headcount and unit-cost plan
B000067,FY2026_Budget_v1,2026-07-01,A5030,D03,R02,Services,16955.01,Headcount and unit-cost plan
B000068,FY2026_Budget_v1,2026-08-01,A5030,D03,R02,Services,23136.03,Headcount and unit-cost plan
B000069,FY2026_Budget_v1,2026-09-01,A5030,D03,R02,Services,24247.13,Headcount and unit-cost plan
B000070,FY2026_Budget_v1,2026-10-01,A5030,D03,R02,Services,23701.56,Headcount and unit-cost plan
B000071,FY2026_Budget_v1,2026-11-01,A5030,D03,R02,Services,27144.31,Headcount and unit-cost plan
B000072,FY2026_Budget_v1,2026-12-01,A5030,D03,R02,Services,9827.94,Headcount and unit-cost plan
B000073,FY2026_Budget_v1,2026-01-01,A5040,D03,R02,Services,7068.78,Headcount and unit-cost plan
B000074,FY2026_Budget_v1,2026-02-01,A5040,D03,R02,Services,6914.49,Headcount and unit-cost plan
B000075,FY2026_Budget_v1,2026-03-01,A5040,D03,R02,Services,4150.54,Headcount and unit-cost plan
B000076,FY2026_Budget_v1,2026-04-01,A5040,D03,R02,Services,4481.76,Headcount and unit-cost plan
B000077,FY2026_Budget_v1,2026-05-01,A5040,D03,R02,Services,1454.26,Headcount and unit-cost plan
B000078,FY2026_Budget_v1,2026-06-01,A5040,D03,R02,Services,2366.19,Headcount and unit-cost plan
B000079,FY2026_Budget_v1,2026-07-01,A5040,D03,R02,Services,5263.91,Headcount and unit-cost plan
B000080,FY2026_Budget_v1,2026-08-01,A5040,D03,R02,Services,8543.37,Headcount and unit-cost plan
B000081,FY2026_Budget_v1,2026-09-01,A5040,D03,R02,Services,8768.86,Headcount and unit-cost plan
B000082,FY2026_Budget_v1,2026-10-01,A5040,D03,R02,Services,4960.29,Headcount and unit-cost plan
B000083,FY2026_Budget_v1,2026-11-01,A5040,D03,R02,Services,1759.9,Headcount and unit-cost plan
B000084,FY2026_Budget_v1,2026-12-01,A5040,D03,R02,Services,894.07,Headcount and unit-cost plan
B000085,FY2026_Budget_v1,2026-01-01,A4010,D00,R01,Services,263610.96,Growth and retention plan
B000086,FY2026_Budget_v1,2026-02-01,A4010,D00,R01,Services,428259.1,Growth and retention plan
B000087,FY2026_Budget_v1,2026-03-01,A4010,D00,R01,Services,554928.01,Growth and retention plan
B000088,FY2026_Budget_v1,2026-04-01,A4010,D00,R01,Services,550058.04,Growth and retention plan
B000089,FY2026_Budget_v1,2026-05-01,A4010,D00,R01,Services,618223.78,Growth and retention plan
B000090,FY2026_Budget_v1,2026-06-01,A4010,D00,R01,Services,553812.88,Growth and retention plan
B000091,FY2026_Budget_v1,2026-07-01,A4010,D00,R01,Services,599512.49,Growth and retention plan
B000092,FY2026_Budget_v1,2026-08-01,A4010,D00,R01,Services,613374.9,Growth and retention plan
B000093,FY2026_Budget_v1,2026-09-01,A4010,D00,R01,Services,391930.81,Growth and retention plan
B000094,FY2026_Budget_v1,2026-10-01,A4010,D00,R01,Services,540535.53,Growth and retention plan
B000095,FY2026_Budget_v1,2026-11-01,A4010,D00,R01,Services,758852.55,Growth and retention plan
B000096,FY2026_Budget_v1,2026-12-01,A4010,D00,R01,Services,782602.78,Growth and retention plan
B000097,FY2026_Budget_v1,2026-01-01,A5030,D03,R01,Services,20099.28,Headcount and unit-cost plan
B000098,FY2026_Budget_v1,2026-02-01,A5030,D03,R01,Services,31747.26,Headcount and unit-cost plan
B000099,FY2026_Budget_v1,2026-03-01,A5030,D03,R01,Services,39847.4,Headcount and unit-cost plan
B000100,FY2026_Budget_v1,2026-04-01,A5030,D03,R01,Services,36914.4,Headcount and unit-cost plan
B000101,FY2026_Budget_v1,2026-05-01,A5030,D03,R01,Services,35492.57,Headcount and unit-cost plan
B000102,FY2026_Budget_v1,2026-06-01,A5030,D03,R01,Services,41606.5,Headcount and unit-cost plan
B000103,FY2026_Budget_v1,2026-07-01,A5030,D03,R01,Services,41517.28,Headcount and unit-cost plan
B000104,FY2026_Budget_v1,2026-08-01,A5030,D03,R01,Services,50120.95,Headcount and unit-cost plan
B000105,FY2026_Budget_v1,2026-09-01,A5030,D03,R01,Services,24348.22,Headcount and unit-cost plan
B000106,FY2026_Budget_v1,2026-10-01,A5030,D03,R01,Services,25072.52,Headcount and unit-cost plan
B000107,FY2026_Budget_v1,2026-11-01,A5030,D03,R01,Services,42667.32,Headcount and unit-cost plan
B000108,FY2026_Budget_v1,2026-12-01,A5030,D03,R01,Services,63400.16,Headcount and unit-cost plan
B000109,FY2026_Budget_v1,2026-01-01,A5040,D03,R01,Services,2787.14,Headcount and unit-cost plan
B000110,FY2026_Budget_v1,2026-02-01,A5040,D03,R01,Services,4169.31,Headcount and unit-cost plan
B000111,FY2026_Budget_v1,2026-03-01,A5040,D03,R01,Services,5892.25,Headcount and unit-cost plan
B000112,FY2026_Budget_v1,2026-04-01,A5040,D03,R01,Services,6773.95,Headcount and unit-cost plan
B000113,FY2026_Budget_v1,2026-05-01,A5040,D03,R01,Services,7358.35,Headcount and unit-cost plan
B000114,FY2026_Budget_v1,2026-06-01,A5040,D03,R01,Services,7487.63,Headcount and unit-cost plan
B000115,FY2026_Budget_v1,2026-07-01,A5040,D03,R01,Services,7340.46,Headcount and unit-cost plan
B000116,FY2026_Budget_v1,2026-08-01,A5040,D03,R01,Services,9489.74,Headcount and unit-cost plan
B000117,FY2026_Budget_v1,2026-09-01,A5040,D03,R01,Services,5215.27,Headcount and unit-cost plan
B000118,FY2026_Budget_v1,2026-10-01,A5040,D03,R01,Services,7201.17,Headcount and unit-cost plan
B000119,FY2026_Budget_v1,2026-11-01,A5040,D03,R01,Services,8133.85,Headcount and unit-cost plan
B000120,FY2026_Budget_v1,2026-12-01,A5040,D03,R01,Services,10117.34,Headcount and unit-cost plan
B000121,FY2026_Budget_v1,2026-01-01,A4010,D00,R03,Services,714309.86,Growth and retention plan
B000122,FY2026_Budget_v1,2026-02-01,A4010,D00,R03,Services,814649.53,Growth and retention plan
B000123,FY2026_Budget_v1,2026-03-01,A4010,D00,R03,Services,970586.87,Growth and retention plan
B000124,FY2026_Budget_v1,2026-04-01,A4010,D00,R03,Services,741458.88,Growth and retention plan
B000125,FY2026_Budget_v1,2026-05-01,A4010,D00,R03,Services,564996.79,Growth and retention plan
B000126,FY2026_Budget_v1,2026-06-01,A4010,D00,R03,Services,627664.93,Growth and retention plan
B000127,FY2026_Budget_v1,2026-07-01,A4010,D00,R03,Services,540483.38,Growth and retention plan
B000128,FY2026_Budget_v1,2026-08-01,A4010,D00,R03,Services,493854.52,Growth and retention plan
B000129,FY2026_Budget_v1,2026-09-01,A4010,D00,R03,Services,938872.06,Growth and retention plan
B000130,FY2026_Budget_v1,2026-10-01,A4010,D00,R03,Services,1328413.6,Growth and retention plan
B000131,FY2026_Budget_v1,2026-11-01,A4010,D00,R03,Services,1418625.5,Growth and retention plan
B000132,FY2026_Budget_v1,2026-12-01,A4010,D00,R03,Services,735787.65,Growth and retention plan
B000133,FY2026_Budget_v1,2026-01-01,A5030,D03,R03,Services,37866.67,Headcount and unit-cost plan
B000134,FY2026_Budget_v1,2026-02-01,A5030,D03,R03,Services,64463.37,Headcount and unit-cost plan
B000135,FY2026_Budget_v1,2026-03-01,A5030,D03,R03,Services,71631.38,Headcount and unit-cost plan
B000136,FY2026_Budget_v1,2026-04-01,A5030,D03,R03,Services,47058.63,Headcount and unit-cost plan
B000137,FY2026_Budget_v1,2026-05-01,A5030,D03,R03,Services,41786.59,Headcount and unit-cost plan
B000138,FY2026_Budget_v1,2026-06-01,A5030,D03,R03,Services,34848.79,Headcount and unit-cost plan
B000139,FY2026_Budget_v1,2026-07-01,A5030,D03,R03,Services,43734.09,Headcount and unit-cost plan
B000140,FY2026_Budget_v1,2026-08-01,A5030,D03,R03,Services,27211.01,Headcount and unit-cost plan
B000141,FY2026_Budget_v1,2026-09-01,A5030,D03,R03,Services,78109.47,Headcount and unit-cost plan
B000142,FY2026_Budget_v1,2026-10-01,A5030,D03,R03,Services,80211.69,Headcount and unit-cost plan
B000143,FY2026_Budget_v1,2026-11-01,A5030,D03,R03,Services,76666.36,Headcount and unit-cost plan
B000144,FY2026_Budget_v1,2026-12-01,A5030,D03,R03,Services,52468.25,Headcount and unit-cost plan
B000145,FY2026_Budget_v1,2026-01-01,A5040,D03,R03,Services,9251.42,Headcount and unit-cost plan
B000146,FY2026_Budget_v1,2026-02-01,A5040,D03,R03,Services,12125.73,Headcount and unit-cost plan
B000147,FY2026_Budget_v1,2026-03-01,A5040,D03,R03,Services,10587.61,Headcount and unit-cost plan
B000148,FY2026_Budget_v1,2026-04-01,A5040,D03,R03,Services,8112.59,Headcount and unit-cost plan
B000149,FY2026_Budget_v1,2026-05-01,A5040,D03,R03,Services,8926.54,Headcount and unit-cost plan
B000150,FY2026_Budget_v1,2026-06-01,A5040,D03,R03,Services,6812.3,Headcount and unit-cost plan
B000151,FY2026_Budget_v1,2026-07-01,A5040,D03,R03,Services,4630.06,Headcount and unit-cost plan
B000152,FY2026_Budget_v1,2026-08-01,A5040,D03,R03,Services,7281.46,Headcount and unit-cost plan
B000153,FY2026_Budget_v1,2026-09-01,A5040,D03,R03,Services,7442.06,Headcount and unit-cost plan
B000154,FY2026_Budget_v1,2026-10-01,A5040,D03,R03,Services,9443.61,Headcount and unit-cost plan
B000155,FY2026_Budget_v1,2026-11-01,A5040,D03,R03,Services,15683.06,Headcount and unit-cost plan
B000156,FY2026_Budget_v1,2026-12-01,A5040,D03,R03,Services,9324.94,Headcount and unit-cost plan
B000157,FY2026_Budget_v1,2026-01-01,A4010,D00,R04,Services,799700.69,Growth and retention plan
B000158,FY2026_Budget_v1,2026-02-01,A4010,D00,R04,Services,723501.38,Growth and retention plan
B000159,FY2026_Budget_v1,2026-03-01,A4010,D00,R04,Services,328431.53,Growth and retention plan
B000160,FY2026_Budget_v1,2026-04-01,A4010,D00,R04,Services,144990.73,Growth and retention plan
B000161,FY2026_Budget_v1,2026-05-01,A4010,D00,R04,Services,118391.35,Growth and retention plan
B000162,FY2026_Budget_v1,2026-06-01,A4010,D00,R04,Services,138984.07,Growth and retention plan
B000163,FY2026_Budget_v1,2026-07-01,A4010,D00,R04,Services,159021.45,Growth and retention plan
B000164,FY2026_Budget_v1,2026-08-01,A4010,D00,R04,Services,195021.04,Growth and retention plan
B000165,FY2026_Budget_v1,2026-09-01,A4010,D00,R04,Services,149091.79,Growth and retention plan
B000166,FY2026_Budget_v1,2026-10-01,A4010,D00,R04,Services,161729.76,Growth and retention plan
B000167,FY2026_Budget_v1,2026-11-01,A4010,D00,R04,Services,153374.11,Growth and retention plan
B000168,FY2026_Budget_v1,2026-12-01,A4010,D00,R04,Services,154310.65,Growth and retention plan
B000169,FY2026_Budget_v1,2026-01-01,A5030,D03,R04,Services,68623.2,Headcount and unit-cost plan
B000170,FY2026_Budget_v1,2026-02-01,A5030,D03,R04,Services,46944.99,Headcount and unit-cost plan
B000171,FY2026_Budget_v1,2026-03-01,A5030,D03,R04,Services,21528.72,Headcount and unit-cost plan
B000172,FY2026_Budget_v1,2026-04-01,A5030,D03,R04,Services,11781.74,Headcount and unit-cost plan
B000173,FY2026_Budget_v1,2026-05-01,A5030,D03,R04,Services,4934.49,Headcount and unit-cost plan
B000174,FY2026_Budget_v1,2026-06-01,A5030,D03,R04,Services,4955.79,Headcount and unit-cost plan
B000175,FY2026_Budget_v1,2026-07-01,A5030,D03,R04,Services,7908.24,Headcount and unit-cost plan
B000176,FY2026_Budget_v1,2026-08-01,A5030,D03,R04,Services,7112.02,Headcount and unit-cost plan
B000177,FY2026_Budget_v1,2026-09-01,A5030,D03,R04,Services,2377.94,Headcount and unit-cost plan
B000178,FY2026_Budget_v1,2026-10-01,A5030,D03,R04,Services,6314.22,Headcount and unit-cost plan
B000179,FY2026_Budget_v1,2026-11-01,A5030,D03,R04,Services,2948.83,Headcount and unit-cost plan
B000180,FY2026_Budget_v1,2026-12-01,A5030,D03,R04,Services,2146.48,Headcount and unit-cost plan
B000181,FY2026_Budget_v1,2026-01-01,A5040,D03,R04,Services,8516.85,Headcount and unit-cost plan
B000182,FY2026_Budget_v1,2026-02-01,A5040,D03,R04,Services,11513.57,Headcount and unit-cost plan
B000183,FY2026_Budget_v1,2026-03-01,A5040,D03,R04,Services,5271.65,Headcount and unit-cost plan
B000184,FY2026_Budget_v1,2026-04-01,A5040,D03,R04,Services,2256.65,Headcount and unit-cost plan
B000185,FY2026_Budget_v1,2026-05-01,A5040,D03,R04,Services,1150.38,Headcount and unit-cost plan
B000186,FY2026_Budget_v1,2026-06-01,A5040,D03,R04,Services,1371.07,Headcount and unit-cost plan
B000187,FY2026_Budget_v1,2026-07-01,A5040,D03,R04,Services,1588.38,Headcount and unit-cost plan
B000188,FY2026_Budget_v1,2026-08-01,A5040,D03,R04,Services,2751.4,Headcount and unit-cost plan
B000189,FY2026_Budget_v1,2026-09-01,A5040,D03,R04,Services,1580.82,Headcount and unit-cost plan
B000190,FY2026_Budget_v1,2026-10-01,A5040,D03,R04,Services,2895.77,Headcount and unit-cost plan
B000191,FY2026_Budget_v1,2026-11-01,A5040,D03,R04,Services,1629.9,Headcount and unit-cost plan
B000192,FY2026_Budget_v1,2026-12-01,A5040,D03,R04,Services,1641.51,Headcount and unit-cost plan
B000193,FY2026_Budget_v1,2026-01-01,A4020,D00,R03,Services,0,Growth and retention plan
B000194,FY2026_Budget_v1,2026-02-01,A4020,D00,R03,Services,0,Growth and retention plan
B000195,FY2026_Budget_v1,2026-03-01,A4020,D00,R03,Services,0,Growth and retention plan
B000196,FY2026_Budget_v1,2026-04-01,A4020,D00,R03,Services,0,Growth and retention plan
B000197,FY2026_Budget_v1,2026-05-01,A4020,D00,R03,Services,78187.9,Growth and retention plan
B000198,FY2026_Budget_v1,2026-06-01,A4020,D00,R03,Services,0,Growth and retention plan
B000199,FY2026_Budget_v1,2026-07-01,A4020,D00,R03,Services,0,Growth and retention plan
B000200,FY2026_Budget_v1,2026-08-01,A4020,D00,R03,Services,32754.74,Growth and retention plan
B000201,FY2026_Budget_v1,2026-09-01,A4020,D00,R03,Services,0,Growth and retention plan
B000202,FY2026_Budget_v1,2026-10-01,A4020,D00,R03,Services,0,Growth and retention plan
B000203,FY2026_Budget_v1,2026-11-01,A4020,D00,R03,Services,0,Growth and retention plan
B000204,FY2026_Budget_v1,2026-12-01,A4020,D00,R03,Services,0,Growth and retention plan
B000205,FY2026_Budget_v1,2026-01-01,A4020,D00,R02,Services,0,Growth and retention plan
B000206,FY2026_Budget_v1,2026-02-01,A4020,D00,R02,Services,32754.74,Growth and retention plan
B000207,FY2026_Budget_v1,2026-03-01,A4020,D00,R02,Services,0,Growth and retention plan
B000208,FY2026_Budget_v1,2026-04-01,A4020,D00,R02,Services,0,Growth and retention plan
B000209,FY2026_Budget_v1,2026-05-01,A4020,D00,R02,Services,0,Growth and retention plan
B000210,FY2026_Budget_v1,2026-06-01,A4020,D00,R02,Services,0,Growth and retention plan
B000211,FY2026_Budget_v1,2026-07-01,A4020,D00,R02,Services,0,Growth and retention plan
B000212,FY2026_Budget_v1,2026-08-01,A4020,D00,R02,Services,0,Growth and retention plan
B000213,FY2026_Budget_v1,2026-09-01,A4020,D00,R02,Services,0,Growth and retention plan
B000214,FY2026_Budget_v1,2026-10-01,A4020,D00,R02,Services,0,Growth and retention plan
B000215,FY2026_Budget_v1,2026-11-01,A4020,D00,R02,Services,0,Growth and retention plan
B000216,FY2026_Budget_v1,2026-12-01,A4020,D00,R02,Services,0,Growth and retention plan
B000217,FY2026_Budget_v1,2026-01-01,A4020,D00,R01,Services,0,Growth and retention plan
B000218,FY2026_Budget_v1,2026-02-01,A4020,D00,R01,Services,0,Growth and retention plan
B000219,FY2026_Budget_v1,2026-03-01,A4020,D00,R01,Services,0,Growth and retention plan
B000220,FY2026_Budget_v1,2026-04-01,A4020,D00,R01,Services,0,Growth and retention plan
B000221,FY2026_Budget_v1,2026-05-01,A4020,D00,R01,Services,0,Growth and retention plan
B000222,FY2026_Budget_v1,2026-06-01,A4020,D00,R01,Services,0,Growth and retention plan
B000223,FY2026_Budget_v1,2026-07-01,A4020,D00,R01,Services,0,Growth and retention plan
B000224,FY2026_Budget_v1,2026-08-01,A4020,D00,R01,Services,96151.68,Growth and retention plan
B000225,FY2026_Budget_v1,2026-09-01,A4020,D00,R01,Services,0,Growth and retention plan
B000226,FY2026_Budget_v1,2026-10-01,A4020,D00,R01,Services,0,Growth and retention plan
B000227,FY2026_Budget_v1,2026-11-01,A4020,D00,R01,Services,0,Growth and retention plan
B000228,FY2026_Budget_v1,2026-12-01,A4020,D00,R01,Services,0,Growth and retention plan
B000229,FY2026_Budget_v1,2026-01-01,A4020,D00,R04,Services,0,Growth and retention plan
B000230,FY2026_Budget_v1,2026-02-01,A4020,D00,R04,Services,69673.85,Growth and retention plan
B000231,FY2026_Budget_v1,2026-03-01,A4020,D00,R04,Services,69673.85,Growth and retention plan
B000232,FY2026_Budget_v1,2026-04-01,A4020,D00,R04,Services,0,Growth and retention plan
B000233,FY2026_Budget_v1,2026-05-01,A4020,D00,R04,Services,0,Growth and retention plan
B000234,FY2026_Budget_v1,2026-06-01,A4020,D00,R04,Services,0,Growth and retention plan
B000235,FY2026_Budget_v1,2026-07-01,A4020,D00,R04,Services,0,Growth and retention plan
B000236,FY2026_Budget_v1,2026-08-01,A4020,D00,R04,Services,0,Growth and retention plan
B000237,FY2026_Budget_v1,2026-09-01,A4020,D00,R04,Services,0,Growth and retention plan
B000238,FY2026_Budget_v1,2026-10-01,A4020,D00,R04,Services,0,Growth and retention plan
B000239,FY2026_Budget_v1,2026-11-01,A4020,D00,R04,Services,0,Growth and retention plan
B000240,FY2026_Budget_v1,2026-12-01,A4020,D00,R04,Services,0,Growth and retention plan
B000241,FY2026_Budget_v1,2026-01-01,A6100,D04,R03,Corporate,625000.32,Headcount and unit-cost plan
B000242,FY2026_Budget_v1,2026-02-01,A6100,D04,R03,Corporate,625000.32,Headcount and unit-cost plan
B000243,FY2026_Budget_v1,2026-03-01,A6100,D04,R03,Corporate,625000.32,Headcount and unit-cost plan
B000244,FY2026_Budget_v1,2026-04-01,A6100,D04,R03,Corporate,625000.32,Headcount and unit-cost plan
B000245,FY2026_Budget_v1,2026-05-01,A6100,D04,R03,Corporate,640697.89,Headcount and unit-cost plan
B000246,FY2026_Budget_v1,2026-06-01,A6100,D04,R03,Corporate,640697.89,Headcount and unit-cost plan
B000247,FY2026_Budget_v1,2026-07-01,A6100,D04,R03,Corporate,640697.89,Headcount and unit-cost plan
B000248,FY2026_Budget_v1,2026-08-01,A6100,D04,R03,Corporate,659049.49,Headcount and unit-cost plan
B000249,FY2026_Budget_v1,2026-09-01,A6100,D04,R03,Corporate,659049.49,Headcount and unit-cost plan
B000250,FY2026_Budget_v1,2026-10-01,A6100,D04,R03,Corporate,659049.49,Headcount and unit-cost plan
B000251,FY2026_Budget_v1,2026-11-01,A6100,D04,R03,Corporate,659049.49,Headcount and unit-cost plan
B000252,FY2026_Budget_v1,2026-12-01,A6100,D04,R03,Corporate,675462.23,Headcount and unit-cost plan
B000253,FY2026_Budget_v1,2026-01-01,A6200,D06,R02,Corporate,580306.57,Headcount and unit-cost plan
B000254,FY2026_Budget_v1,2026-02-01,A6200,D06,R02,Corporate,594582.86,Headcount and unit-cost plan
B000255,FY2026_Budget_v1,2026-03-01,A6200,D06,R02,Corporate,619822.66,Headcount and unit-cost plan
B000256,FY2026_Budget_v1,2026-04-01,A6200,D06,R02,Corporate,648957.07,Headcount and unit-cost plan
B000257,FY2026_Budget_v1,2026-05-01,A6200,D06,R02,Corporate,648957.07,Headcount and unit-cost plan
B000258,FY2026_Budget_v1,2026-06-01,A6200,D06,R02,Corporate,648957.07,Headcount and unit-cost plan
B000259,FY2026_Budget_v1,2026-07-01,A6200,D06,R02,Corporate,630501.9,Headcount and unit-cost plan
B000260,FY2026_Budget_v1,2026-08-01,A6200,D06,R02,Corporate,651204.21,Headcount and unit-cost plan
B000261,FY2026_Budget_v1,2026-09-01,A6200,D06,R02,Corporate,651204.21,Headcount and unit-cost plan
B000262,FY2026_Budget_v1,2026-10-01,A6200,D06,R02,Corporate,651204.21,Headcount and unit-cost plan
B000263,FY2026_Budget_v1,2026-11-01,A6200,D06,R02,Corporate,652573.73,Headcount and unit-cost plan
B000264,FY2026_Budget_v1,2026-12-01,A6200,D06,R02,Corporate,639508.43,Headcount and unit-cost plan
B000265,FY2026_Budget_v1,2026-01-01,A5020,D03,R02,Services,449417.4,Headcount and unit-cost plan
B000266,FY2026_Budget_v1,2026-02-01,A5020,D03,R02,Services,449417.4,Headcount and unit-cost plan
B000267,FY2026_Budget_v1,2026-03-01,A5020,D03,R02,Services,423934.49,Headcount and unit-cost plan
