employee_id,department_id,region_id,job_family,level,employment_type,start_month,end_month,annual_base_salary_at_hire_usd
E0110,D01,R01,Cloud Engineering,Professional,Full-time,2020-12-01,,157257.45
E0111,D03,R02,Implementation Consulting,Senior,Full-time,2022-03-01,,111605.99
E0112,D01,R02,Cloud Engineering,Director,Full-time,2022-01-01,,200449.08
E0113,D05,R04,Marketing,Professional,Full-time,2021-05-01,,70485.36
E0114,D06,R04,Software Engineering,Senior,Full-time,2019-09-01,2023-07-01,133840.48
E0115,D03,R02,Implementation Consulting,Senior,Full-time,2021-06-01,,110636.46
E0116,D03,R01,Implementation Consulting,Associate,Full-time,2019-01-01,,98467.7
E0117,D07,R02,Finance and Accounting,Senior,Full-time,2021-02-01,,109841.25
E0118,D06,R04,Software Engineering,Senior,Full-time,2022-08-01,2023-06-01,111923.73
E0119,D04,R03,Enterprise Sales,Manager,Full-time,2021-06-01,,143823.39
E0120,D03,R03,Implementation Consulting,Professional,Full-time,2022-07-01,,107346.84
E0121,D04,R03,Enterprise Sales,Professional,Full-time,2020-05-01,,105926.72
E0122,D03,R03,Implementation Consulting,Professional,Full-time,2022-10-01,,101180.2
E0123,D05,R02,Marketing,Manager,Full-time,2021-04-01,2023-04-01,126452.03
E0124,D11,R02,Executive Leadership,Professional,Full-time,2020-10-01,,214447.18
E0125,D09,R03,Legal and Compliance,VP,Full-time,2021-07-01,,386248.66
E0126,D03,R02,Implementation Consulting,Senior,Full-time,2019-06-01,,125962.24
E0127,D10,R02,Corporate IT,Associate,Full-time,2022-01-01,,81905.39
E0128,D03,R03,Implementation Consulting,Associate,Full-time,2021-07-01,,80137.18
E0129,D06,R01,Software Engineering,Manager,Full-time,2020-12-01,,222818.49
E0130,D03,R01,Implementation Consulting,Senior,Full-time,2019-04-01,,133071.59
E0131,D02,R03,Customer Support,Professional,Full-time,2020-08-01,,68222.12
E0132,D03,R01,Implementation Consulting,Senior,Full-time,2019-03-01,2023-12-01,144729.11
E0133,D06,R03,Software Engineering,Senior,Full-time,2021-10-01,,201363.09
E0134,D08,R02,People Operations,Associate,Full-time,2019-12-01,,68860.72
E0135,D04,R03,Enterprise Sales,Director,Full-time,2020-12-01,,218602.45
E0136,D03,R03,Implementation Consulting,Manager,Full-time,2021-04-01,,132659.16
E0137,D06,R04,Software Engineering,Senior,Full-time,2019-11-01,2023-03-01,121866.88
E0138,D04,R02,Enterprise Sales,Senior,Full-time,2021-07-01,,109047.28
E0139,D01,R04,Cloud Engineering,Professional,Full-time,2019-08-01,,101920.98
E0140,D04,R03,Enterprise Sales,Associate,Full-time,2020-03-01,,90767.42
E0141,D01,R01,Cloud Engineering,Senior,Full-time,2020-08-01,,170689.45
E0142,D06,R03,Software Engineering,Senior,Full-time,2021-04-01,,169566.84
E0143,D03,R02,Implementation Consulting,Associate,Full-time,2021-01-01,2024-10-01,81254.66
E0144,D05,R01,Marketing,Senior,Full-time,2022-12-01,,121931.58
E0145,D06,R01,Software Engineering,Professional,Full-time,2020-09-01,,162111.47
E0146,D03,R02,Implementation Consulting,Senior,Full-time,2019-09-01,,113509.18
E0147,D04,R03,Enterprise Sales,Associate,Full-time,2019-03-01,,86048.12
E0148,D06,R04,Software Engineering,Associate,Full-time,2022-11-01,,95597.89
E0149,D07,R03,Finance and Accounting,VP,Full-time,2022-06-01,,254641.94
E0150,D04,R03,Enterprise Sales,Senior,Full-time,2022-06-01,,133359.69
E0151,D03,R01,Implementation Consulting,Associate,Full-time,2019-08-01,,99582.41
E0152,D04,R04,Enterprise Sales,Associate,Full-time,2021-03-01,,69675.84
E0153,D05,R04,Marketing,Associate,Full-time,2022-06-01,,60775.07
E0154,D06,R01,Software Engineering,Senior,Full-time,2022-03-01,2023-08-01,176107.28
E0155,D06,R01,Software Engineering,Senior,Full-time,2022-08-01,,175123.73
E0156,D05,R02,Marketing,Professional,Full-time,2022-03-01,,86903.96
E0157,D04,R01,Enterprise Sales,Manager,Full-time,2022-05-01,,155231.4
E0158,D08,R01,People Operations,Associate,Full-time,2019-03-01,,87772.33
E0159,D06,R03,Software Engineering,Professional,Full-time,2019-09-01,,147098.01
E0160,D06,R01,Software Engineering,Associate,Full-time,2020-11-01,,118322.49
E0161,D03,R01,Implementation Consulting,Associate,Full-time,2021-03-01,2024-09-01,75507.44
E0162,D04,R03,Enterprise Sales,Senior,Full-time,2019-12-01,,122408.85
E0163,D05,R04,Marketing,Senior,Full-time,2020-10-01,,98869.15
E0164,D02,R01,Customer Support,Manager,Full-time,2021-10-01,,127528.84
E0165,D03,R03,Implementation Consulting,Professional,Full-time,2019-03-01,,117810.4
E0166,D02,R03,Customer Support,VP,Full-time,2019-02-01,,187141.59
E0167,D04,R02,Enterprise Sales,Senior,Full-time,2020-11-01,,118646.22
E0168,D02,R03,Customer Support,Associate,Full-time,2020-07-01,,62771.88
E0169,D01,R02,Cloud Engineering,Senior,Full-time,2022-02-01,,125442.92
E0170,D01,R02,Cloud Engineering,Senior,Full-time,2021-03-01,,154794.59
E0171,D06,R02,Software Engineering,Professional,Full-time,2021-12-01,2025-07-01,129575.75
E0172,D10,R04,Corporate IT,Professional,Full-time,2022-10-01,,88712.37
E0173,D06,R04,Software Engineering,Associate,Full-time,2019-01-01,,80326.63
E0174,D04,R03,Enterprise Sales,VP,Full-time,2022-08-01,,283292.49
E0175,D04,R02,Enterprise Sales,Professional,Full-time,2019-03-01,,88467.47
E0176,D06,R01,Software Engineering,Associate,Full-time,2021-10-01,2025-04-01,127954.33
E0177,D03,R02,Implementation Consulting,Manager,Full-time,2020-08-01,,139086.77
E0178,D04,R01,Enterprise Sales,Manager,Full-time,2022-09-01,,144698.78
E0179,D02,R02,Customer Support,Senior,Full-time,2022-12-01,2026-06-01,100877.19
E0180,D04,R04,Enterprise Sales,Professional,Full-time,2021-05-01,,83422.7
E0181,D04,R02,Enterprise Sales,Senior,Full-time,2021-04-01,,124129.06
E0182,D10,R01,Corporate IT,Professional,Full-time,2019-12-01,,132465.45
E0183,D06,R01,Software Engineering,Director,Full-time,2020-08-01,,264877.26
E0184,D04,R01,Enterprise Sales,Professional,Full-time,2019-05-01,,109397.48
E0185,D06,R01,Software Engineering,Associate,Full-time,2021-11-01,,119760.92
E0186,D04,R01,Enterprise Sales,Professional,Full-time,2020-02-01,,120934.12
E0187,D04,R01,Enterprise Sales,Associate,Full-time,2021-04-01,,84134.88
E0188,D11,R01,Executive Leadership,Senior,Full-time,2022-09-01,,328915.58
E0189,D07,R02,Finance and Accounting,Associate,Full-time,2022-02-01,,75447.31
E0190,D02,R01,Customer Support,Manager,Full-time,2020-04-01,,118245.35
E0191,D06,R01,Software Engineering,Professional,Full-time,2019-10-01,2023-04-01,138229.31
E0192,D07,R01,Finance and Accounting,Associate,Full-time,2019-11-01,,89131.81
E0193,D02,R03,Customer Support,Professional,Full-time,2021-12-01,,88273.09
E0194,D03,R01,Implementation Consulting,Professional,Full-time,2021-07-01,,113366.39
E0195,D09,R02,Legal and Compliance,Professional,Full-time,2021-07-01,,113919.18
E0196,D10,R03,Corporate IT,Associate,Full-time,2020-12-01,,95686.3
E0197,D01,R01,Cloud Engineering,Associate,Full-time,2019-01-01,,104166.08
E0198,D02,R02,Customer Support,Professional,Full-time,2021-06-01,,72750.7
E0199,D03,R03,Implementation Consulting,Professional,Full-time,2020-03-01,,117091.22
E0200,D02,R01,Customer Support,Professional,Full-time,2021-09-01,,81966.55
E0201,D08,R02,People Operations,Associate,Full-time,2020-02-01,,64194.77
E0202,D02,R02,Customer Support,Associate,Full-time,2020-12-01,,54187.35
E0203,D03,R02,Implementation Consulting,Associate,Full-time,2020-01-01,,84247.99
E0204,D06,R02,Software Engineering,Associate,Full-time,2021-11-01,,105704.51
E0205,D04,R02,Enterprise Sales,Director,Full-time,2022-09-01,,141066.24
E0206,D03,R03,Implementation Consulting,Manager,Full-time,2019-04-01,,150892.87
E0207,D06,R01,Software Engineering,Professional,Full-time,2021-07-01,,139415.42
E0208,D06,R02,Software Engineering,Senior,Full-time,2021-08-01,,156903.71
E0209,D02,R04,Customer Support,Professional,Full-time,2021-12-01,2025-05-01,66693.91
E0210,D03,R02,Implementation Consulting,Manager,Full-time,2022-02-01,2025-11-01,132898.15
E0211,D06,R01,Software Engineering,Manager,Full-time,2021-05-01,,204838.95
E0212,D05,R02,Marketing,Associate,Full-time,2021-09-01,,73216.02
E0213,D06,R03,Software Engineering,Manager,Full-time,2019-12-01,,210758.32
E0214,D03,R02,Implementation Consulting,Senior,Full-time,2021-07-01,,107525.45
E0215,D01,R01,Cloud Engineering,Associate,Full-time,2021-12-01,,99711.01
E0216,D06,R02,Software Engineering,Professional,Part-time,2020-09-01,,128420.58
E0217,D04,R03,Enterprise Sales,Professional,Full-time,2019-07-01,,118224.47
E0218,D06,R03,Software Engineering,Professional,Full-time,2022-10-01,,146855.75
E0219,D02,R01,Customer Support,Director,Full-time,2021-03-01,,165074.41
E0220,D03,R03,Implementation Consulting,Manager,Full-time,2021-09-01,,145792.48
E0221,D06,R02,Software Engineering,Professional,Full-time,2019-01-01,,119706.64
E0222,D06,R04,Software Engineering,Associate,Full-time,2020-04-01,,83964.4
E0223,D04,R03,Enterprise Sales,Senior,Full-time,2020-04-01,2026-05-01,131252.56
E0224,D06,R01,Software Engineering,Manager,Full-time,2019-01-01,,189806.48
E0225,D01,R02,Cloud Engineering,Senior,Full-time,2022-09-01,,137876.39
E0226,D01,R02,Cloud Engineering,Professional,Full-time,2020-01-01,2023-05-01,99131.08
E0227,D02,R02,Customer Support,Professional,Full-time,2021-01-01,,76146.96
E0228,D04,R02,Enterprise Sales,Manager,Part-time,2021-08-01,2023-04-01,156863.24
E0229,D06,R01,Software Engineering,Director,Full-time,2021-09-01,,308270.58
E0230,D06,R03,Software Engineering,Professional,Full-time,2020-08-01,,128752.47
E0231,D05,R03,Marketing,Professional,Full-time,2020-03-01,,94071.6
E0232,D09,R03,Legal and Compliance,Director,Full-time,2021-10-01,,278090.81
E0233,D03,R03,Implementation Consulting,Senior,Full-time,2019-01-01,,144114.48
E0234,D03,R03,Implementation Consulting,Associate,Full-time,2022-04-01,2024-12-01,81330.82
E0235,D06,R02,Software Engineering,Senior,Full-time,2019-09-01,,151263.93
E0236,D04,R01,Enterprise Sales,Senior,Full-time,2019-02-01,,154279.91
E0237,D04,R03,Enterprise Sales,Director,Full-time,2019-04-01,,189813.46
E0238,D06,R01,Software Engineering,Associate,Full-time,2020-04-01,,134220.03
E0239,D01,R01,Cloud Engineering,Associate,Full-time,2019-08-01,2023-12-01,110619.03
E0240,D06,R02,Software Engineering,Senior,Full-time,2019-07-01,,167513.79
E0241,D01,R02,Cloud Engineering,Senior,Full-time,2019-12-01,,123197.46
E0242,D04,R04,Enterprise Sales,Associate,Full-time,2022-11-01,,67023.47
E0243,D06,R01,Software Engineering,Senior,Full-time,2022-02-01,2026-06-01,194684.88
E0244,D06,R04,Software Engineering,Associate,Full-time,2019-01-01,,80271.21
E0245,D06,R02,Software Engineering,Professional,Full-time,2021-02-01,,122539.25
E0246,D06,R02,Software Engineering,Associate,Full-time,2019-12-01,,97800.38
E0247,D06,R03,Software Engineering,Senior,Full-time,2022-01-01,2023-10-01,159799.13
E0248,D11,R02,Executive Leadership,Professional,Full-time,2022-06-01,,225017.16
E0249,D08,R02,People Operations,Professional,Full-time,2022-04-01,2024-04-01,86835.22
E0250,D06,R01,Software Engineering,Professional,Full-time,2022-06-01,,172180.63
E0251,D06,R04,Software Engineering,Manager,Full-time,2021-03-01,2023-11-01,164834.21
E0252,D10,R02,Corporate IT,Professional,Full-time,2022-09-01,,85631.22
E0253,D03,R03,Implementation Consulting,Professional,Full-time,2020-04-01,,107208.57
E0254,D06,R04,Software Engineering,Associate,Full-time,2022-11-01,,89088.35
E0255,D04,R03,Enterprise Sales,Senior,Full-time,2019-08-01,,145817.05
E0256,D03,R03,Implementation Consulting,Senior,Full-time,2022-11-01,2023-12-01,127555.25
E0257,D03,R02,Implementation Consulting,Associate,Full-time,2021-12-01,,81549.57
E0258,D04,R03,Enterprise Sales,Senior,Full-time,2022-09-01,,145701.31
E0259,D03,R02,Implementation Consulting,Senior,Full-time,2019-03-01,,122527.36
E0260,D04,R03,Enterprise Sales,Professional,Full-time,2022-08-01,2023-08-01,102835.38
E0261,D06,R01,Software Engineering,Manager,Full-time,2019-06-01,,206874.13
E0262,D06,R01,Software Engineering,Professional,Full-time,2021-04-01,,134591.72
E0263,D03,R01,Implementation Consulting,Associate,Full-time,2020-08-01,,100420.83
E0264,D06,R01,Software Engineering,Senior,Full-time,2022-05-01,,171906.97
E0265,D03,R04,Implementation Consulting,Manager,Full-time,2021-09-01,,121487.02
E0266,D02,R03,Customer Support,Senior,Full-time,2021-08-01,,87163.64
E0267,D02,R01,Customer Support,Manager,Full-time,2022-06-01,,120575.72
E0268,D04,R02,Enterprise Sales,Associate,Full-time,2020-04-01,,79374.48
E0269,D03,R02,Implementation Consulting,Associate,Full-time,2021-12-01,,72601.51
E0270,D04,R01,Enterprise Sales,Associate,Full-time,2019-07-01,,91421.85
E0271,D04,R02,Enterprise Sales,Manager,Full-time,2019-01-01,,145761.74
E0272,D05,R01,Marketing,Manager,Full-time,2022-09-01,2025-09-01,152635.25
E0273,D05,R03,Marketing,Manager,Full-time,2020-06-01,2024-01-01,134504.33
E0274,D04,R01,Enterprise Sales,Senior,Full-time,2019-02-01,,145676.1
E0275,D06,R04,Software Engineering,VP,Full-time,2020-09-01,,218379.64
E0276,D03,R01,Implementation Consulting,Professional,Full-time,2020-04-01,,131653.29
E0277,D03,R03,Implementation Consulting,Senior,Full-time,2022-05-01,,117585.04
E0278,D06,R01,Software Engineering,Manager,Full-time,2022-12-01,,231774.16
E0279,D06,R03,Software Engineering,Senior,Full-time,2019-01-01,,184764.36
E0280,D06,R01,Software Engineering,Senior,Full-time,2022-01-01,,201683.36
E0281,D07,R03,Finance and Accounting,Professional,Full-time,2019-06-01,,116850.45
E0282,D01,R01,Cloud Engineering,Senior,Full-time,2019-09-01,,152207.8
E0283,D02,R04,Customer Support,Professional,Full-time,2021-03-01,,53642.8
E0284,D03,R03,Implementation Consulting,Senior,Full-time,2021-09-01,,143776.27
E0285,D03,R01,Implementation Consulting,Manager,Full-time,2022-11-01,,145290.17
E0286,D04,R03,Enterprise Sales,Director,Full-time,2022-07-01,,192017.29
E0287,D03,R01,Implementation Consulting,Professional,Full-time,2019-01-01,,110675.11
E0288,D05,R02,Marketing,Manager,Full-time,2022-02-01,,128689.37
E0289,D06,R02,Software Engineering,Associate,Full-time,2022-08-01,,85328.39
E0290,D03,R02,Implementation Consulting,Senior,Full-time,2021-05-01,,109417.86
E0291,D06,R02,Software Engineering,Manager,Full-time,2021-06-01,,183676.4
E0292,D06,R03,Software Engineering,Professional,Full-time,2021-06-01,,150868.23
E0293,D06,R01,Software Engineering,Director,Full-time,2021-11-01,,232067.52
E0294,D07,R02,Finance and Accounting,Professional,Full-time,2022-04-01,,96596.69
E0295,D06,R01,Software Engineering,Associate,Full-time,2020-11-01,,124224.86
E0296,D03,R01,Implementation Consulting,Senior,Full-time,2019-06-01,,134180.16
E0297,D06,R01,Software Engineering,Associate,Full-time,2020-03-01,,117754.13
E0298,D02,R04,Customer Support,Associate,Full-time,2022-05-01,,51441.49
E0299,D05,R02,Marketing,Professional,Full-time,2022-02-01,2026-02-01,83268.75
E0300,D06,R04,Software Engineering,Senior,Full-time,2020-12-01,,152193.14
E0301,D01,R04,Cloud Engineering,Director,Full-time,2022-07-01,,183831.11
E0302,D03,R03,Implementation Consulting,Professional,Full-time,2019-05-01,2023-08-01,115756.46
E0303,D08,R03,People Operations,Professional,Full-time,2020-08-01,,98919.77
E0304,D03,R01,Implementation Consulting,Manager,Full-time,2021-12-01,,137949.83
E0305,D03,R03,Implementation Consulting,Senior,Full-time,2022-03-01,,127587.55
E0306,D02,R01,Customer Support,Associate,Full-time,2020-02-01,,65997.86
E0307,D04,R03,Enterprise Sales,Professional,Full-time,2022-02-01,,116685.94
E0308,D06,R03,Software Engineering,Professional,Full-time,2020-05-01,,151976.32
E0309,D04,R03,Enterprise Sales,Director,Full-time,2020-05-01,2024-04-01,191229.02
E0310,D06,R03,Software Engineering,Professional,Part-time,2021-01-01,,161194.16
E0311,D02,R01,Customer Support,Senior,Full-time,2019-12-01,,119228.75
E0312,D01,R01,Cloud Engineering,Senior,Full-time,2019-04-01,,159046.53
E0313,D01,R02,Cloud Engineering,Manager,Full-time,2019-02-01,,173757.73
E0314,D04,R03,Enterprise Sales,Associate,Full-time,2019-03-01,,84694.47
E0315,D10,R04,Corporate IT,Manager,Full-time,2020-07-01,,136880.64
E0316,D03,R02,Implementation Consulting,Manager,Full-time,2019-10-01,,132745.39
E0317,D10,R04,Corporate IT,Professional,Full-time,2021-09-01,,80738.35
E0318,D06,R02,Software Engineering,Professional,Full-time,2019-10-01,,135954.47
E0319,D03,R01,Implementation Consulting,Associate,Full-time,2021-09-01,,88721.36
E0320,D04,R03,Enterprise Sales,Professional,Full-time,2019-02-01,,124366.64
E0321,D04,R01,Enterprise Sales,Senior,Full-time,2019-07-01,,144817.23
E0322,D01,R01,Cloud Engineering,Senior,Full-time,2020-01-01,2023-05-01,152133.66
E0323,D03,R01,Implementation Consulting,Senior,Full-time,2019-04-01,2023-08-01,145140.91
E0324,D06,R04,Software Engineering,Manager,Full-time,2019-10-01,,165909.27
E0325,D06,R02,Software Engineering,Senior,Part-time,2020-12-01,,163038.99
E0326,D06,R01,Software Engineering,Manager,Full-time,2020-01-01,,240758.52
E0327,D02,R01,Customer Support,Director,Full-time,2019-06-01,,141529.12
E0328,D07,R02,Finance and Accounting,Manager,Full-time,2022-01-01,,143780.99
E0329,D06,R02,Software Engineering,Senior,Full-time,2021-02-01,,174324.08
E0330,D05,R01,Marketing,Associate,Full-time,2022-07-01,,84477.49
E0331,D03,R02,Implementation Consulting,Professional,Full-time,2023-11-01,,86110.66
E0332,D08,R03,People Operations,Professional,Full-time,2023-02-01,,90246.1
E0333,D05,R02,Marketing,Professional,Full-time,2023-04-01,2024-07-01,88729.18
E0334,D04,R01,Enterprise Sales,Senior,Full-time,2023-04-01,,130296.55
E0335,D06,R02,Software Engineering,Senior,Full-time,2023-11-01,,151617.57
E0336,D04,R04,Enterprise Sales,Senior,Full-time,2023-11-01,,102104.04
E0337,D04,R02,Enterprise Sales,Professional,Full-time,2023-08-01,2026-04-01,91764.6
E0338,D07,R02,Finance and Accounting,Manager,Full-time,2023-06-01,,144290.49
E0339,D02,R02,Customer Support,Associate,Full-time,2023-08-01,,57242.88
E0340,D03,R02,Implementation Consulting,Associate,Full-time,2023-09-01,,80400.68
E0341,D05,R02,Marketing,Senior,Full-time,2023-08-01,2025-07-01,111779.49
