month_start,employee_id,region_id,available_hours,billable_hours,internal_hours,bench_hours,utilization_rate
2024-06-01,E0018,R01,158.4,127.9,27.4,3,0.8077
2024-07-01,E0018,R01,158.4,124.2,14.4,19.8,0.7842
2024-08-01,E0018,R01,166.4,116,22.5,27.9,0.6972
2024-09-01,E0018,R01,150.4,117.3,18.3,14.8,0.7799
2024-10-01,E0018,R01,166.4,120.7,17.4,28.3,0.7254
2024-11-01,E0018,R01,150.4,112.8,13.8,23.8,0.7498
2024-12-01,E0018,R01,150.4,119,16.8,14.6,0.7911
2025-01-01,E0018,R01,158.4,112.9,6.8,38.7,0.7127
2025-02-01,E0018,R01,166.4,120.7,9.7,36,0.7255
2025-03-01,E0018,R01,150.4,121.2,12.4,16.8,0.8059
2025-04-01,E0018,R01,150.4,116.3,18.8,15.3,0.7734
2025-05-01,E0018,R01,150.4,112.8,16.3,21.3,0.75
2025-06-01,E0018,R01,158.4,123.1,14.3,21,0.7771
2025-07-01,E0018,R01,158.4,120.8,14.1,23.5,0.7626
2025-08-01,E0018,R01,150.4,122,9.2,19.2,0.811
2025-09-01,E0018,R01,158.4,121.2,11.8,25.4,0.765
2025-10-01,E0018,R01,166.4,138.9,18,9.5,0.8346
2025-11-01,E0018,R01,150.4,109.9,13,27.5,0.7309
2025-12-01,E0018,R01,158.4,116.8,21.1,20.5,0.7377
2026-01-01,E0018,R01,158.4,121.8,19.2,17.4,0.769
2026-02-01,E0018,R01,150.4,110.5,16.1,23.8,0.7348
2026-03-01,E0018,R01,166.4,120.8,15.4,30.3,0.7257
2026-04-01,E0018,R01,166.4,118.3,22,26.1,0.711
2026-05-01,E0018,R01,158.4,137.6,16.2,4.6,0.8685
2026-06-01,E0018,R01,166.4,111,16.6,38.8,0.6671
2023-01-01,E0019,R02,158.4,103.8,14.7,40,0.6551
2023-02-01,E0019,R02,166.4,127.4,6.7,32.3,0.7657
2023-03-01,E0019,R02,166.4,107.6,10.8,48,0.6467
2023-04-01,E0019,R02,158.4,104,17.8,36.6,0.6567
2023-05-01,E0019,R02,158.4,113.6,17.5,27.2,0.7174
2023-06-01,E0019,R02,158.4,124.7,15.3,18.5,0.787
2023-07-01,E0019,R02,150.4,109,14.4,27,0.725
2023-08-01,E0019,R02,158.4,110.8,9.7,37.9,0.6995
2023-09-01,E0019,R02,158.4,115.6,12.7,30.1,0.7297
2023-10-01,E0019,R02,158.4,111.6,18.8,28,0.7044
2023-11-01,E0019,R02,158.4,112.5,11.4,34.5,0.7104
2023-12-01,E0019,R02,150.4,123.8,13.3,13.3,0.8234
2024-01-01,E0019,R02,166.4,110.2,16.2,40,0.6624
2024-02-01,E0019,R02,166.4,114.2,18.5,33.7,0.6863
2024-03-01,E0019,R02,158.4,117.9,19,21.6,0.7441
2024-04-01,E0019,R02,158.4,127.2,18.7,12.5,0.8031
2024-05-01,E0019,R02,158.4,111.3,13.9,33.2,0.7028
2024-06-01,E0019,R02,166.4,118.5,27.8,20.1,0.7121
2024-07-01,E0019,R02,158.4,122.3,19.7,16.4,0.7722
2024-08-01,E0019,R02,166.4,131.5,20.5,14.3,0.7905
2024-09-01,E0019,R02,166.4,109.2,12.9,44.4,0.656
2024-10-01,E0019,R02,150.4,105.1,14.1,31.2,0.6989
2024-11-01,E0019,R02,166.4,129.6,7.8,29.1,0.7786
2024-12-01,E0019,R02,158.4,99.6,12.7,46.1,0.6291
2025-01-01,E0019,R02,166.4,134.1,18.3,14,0.806
2025-02-01,E0019,R02,166.4,124.6,18.3,23.5,0.7488
2025-03-01,E0019,R02,158.4,115.5,13.4,29.5,0.7289
2025-04-01,E0019,R02,158.4,121.3,14.7,22.4,0.7658
2025-05-01,E0019,R02,166.4,110.5,11.4,44.4,0.6643
2025-06-01,E0019,R02,158.4,118.3,15.2,24.8,0.747
2025-07-01,E0019,R02,150.4,110.1,13.9,26.5,0.732
2025-08-01,E0019,R02,158.4,117.4,22.8,18.3,0.7411
2025-09-01,E0019,R02,166.4,122.2,12.1,32.1,0.7346
2025-10-01,E0019,R02,158.4,112.1,18.9,27.4,0.7079
2023-01-01,E0026,R01,166.4,124,19,23.4,0.7451
2023-02-01,E0026,R01,150.4,114.7,19.2,16.5,0.7623
2023-03-01,E0026,R01,166.4,135.8,15.7,14.9,0.8161
2023-04-01,E0026,R01,158.4,116.7,16.3,25.4,0.7364
2023-05-01,E0026,R01,158.4,121.9,9.5,27.1,0.7693
2023-06-01,E0026,R01,166.4,129.4,14.8,22.2,0.7779
2023-07-01,E0026,R01,150.4,116.6,15.6,18.1,0.7753
2023-08-01,E0026,R01,158.4,125.4,15.4,17.6,0.7917
2023-09-01,E0026,R01,158.4,136.3,15.4,6.7,0.8604
2023-10-01,E0026,R01,158.4,119.4,22,17,0.7538
2023-11-01,E0026,R01,166.4,118.5,16.7,31.2,0.712
2023-12-01,E0026,R01,150.4,115,13,22.4,0.7648
2024-01-01,E0026,R01,158.4,98.1,17.6,42.6,0.6195
2024-02-01,E0026,R01,142.4,116.2,16.9,9.3,0.8159
2024-03-01,E0026,R01,142.4,105.2,16.3,20.9,0.7385
2024-04-01,E0026,R01,158.4,114.6,14.5,29.3,0.7233
2024-05-01,E0026,R01,166.4,122.7,17.4,26.3,0.7375
2024-06-01,E0026,R01,158.4,124.4,14.5,19.5,0.7853
2024-07-01,E0026,R01,158.4,128,11,19.4,0.8082
2024-08-01,E0026,R01,166.4,115.2,19.9,31.3,0.6924
2024-09-01,E0026,R01,158.4,127.9,20,10.4,0.8075
2024-10-01,E0026,R01,158.4,121.2,25.4,11.7,0.7654
2024-11-01,E0026,R01,158.4,131.4,13.8,13.2,0.8297
2024-12-01,E0026,R01,158.4,123.6,18.6,16.2,0.7804
2025-01-01,E0026,R01,150.4,94.7,18.9,36.9,0.6295
2025-02-01,E0026,R01,158.4,118.6,12.9,26.9,0.7487
2025-03-01,E0026,R01,158.4,136.7,16.2,5.5,0.8628
2025-04-01,E0026,R01,150.4,115.7,16.5,18.2,0.7696
2025-05-01,E0026,R01,158.4,116.8,14.5,27.1,0.7375
2023-01-01,E0034,R03,150.4,111.3,19.9,19.2,0.74
2023-02-01,E0034,R03,166.4,121,16.8,28.6,0.7272
2023-03-01,E0034,R03,158.4,119.1,11.8,27.6,0.7517
2023-04-01,E0034,R03,158.4,115.8,13.4,29.1,0.7311
2023-05-01,E0034,R03,150.4,104.8,14,31.6,0.6968
2023-06-01,E0034,R03,158.4,120.5,18.3,19.6,0.761
2023-07-01,E0034,R03,166.4,141.7,12.3,12.4,0.8513
2023-08-01,E0034,R03,150.4,121.5,18.7,10.2,0.808
2023-09-01,E0034,R03,158.4,130.2,13.1,15,0.8221
2023-10-01,E0034,R03,158.4,129.8,13.6,15,0.8196
2023-11-01,E0034,R03,150.4,108.2,19,23.2,0.7194
2023-12-01,E0034,R03,158.4,115,16.5,26.9,0.7261
2024-01-01,E0034,R03,150.4,122,10.3,18.1,0.811
2024-02-01,E0034,R03,150.4,122.5,20.8,7.1,0.8147
2024-03-01,E0034,R03,166.4,118.1,11.8,36.5,0.71
2024-04-01,E0034,R03,166.4,126.7,19.7,20,0.7615
2024-05-01,E0034,R03,158.4,133,14.3,11.1,0.8395
2024-06-01,E0034,R03,166.4,116.8,19.9,29.6,0.7022
2024-07-01,E0034,R03,150.4,128.8,14.4,7.2,0.8565
2024-08-01,E0034,R03,166.4,120.2,12.6,33.6,0.7223
2024-09-01,E0034,R03,150.4,109.4,25.7,15.4,0.7273
2024-10-01,E0034,R03,166.4,120.9,12.4,33.1,0.7266
2024-11-01,E0034,R03,142.4,104.2,17.2,20.9,0.7319
2024-12-01,E0034,R03,158.4,110.9,23.9,23.6,0.7002
2025-01-01,E0034,R03,150.4,122.9,11.6,15.9,0.8172
2025-02-01,E0034,R03,142.4,107,17.1,18.2,0.7515
2025-03-01,E0034,R03,158.4,115.8,14,28.6,0.7311
2023-01-01,E0035,R03,150.4,114.3,15.5,20.6,0.7601
2023-02-01,E0035,R03,142.4,111.7,13.5,17.2,0.7845
2023-03-01,E0035,R03,150.4,100,18.4,32,0.6647
2023-04-01,E0035,R03,142.4,98.5,11.6,32.3,0.6919
2023-05-01,E0035,R03,158.4,103.6,21.5,33.4,0.6539
2023-06-01,E0035,R03,158.4,117.4,16.8,24.2,0.7409
2023-07-01,E0035,R03,158.4,130.8,24.2,3.5,0.8256
2023-08-01,E0035,R03,166.4,132.5,17.1,16.8,0.7963
2023-09-01,E0035,R03,166.4,121.8,12.3,32.3,0.732
2023-10-01,E0035,R03,166.4,117.7,22.1,26.6,0.7074
2023-11-01,E0035,R03,158.4,127.5,14.9,16,0.8048
2023-12-01,E0035,R03,158.4,104.1,11.4,42.9,0.6572
2024-01-01,E0035,R03,150.4,102.7,15.6,32.2,0.6827
2024-02-01,E0035,R03,158.4,119.1,12.3,27,0.7519
2024-03-01,E0035,R03,158.4,126,16.9,15.5,0.7953
2024-04-01,E0035,R03,150.4,120.1,20.5,9.7,0.7988
2024-05-01,E0035,R03,158.4,121.5,17.3,19.6,0.7669
2024-06-01,E0035,R03,166.4,124.9,20.6,20.9,0.7508
2024-07-01,E0035,R03,150.4,123.8,11,15.6,0.8234
2024-08-01,E0035,R03,158.4,112.8,18.1,27.6,0.7119
2024-09-01,E0035,R03,142.4,115,13.7,13.7,0.8077
2024-10-01,E0035,R03,158.4,115.7,18.8,23.9,0.7307
2024-11-01,E0035,R03,158.4,127.4,17.9,13.1,0.804
2024-12-01,E0035,R03,158.4,116.7,11.9,29.8,0.7367
2025-01-01,E0035,R03,166.4,125.3,12.9,28.1,0.7531
2025-02-01,E0035,R03,142.4,85.1,15,42.3,0.5979
2025-03-01,E0035,R03,166.4,116.4,14.3,35.7,0.6997
2025-04-01,E0035,R03,142.4,103.1,21.2,18.1,0.7242
2025-05-01,E0035,R03,150.4,106.9,16.4,27.1,0.7105
2025-06-01,E0035,R03,150.4,105.9,24,20.5,0.704
2025-07-01,E0035,R03,150.4,101.7,9.3,39.4,0.6762
2025-08-01,E0035,R03,158.4,117.1,19.7,21.5,0.7396
2025-09-01,E0035,R03,166.4,104.9,19.1,42.4,0.6303
2025-10-01,E0035,R03,158.4,110.7,22.7,25,0.6989
2025-11-01,E0035,R03,166.4,119.5,18.8,28.1,0.7179
2025-12-01,E0035,R03,158.4,104.1,15.2,39,0.6573
2026-01-01,E0035,R03,158.4,109,16.5,32.9,0.6881
2026-02-01,E0035,R03,150.4,110.5,9.8,30.1,0.7345
2026-03-01,E0035,R03,150.4,106.5,11.5,32.5,0.7079
2026-04-01,E0035,R03,158.4,122.7,20,15.8,0.7744
2026-05-01,E0035,R03,142.4,115.8,11.4,15.2,0.8131
2026-06-01,E0035,R03,158.4,108.5,19.1,30.8,0.6848
2023-01-01,E0052,R04,166.4,138.7,18.7,9,0.8338
2023-02-01,E0052,R04,150.4,116.6,17.6,16.2,0.7753
2023-03-01,E0052,R04,158.4,109.3,21.8,27.4,0.6899
2023-04-01,E0052,R04,166.4,114.6,21.6,30.1,0.6888
2023-05-01,E0052,R04,158.4,120.9,20.9,16.6,0.7635
2023-06-01,E0052,R04,158.4,120.7,17.4,20.4,0.7617
2023-07-01,E0052,R04,158.4,119.6,15.2,23.5,0.7552
2023-08-01,E0052,R04,158.4,116.8,14.2,27.4,0.7374
2023-09-01,E0052,R04,166.4,111.2,22.9,32.4,0.6681
2023-10-01,E0052,R04,158.4,131.7,18,8.8,0.8313
2023-11-01,E0052,R04,158.4,112.7,17.3,28.4,0.7114
2023-12-01,E0052,R04,158.4,104,14.1,40.3,0.6567
2024-01-01,E0052,R04,158.4,128.4,20.5,9.5,0.8105
2024-02-01,E0052,R04,166.4,117.8,22.8,25.8,0.7078
2024-03-01,E0052,R04,158.4,128.6,16.2,13.6,0.812
2024-04-01,E0052,R04,166.4,121.7,20.8,23.9,0.7316
2024-05-01,E0052,R04,158.4,114.8,22.8,20.9,0.7244
2024-06-01,E0052,R04,150.4,105.7,16.3,28.4,0.703
2024-07-01,E0052,R04,166.4,112.4,15.6,38.4,0.6756
2024-08-01,E0052,R04,150.4,102.5,14.6,33.3,0.6813
2024-09-01,E0052,R04,158.4,122.4,20,15.9,0.7729
2024-10-01,E0052,R04,158.4,126.3,15.1,17,0.7971
2024-11-01,E0052,R04,158.4,115.8,15.9,26.7,0.7311
2024-12-01,E0052,R04,150.4,112.6,18.5,19.3,0.749
2025-01-01,E0052,R04,158.4,97.2,13,48.1,0.6139
2025-02-01,E0052,R04,158.4,108.9,19.2,30.3,0.6875
2025-03-01,E0052,R04,158.4,140.7,6.4,11.3,0.8884
2025-04-01,E0052,R04,158.4,123.4,12.5,22.5,0.7791
2025-05-01,E0052,R04,166.4,131.4,16.8,18.2,0.7898
2025-06-01,E0052,R04,158.4,133.7,11.9,12.7,0.8443
2025-07-01,E0052,R04,150.4,129.5,20.9,0,0.8608
2025-08-01,E0052,R04,166.4,124.9,19.1,22.4,0.7508
2025-09-01,E0052,R04,150.4,122.3,15.9,12.2,0.8135
2025-10-01,E0052,R04,142.4,110.7,18.7,13,0.7773
2025-11-01,E0052,R04,166.4,136,15.2,15.1,0.8175
2025-12-01,E0052,R04,158.4,106.5,13.8,38.1,0.6725
2026-01-01,E0052,R04,166.4,103.3,10.5,52.5,0.621
2026-02-01,E0052,R04,150.4,106.5,15.3,28.6,0.7083
2026-03-01,E0052,R04,150.4,106.4,17.5,26.5,0.7075
2026-04-01,E0052,R04,158.4,109.7,12.5,36.2,0.6926
2026-05-01,E0052,R04,166.4,127.9,21.1,17.4,0.7685
2026-06-01,E0052,R04,158.4,125.3,12.1,21,0.7913
2023-01-01,E0055,R02,166.4,126.7,26.3,13.4,0.7613
2023-02-01,E0055,R02,158.4,107.9,21.8,28.7,0.6811
2023-03-01,E0055,R02,150.4,110.7,12.8,27,0.7358
2023-04-01,E0055,R02,158.4,116.5,22.7,19.2,0.7352
2023-05-01,E0055,R02,150.4,110.8,10.9,28.7,0.7368
2023-06-01,E0055,R02,166.4,113.3,13.8,39.3,0.6806
2023-07-01,E0055,R02,158.4,124.7,11,22.7,0.7874
2023-08-01,E0055,R02,166.4,112.7,24.3,29.4,0.6774
2023-09-01,E0055,R02,158.4,115.6,12.4,30.4,0.7298
2023-10-01,E0055,R02,158.4,126.2,11.7,20.5,0.797
2023-11-01,E0055,R02,166.4,120.8,10.8,34.7,0.7262
2023-12-01,E0055,R02,158.4,111.7,11.3,35.4,0.7054
2024-01-01,E0055,R02,158.4,106,12.4,40,0.6689
2024-02-01,E0055,R02,158.4,122.2,13.1,23.1,0.7714
2024-03-01,E0055,R02,166.4,123.9,11.4,31.1,0.7443
2024-04-01,E0055,R02,158.4,106.6,15.6,36.1,0.6731
2024-05-01,E0055,R02,166.4,124.3,17.4,24.6,0.7472
2024-06-01,E0055,R02,166.4,120.2,12.5,33.7,0.7224
2024-07-01,E0055,R02,150.4,110.3,14.5,25.6,0.7335
2024-08-01,E0055,R02,158.4,116.5,18.2,23.7,0.7354
2024-09-01,E0055,R02,158.4,121.2,11.3,26,0.7649
2024-10-01,E0055,R02,158.4,116.4,14,28,0.7347
2024-11-01,E0055,R02,166.4,120.3,14.1,32,0.7231
2024-12-01,E0055,R02,158.4,98.7,20.3,39.4,0.623
2025-01-01,E0055,R02,158.4,119.9,15,23.4,0.7572
2025-02-01,E0055,R02,158.4,109.3,16,33.1,0.69
2025-03-01,E0055,R02,166.4,116.1,16.7,33.7,0.6976
2025-04-01,E0055,R02,166.4,133.9,9.8,22.7,0.8046
2025-05-01,E0055,R02,158.4,116.4,22.5,19.5,0.7345
2025-06-01,E0055,R02,166.4,116.7,17.1,32.6,0.7015
2025-07-01,E0055,R02,166.4,124.1,15.9,26.4,0.7456
2025-08-01,E0055,R02,166.4,117.5,20.1,28.8,0.7063
2025-09-01,E0055,R02,166.4,135.2,18.6,12.7,0.8122
2025-10-01,E0055,R02,150.4,125.1,17,8.3,0.8317
2025-11-01,E0055,R02,150.4,117.1,10.7,22.6,0.7785
2025-12-01,E0055,R02,158.4,103.5,7.6,47.3,0.6535
2026-01-01,E0055,R02,158.4,91,11.9,55.6,0.5744
2026-02-01,E0055,R02,158.4,110.7,12.8,34.8,0.6992
2026-03-01,E0055,R02,158.4,109,7,42.3,0.6883
2026-04-01,E0055,R02,150.4,110.2,18.5,21.7,0.7327
2026-05-01,E0055,R02,166.4,127.6,14.8,24,0.767
2026-06-01,E0055,R02,158.4,127.6,11.8,19,0.8056
2023-01-01,E0061,R04,158.4,106.3,13.4,38.7,0.671
2023-02-01,E0061,R04,158.4,118.6,16,23.8,0.7487
2023-03-01,E0061,R04,158.4,117,19.6,21.8,0.7386
2023-04-01,E0061,R04,158.4,132.4,12.7,13.3,0.8361
2023-05-01,E0061,R04,166.4,119.3,14.9,32.3,0.7169
2023-06-01,E0061,R04,166.4,126.9,15.5,24,0.7628
2023-07-01,E0061,R04,158.4,111.7,11.2,35.5,0.7049
2023-08-01,E0061,R04,166.4,128.2,12.5,25.8,0.7702
2023-09-01,E0061,R04,158.4,117.8,16.1,24.4,0.7438
2023-10-01,E0061,R04,166.4,122.2,18.7,25.5,0.7343
2023-11-01,E0061,R04,158.4,111.2,20.1,27.1,0.7021
2023-12-01,E0061,R04,150.4,96.2,19.3,34.9,0.6393
2024-01-01,E0061,R04,158.4,118.7,15,24.7,0.7496
2024-02-01,E0061,R04,166.4,121.9,14.6,29.9,0.7327
2024-03-01,E0061,R04,142.4,108.5,19,14.9,0.7619
2024-04-01,E0061,R04,158.4,130.4,18.6,9.3,0.8235
2024-05-01,E0061,R04,158.4,137.3,21.1,0,0.8668
2024-06-01,E0061,R04,150.4,118.2,14.8,17.4,0.7858
2024-07-01,E0061,R04,166.4,135.9,18.5,12,0.8166
2024-08-01,E0061,R04,142.4,106.7,12.6,23.1,0.7494
2023-01-01,E0077,R01,158.4,119.4,14.3,24.7,0.7538
2023-02-01,E0077,R01,158.4,99.5,17,41.9,0.6278
2023-03-01,E0077,R01,166.4,139.7,19.9,6.8,0.8397
2023-04-01,E0077,R01,158.4,121.4,8.9,28.2,0.7661
2023-05-01,E0077,R01,158.4,118.2,17.4,22.7,0.7464
2023-06-01,E0077,R01,166.4,125.2,18.2,23,0.7526
2023-07-01,E0077,R01,150.4,126.8,12.7,10.9,0.8429
2023-08-01,E0077,R01,158.4,124.2,11.6,22.6,0.7843
2023-09-01,E0077,R01,158.4,107.6,20.1,30.6,0.6795
2023-10-01,E0077,R01,166.4,120.1,18.9,27.4,0.7219
2023-11-01,E0077,R01,142.4,112,13.1,17.3,0.7864
2023-12-01,E0077,R01,150.4,101.8,14.1,34.5,0.6768
2024-01-01,E0077,R01,158.4,114.1,15.6,28.7,0.7201
2024-02-01,E0077,R01,166.4,110.8,11.8,43.8,0.6658
2024-03-01,E0077,R01,142.4,97.7,14.6,30.1,0.6861
2024-04-01,E0077,R01,150.4,115.5,12.5,22.4,0.7677
2024-05-01,E0077,R01,166.4,149.8,16.6,0,0.9
2024-06-01,E0077,R01,166.4,123.6,23.1,19.7,0.7426
2024-07-01,E0077,R01,142.4,113.4,12.8,16.2,0.7962
2024-08-01,E0077,R01,150.4,107.6,16.1,26.7,0.7155
2024-09-01,E0077,R01,158.4,113.8,19.4,25.2,0.7185
2024-10-01,E0077,R01,150.4,110.2,11.9,28.3,0.7328
2024-11-01,E0077,R01,150.4,130.5,14.9,5,0.8679
2024-12-01,E0077,R01,166.4,124.4,19.5,22.5,0.7474
2025-01-01,E0077,R01,150.4,105.7,9.8,35,0.7026
2025-02-01,E0077,R01,150.4,115.1,15.3,20,0.765
2025-03-01,E0077,R01,166.4,131.6,19,15.8,0.7907
2025-04-01,E0077,R01,150.4,122.4,12.2,15.8,0.8138
2025-05-01,E0077,R01,142.4,109.6,18.6,14.2,0.7697
2025-06-01,E0077,R01,166.4,128.9,20.5,17,0.7746
2025-07-01,E0077,R01,158.4,117.8,18.4,22.2,0.7435
2025-08-01,E0077,R01,150.4,99.9,12.2,38.3,0.6642
2025-09-01,E0077,R01,158.4,101.6,10.9,45.8,0.6417
2025-10-01,E0077,R01,150.4,124.1,15.7,10.6,0.8252
2025-11-01,E0077,R01,158.4,112.4,10.8,35.3,0.7093
2025-12-01,E0077,R01,158.4,109.5,12.6,36.3,0.6913
2026-01-01,E0077,R01,166.4,114.8,13.1,38.5,0.69
2026-02-01,E0077,R01,166.4,116.9,21.4,28.2,0.7023
2026-03-01,E0077,R01,158.4,109.3,16.6,32.4,0.6903
2026-04-01,E0077,R01,158.4,102.1,15.3,41,0.6444
2026-05-01,E0077,R01,158.4,126.3,15.7,16.4,0.7973
2026-06-01,E0077,R01,158.4,131.9,15,11.6,0.8326
2023-01-01,E0079,R02,166.4,92.7,18.7,54.9,0.5573
2023-02-01,E0079,R02,158.4,110.2,10.3,37.9,0.6955
