month_start,project_id,customer_id,region_id,revenue_usd,direct_labor_cost_usd,subcontractor_cost_usd,travel_cost_usd,gross_profit_usd,billable_hours
2025-04-01,P0031,C0107,R02,4007.42,1618.58,264.57,27.11,2097.16,17.1
2025-05-01,P0031,C0107,R02,4205.56,2021.08,98.73,98.74,1987.01,21.5
2025-06-01,P0031,C0107,R02,3955.24,1711.37,12.74,53.38,2177.74,18.2
2025-07-01,P0031,C0107,R02,3595.83,1665.77,117.34,56.49,1756.23,17.7
2025-08-01,P0031,C0107,R02,3859.15,1441.38,49.28,32.18,2336.31,15.5
2025-09-01,P0031,C0107,R02,4047.78,1402.15,68.83,28.69,2548.11,15
2025-10-01,P0031,C0107,R02,3955.87,1060.32,0,25.8,2869.75,11.3
2025-11-01,P0031,C0107,R02,3943.15,942.04,116.28,29,2855.82,10
2025-12-01,P0031,C0107,R02,4261.44,1436.59,20.61,53.73,2750.51,15.4
2026-01-01,P0031,C0107,R02,4273.78,1438.18,67.08,35.39,2733.13,15.1
2026-02-01,P0031,C0107,R02,4677.03,1470.32,113.27,55.33,3038.1,15.3
2026-03-01,P0031,C0107,R02,4319.06,1599.96,138.15,53.32,2527.63,16.6
2023-07-01,P0032,C0099,R01,9679.79,6653.94,1235.54,150.13,1640.18,73.6
2023-08-01,P0032,C0099,R01,11604.97,8835.38,512.15,37.58,2219.87,99.6
2023-09-01,P0032,C0099,R01,10280.07,7221.85,1573.89,185.84,1298.5,81.4
2023-10-01,P0032,C0099,R01,9629.37,6923.85,800.21,19.26,1886.06,77.5
2023-11-01,P0032,C0099,R01,10191.37,7507.63,847.85,182.93,1652.97,84.6
2023-12-01,P0032,C0099,R01,11010.74,6065.2,1021.45,156.61,3767.48,68.6
2024-01-01,P0032,C0099,R01,11973.66,6259.04,819.65,211.04,4683.93,68.8
2024-02-01,P0032,C0099,R01,13611.9,7160.29,819.81,124.91,5506.89,78.8
2025-03-01,P0033,C0185,R01,5741.26,2002.02,127.28,95.59,3516.38,21.1
2025-04-01,P0033,C0185,R01,6386.32,2849.41,90.68,87.45,3358.78,30.1
2025-05-01,P0033,C0185,R01,6151.07,3265.46,240.14,139.85,2505.63,34.7
2025-06-01,P0033,C0185,R01,6565.65,3138.22,286.09,105.77,3035.56,33.4
2025-07-01,P0033,C0185,R01,6951.67,3557.46,35.38,74.39,3284.45,37.8
2025-08-01,P0033,C0185,R01,7056.74,2911.56,123.68,88.44,3933.06,31.3
2025-09-01,P0033,C0185,R01,5919.6,2265.19,134.09,32.99,3487.33,24.3
2025-10-01,P0033,C0185,R01,5397.21,1598.09,128.41,140.52,3530.2,17
2025-11-01,P0033,C0185,R01,6264.67,1653.33,34.75,75.11,4501.48,17.6
2025-12-01,P0033,C0185,R01,5987.97,2229.93,170.75,43.46,3543.83,23.9
2026-01-01,P0033,C0185,R01,6590.9,2450.08,229.26,110.94,3800.61,25.7
2026-02-01,P0033,C0185,R01,6611.07,2295.88,189.17,103.64,4022.38,23.9
2026-03-01,P0033,C0185,R01,6553.36,2681.75,193.92,44.72,3632.98,27.9
2026-04-01,P0033,C0185,R01,7572.43,3181.96,31.58,78.35,4280.54,32.8
2026-05-01,P0033,C0185,R01,6856.31,2524.57,224.94,68.09,4038.71,26.4
2026-06-01,P0033,C0185,R01,7050.09,3035.97,0,31.37,3982.75,31.5
2025-04-01,P0034,C0117,R01,42910.79,24248.81,4770.77,85.82,13805.39,255.7
2025-05-01,P0034,C0117,R01,81053.72,54498.65,8492.02,806.33,17256.73,578.9
2025-06-01,P0034,C0117,R01,119196.65,72158.83,12328.1,2458.2,32251.52,768
2025-07-01,P0034,C0117,R01,81053.72,52534.23,11206.16,301.88,17011.46,558
2025-08-01,P0034,C0117,R01,42910.79,22423.72,7723.94,245.43,12517.7,240.9
2025-10-01,P0035,C0149,R01,55365.35,25159.04,1740.39,1121.69,27344.23,267.7
2025-11-01,P0035,C0149,R01,92275.59,37374.44,11510.26,953.97,42436.91,398.6
2025-12-01,P0035,C0149,R01,129185.82,73833.26,17405.6,926.04,37020.91,791
2026-01-01,P0035,C0149,R01,182975.17,104388.75,17627.87,4944.45,56014.1,1094.5
2026-02-01,P0035,C0149,R01,182975.17,97520.27,18929.95,3167.7,63357.26,1016
2026-03-01,P0035,C0149,R01,142314.02,89377.24,19176.08,754.35,33006.35,929.8
2026-04-01,P0035,C0149,R01,101652.87,65554.85,13795.07,1239.12,21063.84,675.1
2026-05-01,P0035,C0149,R01,60991.72,34466.21,4842.01,307.66,21375.85,361
2023-05-01,P0036,C0192,R02,26900.39,13672.73,3214.2,53.8,9959.65,151.1
2023-06-01,P0036,C0192,R02,22277.84,11196.22,2987.54,279.8,7814.27,123.9
2023-07-01,P0036,C0192,R02,23257.53,14140.19,968.08,245.27,7903.98,156.5
2023-08-01,P0036,C0192,R02,23777.9,16011.54,475.56,298.99,6991.81,180.5
2023-09-01,P0036,C0192,R02,22635.23,14064.22,2883.55,146.96,5540.5,158.6
2023-10-01,P0036,C0192,R02,24165.7,15368.38,2540.65,48.33,6208.35,172.1
2023-11-01,P0036,C0192,R02,23882.55,15560.71,3253.4,249.91,4818.52,175.3
2023-12-01,P0036,C0192,R02,22357.04,10892.35,1744.5,409.86,9310.33,123.2
2024-09-01,P0037,C0244,R03,32635.76,14280.53,1286.84,367.96,16700.43,156
2024-10-01,P0037,C0244,R03,37898.86,17908.87,3065.73,397.82,16526.45,196.1
2024-11-01,P0037,C0244,R03,33447.22,13140.99,3985.33,471.86,15849.03,144.1
2024-12-01,P0037,C0244,R03,35518.94,12021.11,3368.3,419.22,19710.31,129.9
2025-01-01,P0037,C0244,R03,36991.01,12979.52,2850.07,575.18,20586.24,136.2
2025-02-01,P0037,C0244,R03,34030.18,11063.35,1780.08,81.82,21104.93,114.9
2026-04-01,P0038,C0228,R01,22959.36,9199.1,858.99,230.23,12671.05,94.7
2026-05-01,P0038,C0228,R01,21633.04,7595.22,1002.82,209.47,12825.53,79.6
2026-06-01,P0038,C0228,R01,19760.03,8113.66,708.82,159.79,10777.77,84.3
2025-04-01,P0039,C0191,R02,23096.5,10787.29,2516.87,303.9,9488.44,113.8
2025-05-01,P0039,C0191,R02,22397.19,12446.54,1388.9,124.45,8437.29,132.2
2025-06-01,P0039,C0191,R02,25459.4,12738.43,1319.52,256.66,11144.79,135.6
2025-06-01,P0040,C0007,R01,12938.51,6638.32,869.15,40.96,5390.08,70.7
2025-07-01,P0040,C0007,R01,22348.34,12276.17,1057.93,189.44,8824.81,130.4
2025-08-01,P0040,C0007,R01,31758.17,14065.17,3231.03,498.41,13963.57,151.1
2025-09-01,P0040,C0007,R01,41168,16909.8,4154.58,899.22,19204.4,181.4
2025-10-01,P0040,C0007,R01,31758.17,10093.77,317.58,308.32,21038.5,107.4
2025-11-01,P0040,C0007,R01,22348.34,6331.04,1197.85,442.36,14377.09,67.5
2025-12-01,P0040,C0007,R01,12938.51,5172.06,606.43,134.64,7025.38,55.4
2024-04-01,P0041,C0210,R01,8785.21,4596.73,175.7,195.52,3817.26,50.5
2024-05-01,P0041,C0210,R01,14642.02,8888.37,1252.29,152.32,4349.05,98.4
2024-06-01,P0041,C0210,R01,20498.83,10620.8,1955.68,294.37,7627.97,117.2
2024-07-01,P0041,C0210,R01,26355.63,16917.66,2590.78,220.61,6626.58,187.8
2024-08-01,P0041,C0210,R01,26355.63,13882.54,2299.79,306.73,9866.57,153
2024-09-01,P0041,C0210,R01,20498.83,10570.32,2425.85,41,7461.65,115.5
2024-10-01,P0041,C0210,R01,14642.02,8153.64,792.08,331.3,5364.99,89.3
2024-11-01,P0041,C0210,R01,8785.21,4067.52,1406.06,72.07,3239.57,44.6
2025-08-01,P0042,C0246,R03,11979.91,5338.63,157.99,86.57,6396.72,57.4
2025-09-01,P0042,C0246,R03,11972.12,4948.08,398.7,150.53,6474.8,53.1
2025-10-01,P0042,C0246,R03,11561.56,3697.44,244.74,124.89,7494.48,39.3
2025-11-01,P0042,C0246,R03,12508.57,3565.53,475.21,240.66,8227.17,38
2025-12-01,P0042,C0246,R03,11684.79,4699.88,295.37,246.18,6443.35,50.3
2026-01-01,P0042,C0246,R03,12083.38,4851.53,208.23,136.5,6887.11,50.9
2026-02-01,P0042,C0246,R03,13176.75,4942.42,271.95,115.66,7846.71,51.5
2026-03-01,P0042,C0246,R03,13927,6155.54,456.51,138.89,7176.06,64
2026-04-01,P0042,C0246,R03,13477.77,6116.91,92.98,26.96,7240.92,63
2026-05-01,P0042,C0246,R03,13129.73,5221.65,442.17,197.7,7268.21,54.7
2026-06-01,P0042,C0246,R03,12793.93,5950.61,110.28,147.22,6585.82,61.8
2026-04-01,P0043,C0083,R03,23172.43,10270.71,1146.31,424.22,11331.19,105.8
2026-05-01,P0043,C0083,R03,20148.19,7825.32,784.65,263.78,11274.44,82
2026-06-01,P0043,C0083,R03,22789.31,10351.51,211.75,208.74,12017.31,107.5
2024-12-01,P0044,C0215,R02,227785.35,80684.04,12849.89,3794.39,130457.03,872.1
2025-01-01,P0044,C0215,R02,274010.47,100625.26,2740.1,4184.42,166460.68,1055.7
2025-02-01,P0044,C0215,R02,250325.58,85173.6,24925.38,3600.61,136625.98,884.3
2026-05-01,P0045,C0171,R03,72162.41,33542.1,5300.75,837.78,32481.76,351.3
2026-06-01,P0045,C0171,R03,66755.16,36288.61,8234.16,481.4,21750.99,376.9
2025-01-01,P0046,C0210,R01,19567.62,7886.69,2039.66,288.85,9352.41,82.7
2025-02-01,P0046,C0210,R01,36961.05,13802.61,1115.36,589.89,21453.2,143.3
2025-03-01,P0046,C0210,R01,54354.49,23791.09,2627.44,1112.86,26823.11,251.3
2025-04-01,P0046,C0210,R01,36961.05,20699.88,5983.35,666.54,9611.28,218.3
2025-05-01,P0046,C0210,R01,19567.62,13039.18,943.1,293.81,5291.53,138.5
2026-02-01,P0047,C0018,R01,33051.77,13799.99,3552.88,682.48,15016.42,143.8
2026-03-01,P0047,C0018,R01,38319.96,18853.23,3542.92,550.12,15373.7,196.1
2026-04-01,P0047,C0018,R01,35387.78,17878.04,2086.82,903.37,14519.55,184.1
2026-05-01,P0047,C0018,R01,37570.29,16632.15,5220.87,510.35,15206.91,174.2
2026-06-01,P0047,C0018,R01,35559.36,18410.44,1368.98,661.5,15118.44,191.2
2025-02-01,P0048,C0073,R01,140628.7,56478.34,16421.78,969.58,66759,586.4
2025-03-01,P0048,C0073,R01,151119.18,71136.03,19906.88,1060.32,59015.95,751.3
2025-04-01,P0048,C0073,R01,146047.12,87964.54,9957.23,2042.34,46083.01,927.7
2025-05-01,P0048,C0073,R01,145805.91,104490.94,5722.09,1949.38,33643.5,1109.9
2025-06-01,P0048,C0073,R01,141373.51,91218.77,14370.86,2374.44,33409.45,970.9
2025-07-01,P0048,C0073,R01,134804.72,93124.78,10336.44,1970.05,29373.45,989.1
2025-08-01,P0048,C0073,R01,143364.74,79849.88,11701.13,1462.78,50350.95,857.8
2023-06-01,P0049,C0014,R03,23316.36,11646.88,3973.42,462.01,7234.05,128.9
2023-07-01,P0049,C0014,R03,24119.51,14575.07,2872.33,594.7,6077.42,161.3
2023-08-01,P0049,C0014,R03,24778.36,16583.75,2131.2,332.13,5731.29,187
2023-09-01,P0049,C0014,R03,27131.95,16755.69,3101.44,205.45,7069.37,188.9
2023-10-01,P0049,C0014,R03,24322.64,15374.1,3243.95,273.56,5431.03,172.2
2025-08-01,P0050,C0114,R04,53939.11,21426.49,1158.05,1192.55,30162.01,230.2
2025-09-01,P0050,C0114,R04,52242.71,19246.97,259.52,657.81,32078.41,206.5
2025-10-01,P0050,C0114,R04,61208.99,17449.02,4265.71,1153.35,38340.91,185.7
2025-11-01,P0050,C0114,R04,57271.85,14552.21,788.32,274.41,41656.91,155.2
2025-12-01,P0050,C0114,R04,61214.66,21947.87,774.93,633.43,37858.43,235.1
2026-01-01,P0050,C0114,R04,59771.52,21392.21,2368.17,751.18,35259.96,224.3
2026-02-01,P0050,C0114,R04,67671.92,22626.17,88.17,135.34,44822.24,235.7
2026-03-01,P0050,C0114,R04,66734.04,26292.17,0,895.46,39546.41,273.5
2026-04-01,P0050,C0114,R04,64455.26,26076.14,2512.62,377.88,35488.62,268.5
2026-05-01,P0050,C0114,R04,63075.35,22360.53,1846.56,219.17,38649.09,234.2
2026-06-01,P0050,C0114,R04,64183.54,26610.45,1749.01,128.37,35695.71,276.4
2024-12-01,P0051,C0252,R01,29037.82,10196.68,1052.15,252.86,17536.12,110.2
2025-01-01,P0051,C0252,R01,31583.08,11498.14,3763.11,618.86,15702.98,120.6
2025-02-01,P0051,C0252,R01,32116.27,10833.23,2277.31,460.44,18545.29,112.5
2025-03-01,P0051,C0252,R01,29207.78,11547.64,1717.02,255.65,15687.46,122
2025-04-01,P0051,C0252,R01,35063.43,17737.56,2947.71,452.04,13926.12,187.1
2025-05-01,P0051,C0252,R01,32235,19402.43,3502.88,330.77,8998.93,206.1
2023-04-01,P0052,C0053,R01,114699.33,36456.33,4012.82,229.4,74000.79,405
2023-05-01,P0052,C0053,R01,116379.59,43425.27,1163.8,1405.2,70385.33,480
2024-10-01,P0053,C0274,R03,26194.62,12648.51,688.4,392.94,12464.78,138.5
2024-11-01,P0053,C0274,R03,22664.85,9099.27,1645.65,142.24,11777.7,99.8
2024-12-01,P0053,C0274,R03,26828.39,9278.21,1623.04,361.36,15565.78,100.3
2025-01-01,P0053,C0274,R03,23513.15,8430.6,1910.62,253.08,12918.85,88.5
2023-11-01,P0054,C0074,R04,87691.48,56464.04,7001.56,250.57,23975.3,636.1
2023-12-01,P0054,C0074,R04,83817.36,40355.91,9380.99,167.63,33912.83,456.5
2024-01-01,P0054,C0074,R04,107308.33,49029.65,9830.06,1206.03,47242.6,538.8
2024-02-01,P0054,C0074,R04,104834.78,48201.66,8283.77,634.84,47714.52,530.4
2024-03-01,P0054,C0074,R04,97035.72,47701.97,9751.05,2105.86,37476.83,521.7
2024-04-01,P0054,C0074,R04,108553.35,54299.68,4569.24,1335.98,48348.45,596.3
2024-02-01,P0055,C0124,R02,25315.91,9791.56,2076.17,164.62,13283.55,107.7
2024-03-01,P0055,C0124,R02,23293.37,9632.5,1585.96,322.74,11752.17,105.3
2024-04-01,P0055,C0124,R02,23233.74,9776.32,2220.41,369.21,10867.81,107.4
2024-05-01,P0055,C0124,R02,22686,11074.87,1502.17,217.44,9891.53,122.6
2024-06-01,P0055,C0124,R02,23581.9,9825.77,1373.31,289.83,12092.99,108.4
2024-07-01,P0055,C0124,R02,24610.57,12704.21,1975.42,389.14,9541.79,141
2026-05-01,P0056,C0045,R01,29016.01,10968.93,1356.23,58.03,16632.81,114.9
2026-06-01,P0056,C0045,R01,24732.41,10934.51,1094.86,68.35,12634.69,113.6
2025-07-01,P0057,C0049,R04,20908.38,9680.78,582.92,106.73,10537.94,102.8
2025-08-01,P0057,C0049,R04,21733.95,8113.36,1000.91,270.12,12349.56,87.2
2025-09-01,P0057,C0049,R04,21554.21,7462.48,680.97,217.56,13193.2,80.1
2025-10-01,P0057,C0049,R04,22383.01,5996.38,157.76,382.28,15846.59,63.8
2025-11-01,P0057,C0049,R04,22628.35,5403.25,795.06,478.08,15951.96,57.6
2025-12-01,P0057,C0049,R04,22535.65,7593.14,442.14,338.96,14161.41,81.3
2026-01-01,P0057,C0049,R04,22357.01,7519.51,858.38,113.47,13865.65,78.8
2026-02-01,P0057,C0049,R04,22623.08,7108.35,377.85,301.85,14835.03,74.1
2026-03-01,P0057,C0049,R04,25647.06,9495.79,208.46,488.4,15454.41,98.8
2026-04-01,P0057,C0049,R04,24054.06,9145.09,455.2,333.34,14120.44,94.2
2026-05-01,P0057,C0049,R04,26816.66,8933.91,57.16,507.88,17317.7,93.6
2026-06-01,P0057,C0049,R04,25275.45,9847.86,579.13,165.35,14683.1,102.3
2023-11-01,P0058,C0247,R01,316886.32,162936.59,25457.65,5500,122992.08,1835.5
2023-12-01,P0058,C0247,R01,277014.99,106506.7,8846.05,2674.87,158987.37,1204.7
2023-03-01,P0059,C0293,R02,55377.25,29450.25,3787.71,1148.86,20990.43,324.7
2023-04-01,P0059,C0293,R02,63210.97,27107.25,6192.17,838.37,29073.18,301.1
2023-05-01,P0059,C0293,R02,60566.39,30491.47,1759.52,1304.28,27011.12,337
2023-06-01,P0059,C0293,R02,54337.45,27048.79,7249.79,1008.13,19030.74,299.4
2023-07-01,P0059,C0293,R02,63335.79,38140.89,6463.4,831.89,17899.6,422.1
2023-08-01,P0059,C0293,R02,54777.21,36535.04,7284.85,393.5,10563.82,411.9
2023-09-01,P0059,C0293,R02,65422.15,40262.96,7313.25,211.66,17634.29,454
2023-10-01,P0059,C0293,R02,53866.14,33930.83,3873.79,733.98,15327.55,380
2024-10-01,P0060,C0241,R01,28882.96,12129.06,508.39,196.73,16048.77,132.8
2024-11-01,P0060,C0241,R01,31809.26,11106.2,1122.54,609.22,18971.3,121.8
2024-12-01,P0060,C0241,R01,29291.05,8809.74,0,542.72,19938.6,95.2
2025-01-01,P0060,C0241,R01,30645.2,9555.83,1074.76,466.88,19547.73,100.3
2025-02-01,P0060,C0241,R01,33259.37,9609.04,1953.86,75.7,21620.77,99.8
2025-03-01,P0060,C0241,R01,31697.68,10733.85,1469.11,361.17,19133.54,113.4
2025-04-01,P0060,C0241,R01,30180.19,13076.59,803.43,216.75,16083.42,137.9
2025-05-01,P0060,C0241,R01,29772.08,15348.67,370.36,254.03,13799.02,163
2025-06-01,P0060,C0241,R01,31768.99,14746.12,850.03,193.25,15979.59,157
2025-07-01,P0060,C0241,R01,29230.98,14526.52,794.69,595.18,13314.59,154.3
2025-08-01,P0060,C0241,R01,29575.97,11850.29,543.21,322.1,16860.38,127.3
2025-09-01,P0060,C0241,R01,32105.09,11930.35,0,485.55,19689.19,128
2025-10-01,P0060,C0241,R01,32065.99,9220.26,1062.7,408.49,21374.54,98.1
