customer_id,customer_name,industry,segment,region_id,contract_start_month,renewal_month,billing_cadence,payment_terms_days,credit_risk_tier,initial_acv_usd,churn_month,current_arr_usd
C0022,Redwood Foods 022,Manufacturing,Mid-Market,R01,2021-06-01,6,Annual,45,C,115760.8,,132391.56
C0023,Northstar Energy 023,Healthcare,Enterprise,R02,2021-01-01,1,Annual,45,A,1130287.43,,1666935.24
C0024,Northstar Technology 024,Energy,Mid-Market,R03,2022-10-01,10,Annual,30,C,112779.81,,127541.04
C0025,Redwood Health 025,Manufacturing,SMB,R01,2024-07-01,7,Quarterly,30,B,44655.1,,46575.12
C0026,Northstar Energy 026,Logistics,SMB,R03,2020-10-01,10,Annual,30,A,68387.85,,81499.2
C0027,Pioneer Foods 027,Business Services,SMB,R03,2026-03-01,3,Quarterly,30,A,28236.83,,28236.84
C0028,Northstar Technology 028,Healthcare,Enterprise,R03,2020-05-01,5,Quarterly,45,A,460639.64,,633801.84
C0029,Lakeview Manufacturing 029,Healthcare,Mid-Market,R04,2022-12-01,12,Quarterly,45,B,244773.41,2025-12-01,0
C0030,Lakeview Health 030,Manufacturing,Enterprise,R03,2021-01-01,1,Annual,60,A,1138478.62,,1664327.52
C0031,Stonegate Energy 031,Retail and E-commerce,Enterprise,R03,2025-12-01,12,Annual,45,A,1013999.38,,1013999.4
C0032,Redwood Insurance 032,Technology,Mid-Market,R04,2022-11-01,11,Annual,30,B,221038.51,,259714.32
C0033,Summit Foods 033,Technology,Mid-Market,R01,2025-05-01,5,Annual,45,B,169339.76,2026-05-01,0
C0034,Westbridge Energy 034,Manufacturing,Mid-Market,R03,2023-08-01,8,Annual,45,A,104321.12,,118583.88
C0035,Summit Logistics 035,Manufacturing,Enterprise,R01,2021-11-01,11,Annual,60,A,878262.97,,1113972.72
C0036,Redwood Education 036,Technology,Enterprise,R03,2021-03-01,3,Quarterly,45,C,1262513.93,2026-03-01,0
C0037,Highland Insurance 037,Energy,Enterprise,R03,2020-02-01,2,Annual,45,A,1288464.78,,1905263.52
C0038,Ironwood Logistics 038,Energy,Mid-Market,R03,2023-08-01,8,Quarterly,60,B,114809.46,,126111.24
C0039,Redwood Technology 039,Energy,SMB,R01,2020-06-01,6,Quarterly,30,B,31006.56,,37489.08
C0040,Nova Foods 040,Energy,Mid-Market,R01,2024-08-01,8,Annual,45,B,214699.11,,240534.72
C0041,Pioneer Manufacturing 041,Logistics,Mid-Market,R01,2022-10-01,10,Quarterly,30,B,453298.52,,580243.08
C0042,Silverline Mobility 042,Business Services,SMB,R04,2021-07-01,7,Annual,30,C,80259.16,2023-07-01,0
C0043,Vantage Foods 043,Retail and E-commerce,Mid-Market,R03,2026-01-01,1,Annual,30,B,214725.77,,214725.72
C0044,Frontier Manufacturing 044,Business Services,SMB,R01,2022-07-01,7,Quarterly,30,B,43544.26,,53464.44
C0045,Redwood Insurance 045,Technology,Mid-Market,R01,2024-09-01,9,Annual,30,A,203701.6,,226183.8
C0046,Frontier Mobility 046,Business Services,Enterprise,R02,2025-05-01,5,Quarterly,45,A,1264215.85,,1403363.4
C0047,Northstar Retail 047,Financial Services,Mid-Market,R02,2021-12-01,12,Annual,30,B,178168,,224869.92
C0048,BluePeak Insurance 048,Manufacturing,Mid-Market,R01,2023-09-01,9,Quarterly,30,C,176073.01,,175553.16
C0049,Cedar Financial 049,Logistics,Mid-Market,R04,2020-04-01,4,Annual,45,C,95888.76,,122135.64
C0050,Harbor Financial 050,Manufacturing,SMB,R04,2022-11-01,11,Quarterly,30,A,46191.81,,51788.28
C0051,Frontier Financial 051,Energy,SMB,R01,2020-03-01,3,Quarterly,30,A,38098.85,2025-03-01,0
C0052,Oakridge Education 052,Healthcare,Mid-Market,R04,2020-11-01,11,Annual,45,B,126574.92,,151107.84
C0053,Cedar Manufacturing 053,Manufacturing,Mid-Market,R01,2020-03-01,3,Quarterly,30,A,181716.6,,264897.12
C0054,Cedar Technology 054,Financial Services,Mid-Market,R03,2023-02-01,2,Annual,30,B,68086.58,,90993.36
C0055,Cedar Foods 055,Financial Services,SMB,R01,2021-02-01,2,Annual,30,B,33219.76,,40620.12
C0056,Pioneer Retail 056,Manufacturing,Mid-Market,R04,2021-07-01,7,Quarterly,30,B,126743.05,,148469.76
C0057,Meridian Technology 057,Retail and E-commerce,Mid-Market,R01,2022-02-01,2,Annual,60,A,115786.17,,139858.2
C0058,Frontier Manufacturing 058,Retail and E-commerce,Enterprise,R03,2025-05-01,5,Annual,30,A,508620.68,,559257.12
C0059,Nova Technology 059,Technology,Mid-Market,R01,2024-01-01,1,Annual,30,B,125810.85,,133472.76
C0060,Oakridge Energy 060,Energy,Mid-Market,R01,2021-09-01,9,Annual,30,A,184872.3,,217138.56
C0061,Redwood Mobility 061,Energy,Mid-Market,R01,2024-04-01,4,Annual,30,B,157340.47,,179495.4
C0062,BluePeak Media 062,Healthcare,SMB,R03,2020-11-01,11,Quarterly,15,B,51294.12,,57685.2
C0063,Northstar Health 063,Retail and E-commerce,Mid-Market,R02,2020-08-01,8,Quarterly,45,C,223949.76,,279376.08
C0064,Frontier Media 064,Technology,Enterprise,R01,2021-09-01,9,Annual,45,A,662965.32,,787850.16
C0065,Stonegate Logistics 065,Business Services,SMB,R01,2020-07-01,7,Quarterly,30,A,33441.28,,39819.6
C0066,Atlas Financial 066,Financial Services,SMB,R04,2024-11-01,11,Annual,15,C,47774.08,,49207.32
C0067,Crescent Manufacturing 067,Energy,SMB,R03,2025-07-01,7,Annual,30,A,73583.66,,73583.64
C0068,Westbridge Logistics 068,Manufacturing,Mid-Market,R03,2025-03-01,3,Annual,30,C,220560.63,,227177.4
C0069,Oakridge Media 069,Retail and E-commerce,SMB,R01,2024-02-01,2,Quarterly,30,A,26108.89,,31407
C0070,Meridian Logistics 070,Manufacturing,SMB,R01,2023-07-01,7,Quarterly,30,A,30677.16,,33019.32
C0071,Stonegate Insurance 071,Financial Services,Enterprise,R01,2022-03-01,3,Annual,45,A,632372.44,,949838.88
C0072,Westbridge Energy 072,Financial Services,Enterprise,R04,2023-05-01,5,Annual,60,A,698307.96,,1000590.84
C0073,Stonegate Foods 073,Healthcare,Enterprise,R01,2023-04-01,4,Quarterly,60,A,601179.78,,771589.56
C0074,BrightPath Financial 074,Technology,Mid-Market,R04,2022-04-01,4,Quarterly,30,A,125772.28,2025-04-01,0
C0075,Nova Energy 075,Manufacturing,Enterprise,R02,2020-01-01,1,Annual,30,A,1713451.49,2026-06-01,0
C0076,BluePeak Energy 076,Logistics,Mid-Market,R02,2026-01-01,1,Annual,45,B,200879.09,,200879.04
C0077,Atlas Insurance 077,Technology,Mid-Market,R04,2025-05-01,5,Quarterly,30,A,185896.62,,186190.2
C0078,Redwood Energy 078,Manufacturing,Mid-Market,R01,2025-08-01,8,Annual,30,A,122211.24,,122211.24
C0079,BluePeak Logistics 079,Energy,SMB,R02,2021-05-01,5,Quarterly,30,A,27685.59,2023-05-01,0
C0080,Beacon Technology 080,Logistics,Enterprise,R03,2022-07-01,7,Quarterly,45,A,894173.9,,1190464.56
C0081,Oakridge Manufacturing 081,Energy,SMB,R01,2023-07-01,7,Annual,30,B,56314.36,2024-07-01,0
C0082,Lakeview Energy 082,Business Services,SMB,R01,2022-03-01,3,Annual,30,A,53449.07,,64915.2
C0083,Crescent Mobility 083,Manufacturing,SMB,R03,2021-10-01,10,Annual,15,A,45963.29,,52041
C0084,BluePeak Retail 084,Logistics,SMB,R02,2022-07-01,7,Annual,30,C,36452.82,,38258.28
C0085,Highland Health 085,Healthcare,Mid-Market,R02,2025-09-01,9,Annual,30,B,432389.16,,432389.16
C0086,Crescent Manufacturing 086,Healthcare,Mid-Market,R03,2021-01-01,1,Quarterly,45,A,175910.19,,202912.32
C0087,BluePeak Energy 087,Business Services,Mid-Market,R02,2021-07-01,7,Annual,30,A,148652.94,,179246.16
C0088,Redwood Manufacturing 088,Healthcare,Enterprise,R02,2020-08-01,8,Quarterly,60,A,1241951.86,,1681537.92
C0089,Summit Media 089,Manufacturing,Mid-Market,R01,2024-12-01,12,Quarterly,45,A,115063.96,,118515.84
C0090,BrightPath Foods 090,Technology,Mid-Market,R03,2026-05-01,5,Annual,45,B,201032.5,,201032.52
C0091,Lakeview Financial 091,Business Services,Enterprise,R02,2026-05-01,5,Annual,60,A,684481.82,,684481.8
C0092,BrightPath Mobility 092,Logistics,Mid-Market,R04,2026-04-01,4,Quarterly,30,B,159576.84,,159576.84
C0093,Ironwood Financial 093,Manufacturing,Enterprise,R04,2025-06-01,6,Annual,30,C,399087.57,,443695.68
C0094,Crescent Technology 094,Logistics,Enterprise,R01,2024-11-01,11,Annual,60,A,481045.55,,525838.32
C0095,BrightPath Technology 095,Healthcare,Mid-Market,R03,2025-08-01,8,Annual,30,B,234400.5,,234400.56
C0096,Silverline Energy 096,Logistics,SMB,R01,2022-11-01,11,Quarterly,30,B,43691.55,,49983.36
C0097,Westbridge Insurance 097,Financial Services,Mid-Market,R03,2020-06-01,6,Quarterly,30,C,198635.01,,237959.76
C0098,Highland Financial 098,Logistics,Enterprise,R03,2025-06-01,6,Quarterly,60,B,1115183.13,,1272005.04
C0099,Keystone Logistics 099,Financial Services,SMB,R01,2022-03-01,3,Quarterly,15,B,47688.31,,56997.72
C0100,BluePeak Education 100,Technology,SMB,R01,2021-11-01,11,Quarterly,15,B,56356.18,,61581.96
C0101,Lakeview Insurance 101,Business Services,Enterprise,R01,2022-09-01,9,Annual,60,B,826615.85,,1114663.44
C0102,Ironwood Financial 102,Logistics,Enterprise,R02,2023-12-01,12,Annual,45,A,1196977.62,,1458036.24
C0103,Stonegate Manufacturing 103,Retail and E-commerce,Enterprise,R02,2021-05-01,5,Annual,45,A,414161.1,,572852.88
C0104,Crescent Insurance 104,Logistics,SMB,R03,2020-03-01,3,Annual,30,B,44099.97,2024-03-01,0
C0105,Clearwater Foods 105,Technology,Enterprise,R03,2023-09-01,9,Annual,60,A,1373046.29,,1552445.88
C0106,Highland Manufacturing 106,Retail and E-commerce,Enterprise,R03,2022-10-01,10,Annual,45,A,982123.87,,1233655.44
C0107,Atlas Retail 107,Healthcare,SMB,R02,2021-02-01,2,Quarterly,30,A,17355.37,,22664.52
C0108,Lakeview Mobility 108,Energy,SMB,R01,2022-12-01,12,Quarterly,15,B,49883.82,2023-12-01,0
C0109,Pioneer Retail 109,Business Services,Enterprise,R01,2023-11-01,11,Annual,45,A,779094.55,,891408.12
C0110,Clearwater Retail 110,Technology,Enterprise,R01,2021-04-01,4,Quarterly,45,B,929821.55,,1332917.88
C0111,Beacon Manufacturing 111,Retail and E-commerce,SMB,R03,2022-08-01,8,Quarterly,30,A,18073.06,2023-08-01,0
C0112,Highland Health 112,Technology,Mid-Market,R03,2022-08-01,8,Annual,45,A,462809.92,,544925.4
C0113,Clearwater Insurance 113,Business Services,SMB,R03,2022-09-01,9,Quarterly,30,B,18836.06,,23294.28
C0114,Redwood Mobility 114,Business Services,Enterprise,R04,2020-02-01,2,Annual,60,B,1317844.38,,1703046.36
C0115,BluePeak Logistics 115,Healthcare,Enterprise,R04,2020-05-01,5,Annual,45,A,1258770.07,,1710994.92
C0116,Oakridge Education 116,Energy,Mid-Market,R02,2023-02-01,2,Annual,30,B,155959.17,,180517.08
C0117,Highland Foods 117,Technology,Mid-Market,R01,2021-12-01,12,Annual,30,B,177498.68,,208959.48
C0118,Nova Retail 118,Retail and E-commerce,Enterprise,R01,2020-06-01,6,Annual,60,A,738154.35,,896177.76
C0119,Westbridge Health 119,Technology,Enterprise,R01,2020-12-01,12,Annual,45,A,861541.43,,1011627
C0120,Crescent Logistics 120,Financial Services,Enterprise,R04,2022-05-01,5,Annual,30,A,1136321.83,,1540168.8
C0121,Crescent Foods 121,Financial Services,Mid-Market,R02,2025-11-01,11,Quarterly,45,B,93268.51,,93268.56
C0122,Atlas Foods 122,Technology,Mid-Market,R01,2021-12-01,12,Quarterly,45,A,172323.89,,211688.64
C0123,Evergreen Media 123,Logistics,Mid-Market,R01,2021-05-01,5,Annual,30,B,277233.22,,332190.12
C0124,Silverline Energy 124,Energy,SMB,R02,2021-01-01,1,Annual,30,A,47331.08,,56334.84
C0125,Summit Mobility 125,Retail and E-commerce,SMB,R01,2026-03-01,3,Quarterly,30,A,22539.7,,22539.72
C0126,Beacon Health 126,Energy,SMB,R03,2024-10-01,10,Quarterly,30,A,50407.04,,56669.04
C0127,BluePeak Education 127,Energy,Mid-Market,R03,2020-09-01,9,Annual,30,B,193715.82,,224713.68
C0128,Pioneer Health 128,Business Services,SMB,R02,2020-02-01,2,Quarterly,30,A,39179.85,,48642
C0129,BrightPath Insurance 129,Manufacturing,SMB,R01,2025-09-01,9,Quarterly,30,A,30635.73,,30635.76
C0130,Frontier Health 130,Technology,Enterprise,R03,2020-05-01,5,Annual,30,C,564989.71,,795996.24
C0131,Highland Financial 131,Healthcare,SMB,R03,2023-04-01,4,Annual,15,A,31332.83,,37278.36
C0132,Nova Insurance 132,Logistics,Mid-Market,R04,2020-01-01,1,Annual,30,B,148291.53,,173670.6
C0133,Meridian Mobility 133,Financial Services,Mid-Market,R02,2024-06-01,6,Quarterly,30,B,283601.44,,307773.96
C0134,BrightPath Mobility 134,Healthcare,SMB,R02,2021-06-01,6,Quarterly,15,C,69390.05,,82218.48
C0135,BluePeak Education 135,Healthcare,Enterprise,R01,2023-08-01,8,Annual,60,A,680195.86,,812832.24
C0136,Oakridge Education 136,Retail and E-commerce,Mid-Market,R02,2025-09-01,9,Quarterly,45,A,173384.59,,173384.64
C0137,Beacon Technology 137,Technology,Enterprise,R02,2023-10-01,10,Annual,45,A,562169.21,,709209
C0138,Pioneer Mobility 138,Healthcare,SMB,R02,2024-11-01,11,Quarterly,30,A,68652.52,,73422.96
C0139,Redwood Foods 139,Technology,Mid-Market,R02,2022-07-01,7,Annual,30,B,175538.04,,200763.84
C0140,Stonegate Insurance 140,Healthcare,Mid-Market,R01,2024-12-01,12,Annual,30,A,260072.15,,291206.64
C0141,Ironwood Foods 141,Technology,Mid-Market,R03,2024-04-01,4,Annual,30,A,170005.88,,187719.36
C0142,Redwood Retail 142,Financial Services,SMB,R01,2022-04-01,4,Annual,30,C,76302.82,,95577.48
C0143,BrightPath Mobility 143,Logistics,SMB,R03,2020-11-01,11,Annual,30,B,55076.73,2023-11-01,0
C0144,Lakeview Retail 144,Technology,SMB,R02,2022-12-01,12,Annual,30,A,49810.22,,55741.92
C0145,Keystone Logistics 145,Energy,Mid-Market,R02,2020-02-01,2,Quarterly,30,A,138333.5,,162216.36
C0146,Vantage Insurance 146,Financial Services,SMB,R01,2021-05-01,5,Quarterly,30,B,40455.55,2023-05-01,0
C0147,Summit Health 147,Technology,Mid-Market,R01,2021-11-01,11,Annual,45,A,135548.27,,176998.44
C0148,BluePeak Foods 148,Logistics,Mid-Market,R02,2022-08-01,8,Annual,45,A,136345.03,,165112.56
C0149,Atlas Foods 149,Financial Services,Enterprise,R01,2022-12-01,12,Annual,45,A,1072229.58,,1377300.48
C0150,Lakeview Financial 150,Business Services,Mid-Market,R02,2021-07-01,7,Annual,45,A,262941.79,,294357
C0151,Pioneer Foods 151,Business Services,Enterprise,R02,2021-01-01,1,Annual,45,A,693897.22,,996351.24
C0152,Meridian Logistics 152,Retail and E-commerce,Mid-Market,R01,2020-10-01,10,Quarterly,45,A,141673.35,,157064.76
C0153,Meridian Logistics 153,Business Services,SMB,R03,2020-04-01,4,Quarterly,30,B,70728.03,,89202.72
C0154,Atlas Financial 154,Logistics,Mid-Market,R04,2024-08-01,8,Quarterly,45,A,95676.67,,98547
C0155,Frontier Logistics 155,Retail and E-commerce,Mid-Market,R02,2023-07-01,7,Annual,60,A,118960.01,,135527.16
C0156,Evergreen Energy 156,Logistics,Mid-Market,R03,2020-02-01,2,Quarterly,30,B,462809.92,,558656.28
C0157,Clearwater Health 157,Retail and E-commerce,Mid-Market,R04,2023-05-01,5,Annual,30,A,244980.11,,279521.64
C0158,Northstar Education 158,Logistics,Mid-Market,R01,2021-10-01,10,Quarterly,45,A,149368.16,,159156.96
C0159,Clearwater Technology 159,Technology,Mid-Market,R02,2023-07-01,7,Quarterly,30,A,309312.22,,334083.36
C0160,Lakeview Logistics 160,Financial Services,Mid-Market,R01,2022-08-01,8,Quarterly,45,B,169112.58,,210903
C0161,Stonegate Retail 161,Healthcare,Enterprise,R02,2023-04-01,4,Quarterly,45,A,690814.85,,903339.96
C0162,Beacon Logistics 162,Logistics,Mid-Market,R01,2023-08-01,8,Annual,45,A,250026.37,,281677.8
C0163,Evergreen Retail 163,Financial Services,Enterprise,R01,2022-12-01,12,Annual,60,C,1616346.98,,2111036.4
C0164,Meridian Foods 164,Manufacturing,Mid-Market,R03,2020-03-01,3,Annual,45,A,197767.7,,278475.12
C0165,Vantage Health 165,Energy,Enterprise,R02,2021-02-01,2,Annual,60,B,772648.89,,918282.24
C0166,Cedar Manufacturing 166,Logistics,SMB,R02,2021-04-01,4,Annual,30,B,32039.8,,41626.8
C0167,Clearwater Education 167,Technology,Enterprise,R02,2026-03-01,3,Annual,60,B,925960.85,,925960.8
C0168,Crescent Mobility 168,Energy,Mid-Market,R02,2022-03-01,3,Quarterly,30,B,161947.62,,222551.64
C0169,Silverline Education 169,Manufacturing,Enterprise,R03,2021-04-01,4,Annual,45,C,932329.37,,1426732.92
C0170,Ironwood Foods 170,Logistics,Enterprise,R03,2021-04-01,4,Annual,45,A,441910.08,,573091.44
C0171,Stonegate Health 171,Financial Services,Mid-Market,R03,2023-01-01,1,Quarterly,45,A,185593.55,,207389.52
C0172,Stonegate Manufacturing 172,Business Services,Mid-Market,R04,2020-06-01,6,Quarterly,30,A,207129.55,,222506.04
C0173,Northstar Insurance 173,Retail and E-commerce,Mid-Market,R01,2022-07-01,7,Quarterly,30,A,117711.31,,133809.24
C0174,BrightPath Education 174,Business Services,Enterprise,R01,2020-03-01,3,Annual,45,C,455053.83,,645456.84
C0175,Frontier Manufacturing 175,Manufacturing,Mid-Market,R01,2020-08-01,8,Annual,30,B,280526.72,,331405.2
C0176,Cedar Insurance 176,Financial Services,Mid-Market,R04,2024-05-01,5,Annual,45,B,294095.92,,331883.52
C0177,Ironwood Foods 177,Financial Services,Mid-Market,R04,2020-04-01,4,Quarterly,45,A,118746.26,,123901.56
C0178,Cedar Energy 178,Business Services,Mid-Market,R01,2022-07-01,7,Quarterly,45,A,283407.13,,369939.48
C0179,Lakeview Health 179,Manufacturing,Enterprise,R04,2020-09-01,9,Annual,45,A,769717.17,,925541.4
C0180,BrightPath Manufacturing 180,Business Services,Mid-Market,R02,2020-11-01,11,Annual,30,A,151052.66,,190452.6
C0181,Summit Financial 181,Logistics,Mid-Market,R01,2022-07-01,7,Annual,30,C,109122.6,,119454.96
C0182,Summit Education 182,Energy,Mid-Market,R01,2021-02-01,2,Quarterly,45,A,105059,,134206.8
C0183,Clearwater Education 183,Manufacturing,SMB,R03,2022-07-01,7,Quarterly,30,B,26639.23,,32249.28
C0184,BluePeak Logistics 184,Technology,Mid-Market,R04,2023-03-01,3,Annual,30,B,91504.38,,112808.16
C0185,Oakridge Media 185,Financial Services,SMB,R01,2020-03-01,3,Quarterly,30,B,44180.43,,53720.4
C0186,Atlas Technology 186,Business Services,Enterprise,R03,2022-11-01,11,Annual,45,A,663243.33,2025-11-01,0
C0187,Frontier Education 187,Logistics,SMB,R01,2025-05-01,5,Quarterly,30,B,38683,,39843.48
C0188,Northstar Technology 188,Healthcare,Mid-Market,R01,2022-06-01,6,Quarterly,60,C,362917.24,,425041.8
C0189,Redwood Insurance 189,Energy,Mid-Market,R01,2024-12-01,12,Annual,30,B,163186.05,2025-12-01,0
C0190,Evergreen Energy 190,Healthcare,Enterprise,R02,2022-10-01,10,Annual,45,A,886299.82,,1033626.36
C0191,Lakeview Energy 191,Financial Services,SMB,R02,2021-03-01,3,Annual,30,A,57325.76,,64520.64
C0192,Oakridge Logistics 192,Business Services,SMB,R02,2020-05-01,5,Quarterly,30,A,30728.34,2026-05-01,0
C0193,Atlas Media 193,Manufacturing,Mid-Market,R03,2021-11-01,11,Annual,30,A,106336.01,,132799.32
C0194,Harbor Insurance 194,Manufacturing,SMB,R01,2026-01-01,1,Quarterly,15,A,18268.92,,18268.92
C0195,Crescent Energy 195,Healthcare,Mid-Market,R02,2021-05-01,5,Annual,30,B,128104.24,,160643.28
C0196,Summit Education 196,Energy,SMB,R01,2022-10-01,10,Annual,30,A,34930,,42560.76
C0197,BluePeak Financial 197,Financial Services,SMB,R03,2024-09-01,9,Annual,30,A,28269.72,,29117.76
C0198,Nova Foods 198,Financial Services,Enterprise,R04,2022-02-01,2,Annual,60,A,1335419.97,,1854707.76
C0199,Clearwater Health 199,Manufacturing,SMB,R04,2022-11-01,11,Quarterly,30,C,61550.91,,70678.2
C0200,Beacon Energy 200,Energy,Mid-Market,R01,2022-06-01,6,Annual,30,B,318718.37,2024-06-01,0
C0201,Redwood Technology 201,Healthcare,SMB,R01,2025-10-01,10,Quarterly,30,A,36886.75,,36886.8
C0202,Pioneer Foods 202,Technology,Enterprise,R01,2023-09-01,9,Annual,45,A,614790.92,,776026.8
C0203,Cedar Health 203,Business Services,Mid-Market,R03,2023-04-01,4,Quarterly,30,B,166858.63,,170269.08
C0204,Harbor Education 204,Healthcare,Enterprise,R01,2023-04-01,4,Annual,45,B,1459713.07,,1739541.6
C0205,Meridian Retail 205,Manufacturing,Mid-Market,R03,2022-07-01,7,Annual,45,A,117891.97,,147362.88
C0206,Evergreen Technology 206,Energy,Mid-Market,R03,2024-12-01,12,Annual,45,C,151139.36,,162881.4
C0207,Vantage Technology 207,Healthcare,Mid-Market,R01,2021-04-01,4,Annual,30,B,186713.65,,239281.68
C0208,Meridian Media 208,Manufacturing,Mid-Market,R02,2024-06-01,6,Quarterly,45,A,152800.96,,172601.64
C0209,Pioneer Manufacturing 209,Technology,Mid-Market,R01,2020-08-01,8,Quarterly,45,C,150648.7,,196758.72
C0210,BluePeak Logistics 210,Retail and E-commerce,SMB,R01,2020-11-01,11,Quarterly,30,A,28575.32,,33016.2
C0211,Vantage Retail 211,Business Services,Enterprise,R04,2021-08-01,8,Annual,30,A,1402844.72,,1781613.36
C0212,Lakeview Financial 212,Technology,SMB,R02,2021-09-01,9,Annual,30,B,94187.53,,102921.24
C0213,Oakridge Mobility 213,Energy,Mid-Market,R01,2020-12-01,12,Quarterly,30,C,101118.66,,111361.68
C0214,Harbor Energy 214,Healthcare,Mid-Market,R01,2020-09-01,9,Quarterly,45,A,252312.62,,289093.2
C0215,Westbridge Manufacturing 215,Manufacturing,Enterprise,R02,2020-10-01,10,Annual,45,C,536259.24,,677489.28
C0216,Vantage Health 216,Energy,Mid-Market,R04,2020-04-01,4,Quarterly,45,A,308180.21,,414543.48
C0217,Silverline Mobility 217,Retail and E-commerce,Enterprise,R04,2021-03-01,3,Annual,45,B,887281.66,,1362243.36
C0218,Highland Retail 218,Retail and E-commerce,SMB,R02,2025-06-01,6,Annual,30,B,27296.36,,28115.28
C0219,Silverline Health 219,Logistics,Mid-Market,R03,2026-01-01,1,Annual,30,C,198490.28,,198490.32
C0220,BrightPath Financial 220,Financial Services,Mid-Market,R01,2020-07-01,7,Annual,30,A,147068.32,,166635
C0221,Ironwood Mobility 221,Financial Services,Enterprise,R01,2026-02-01,2,Annual,60,A,1251499.94,,1251499.92
C0222,Silverline Retail 222,Retail and E-commerce,Mid-Market,R03,2023-06-01,6,Quarterly,30,A,159603.12,,213703.8
C0223,Summit Energy 223,Business Services,Enterprise,R04,2020-11-01,11,Annual,45,A,521659.7,,646093.44
C0224,Clearwater Education 224,Healthcare,SMB,R01,2024-01-01,1,Quarterly,15,B,33753.89,,35392.2
C0225,Evergreen Media 225,Logistics,Enterprise,R02,2022-02-01,2,Annual,30,B,1977694.73,2026-04-01,0
C0226,Frontier Financial 226,Manufacturing,SMB,R01,2022-09-01,9,Quarterly,30,B,32664.88,,36745.68
C0227,Crescent Media 227,Energy,Mid-Market,R03,2020-03-01,3,Annual,45,A,158967.09,,194788.08
C0228,Silverline Mobility 228,Logistics,Mid-Market,R01,2021-08-01,8,Annual,30,B,175787.07,,206499
C0229,Meridian Retail 229,Logistics,Enterprise,R03,2022-08-01,8,Annual,45,A,1121594.03,,1523889.6
C0230,Summit Retail 230,Energy,Mid-Market,R03,2021-06-01,6,Quarterly,45,A,141542.81,,179012.04
C0231,Highland Retail 231,Manufacturing,Mid-Market,R03,2023-06-01,6,Annual,30,B,298362.5,,352084.32
C0232,Summit Logistics 232,Energy,SMB,R01,2025-07-01,7,Quarterly,30,A,54762.49,,54762.48
C0233,Pioneer Logistics 233,Logistics,Enterprise,R01,2024-03-01,3,Annual,45,A,629405.69,,684018.48
C0234,BrightPath Retail 234,Technology,Mid-Market,R02,2024-04-01,4,Quarterly,30,B,247510.21,2025-04-01,0
C0235,Beacon Financial 235,Business Services,Mid-Market,R02,2021-04-01,4,Annual,30,B,94236.5,2025-04-01,0
C0236,Harbor Media 236,Healthcare,Enterprise,R02,2025-04-01,4,Annual,45,B,1052192.59,,1083758.4
