project_id,customer_id,region_id,project_type,contract_type,start_month,planned_end_month,status,contract_value_usd,blended_bill_rate_usd,actual_margin_pct
P0024,C0083,R03,Implementation,Fixed Price,2022-09-01,2023-05-01,Completed,83193.12,159.76,0.3471
P0025,C0260,R03,Implementation,Fixed Price,2022-07-01,2022-10-01,Completed,0,0,0
P0026,C0063,R02,Optimization,Fixed Price,2022-11-01,2023-03-01,Completed,155033.1,190.03,0.4287
P0027,C0065,R01,Optimization,Time and Materials,2022-11-01,2023-03-01,Completed,76206.6,209.45,0.5095
P0028,C0071,R01,Optimization,Time and Materials,2022-07-01,2022-11-01,Completed,0,0,0
P0029,C0267,R03,Managed Services,Fixed Price,2022-09-01,2023-11-01,Completed,43715.28,172.63,0.4386
P0030,C0174,R01,Optimization,Fixed Price,2022-10-01,2022-12-01,Completed,0,0,0
P0031,C0107,R02,Managed Services,Time and Materials,2024-12-01,2026-03-01,Completed,63797.2,273.1,0.6223
P0032,C0099,R01,Implementation,Time and Materials,2023-07-01,2024-02-01,Completed,87981.87,139.01,0.2575
P0033,C0185,R01,Managed Services,Time and Materials,2025-03-01,2026-06-01,Completed,103656.32,235.9,0.5639
P0034,C0117,R01,Implementation,Fixed Price,2025-04-01,2025-08-01,Completed,367125.67,152.87,0.2529
P0035,C0149,R01,Implementation,Fixed Price,2025-10-01,2026-05-01,Completed,947735.71,171.27,0.3183
P0036,C0192,R02,Implementation,Time and Materials,2023-05-01,2023-12-01,Completed,189254.18,152.48,0.3094
P0037,C0244,R03,Implementation,Time and Materials,2024-09-01,2025-02-01,Completed,210521.97,239.99,0.5248
P0038,C0228,R01,Managed Services,Time and Materials,2026-04-01,2027-06-01,In Progress,321762.15,248.85,0.5637
P0039,C0191,R02,Optimization,Time and Materials,2025-04-01,2025-06-01,Completed,70953.09,185.94,0.4097
P0040,C0007,R01,Optimization,Fixed Price,2025-06-01,2025-12-01,Completed,175258.04,229.43,0.5125
P0041,C0210,R01,Implementation,Fixed Price,2024-04-01,2024-11-01,Completed,140563.38,164.15,0.344
P0042,C0246,R03,Managed Services,Time and Materials,2025-08-01,2026-08-01,In Progress,163440.15,236.81,0.5643
P0043,C0083,R03,Managed Services,Fixed Price,2026-04-01,2026-09-01,In Progress,132219.86,223.87,0.5237
P0044,C0215,R02,Optimization,Time and Materials,2024-12-01,2025-02-01,Completed,752121.4,267.46,0.5764
P0045,C0171,R03,Implementation,Time and Materials,2026-05-01,2026-12-01,In Progress,555670.28,190.77,0.3904
P0046,C0210,R01,Implementation,Fixed Price,2025-01-01,2025-05-01,Completed,167411.83,200.71,0.4333
P0047,C0018,R01,Implementation,Time and Materials,2026-02-01,2026-08-01,In Progress,251844.82,202.26,0.4182
P0048,C0073,R01,Implementation,Time and Materials,2025-02-01,2025-08-01,Completed,1003143.88,161.98,0.3176
P0049,C0014,R03,Implementation,Time and Materials,2023-06-01,2023-10-01,Completed,123668.82,147.52,0.2551
P0050,C0114,R04,Managed Services,Time and Materials,2025-08-01,2026-07-01,In Progress,732838.85,266.02,0.6097
P0051,C0252,R01,Implementation,Time and Materials,2024-12-01,2025-05-01,Completed,189243.38,220.43,0.4777
P0052,C0053,R01,Optimization,Time and Materials,2023-04-01,2023-05-01,Completed,231078.92,261.11,0.6248
P0053,C0274,R03,Optimization,Time and Materials,2024-10-01,2025-01-01,Completed,99201.01,232.27,0.5315
P0054,C0074,R04,Implementation,Time and Materials,2023-11-01,2024-04-01,Completed,589241.02,179.66,0.405
P0055,C0124,R02,Optimization,Time and Materials,2024-02-01,2024-07-01,Completed,142721.49,206.13,0.4725
P0056,C0045,R01,Optimization,Time and Materials,2026-05-01,2026-09-01,In Progress,134371.05,235.22,0.5445
P0057,C0049,R04,Managed Services,Fixed Price,2025-07-01,2026-11-01,In Progress,394565.57,274.51,0.6187
P0058,C0247,R01,Optimization,Time and Materials,2023-11-01,2023-12-01,Completed,593901.31,195.35,0.4748
P0059,C0293,R02,Implementation,Time and Materials,2023-03-01,2023-10-01,Completed,470893.35,160.7,0.3345
P0060,C0241,R01,Managed Services,Time and Materials,2024-10-01,2025-10-01,Completed,400284.81,245.74,0.5805
P0061,C0229,R03,Optimization,Time and Materials,2023-10-01,2023-12-01,Completed,380565.25,223.18,0.5099
P0062,C0152,R01,Training,Fixed Price,2026-01-01,2026-02-01,Completed,58820.88,290.04,0.6072
P0063,C0251,R02,Implementation,Fixed Price,2025-03-01,2025-12-01,Completed,131878.58,118.2,0.0899
P0064,C0120,R04,Implementation,Time and Materials,2023-12-01,2024-06-01,Completed,1519144.52,178.62,0.3828
P0065,C0246,R03,Optimization,Fixed Price,2026-03-01,2026-09-01,In Progress,139730.29,204.21,0.4484
P0066,C0106,R03,Implementation,Fixed Price,2024-01-01,2024-11-01,Completed,1044512.85,170.18,0.3636
P0067,C0300,R02,Optimization,Time and Materials,2025-09-01,2026-02-01,Completed,563982.9,226.2,0.5175
P0068,C0265,R03,Implementation,Time and Materials,2023-01-01,2023-05-01,Completed,628292.57,158.2,0.3274
P0069,C0185,R01,Implementation,Fixed Price,2024-01-01,2024-10-01,Completed,225032.16,184,0.3888
P0070,C0156,R03,Implementation,Time and Materials,2025-03-01,2025-10-01,Completed,471635.7,190.16,0.4156
P0071,C0203,R03,Optimization,Time and Materials,2023-05-01,2023-06-01,Completed,139597.64,229.64,0.55
P0072,C0276,R03,Implementation,Time and Materials,2024-12-01,2025-11-01,Completed,82676.78,191.07,0.3985
P0073,C0029,R04,Implementation,Fixed Price,2024-08-01,2025-07-01,Completed,546853.57,187.05,0.4004
P0074,C0003,R02,Training,Fixed Price,2024-09-01,2024-09-01,Completed,23243.96,233.84,0.5321
P0075,C0284,R01,Training,Fixed Price,2024-08-01,2024-09-01,Completed,64314.72,267.31,0.6288
P0076,C0216,R04,Implementation,Time and Materials,2024-04-01,2025-03-01,Completed,382241.95,185.96,0.4092
P0077,C0294,R03,Optimization,Time and Materials,2023-07-01,2023-11-01,Completed,328244.42,174.37,0.4288
P0078,C0066,R04,Managed Services,Fixed Price,2026-03-01,2027-03-01,In Progress,209272.12,232.38,0.5428
P0079,C0095,R03,Training,Fixed Price,2025-08-01,2025-08-01,Completed,28732.23,241.85,0.5463
P0080,C0151,R02,Managed Services,Fixed Price,2026-02-01,2027-05-01,In Progress,585957.25,256.46,0.5744
P0081,C0183,R03,Implementation,Fixed Price,2024-10-01,2025-08-01,Completed,82304.66,157.13,0.308
P0082,C0244,R03,Implementation,Time and Materials,2023-04-01,2023-10-01,Completed,174655.36,157.45,0.323
P0083,C0127,R03,Implementation,Fixed Price,2024-12-01,2025-07-01,Completed,212844.7,144.04,0.2164
P0084,C0250,R04,Managed Services,Time and Materials,2026-03-01,2027-06-01,In Progress,164748.4,250.99,0.5749
P0085,C0008,R02,Implementation,Fixed Price,2023-05-01,2023-11-01,Completed,262368.92,115.29,0.1392
P0086,C0297,R03,Optimization,Time and Materials,2024-08-01,2025-02-01,Completed,197730.29,193.83,0.4602
P0087,C0005,R04,Managed Services,Time and Materials,2024-10-01,2026-03-01,Completed,427185.95,246.97,0.5853
P0088,C0270,R01,Managed Services,Time and Materials,2025-09-01,2026-08-01,In Progress,538356.66,286.94,0.6289
P0089,C0103,R02,Implementation,Fixed Price,2023-11-01,2024-05-01,Completed,1016441.57,168.57,0.3506
P0090,C0154,R04,Implementation,Time and Materials,2026-04-01,2027-01-01,In Progress,763001.53,187.33,0.3972
P0091,C0074,R04,Optimization,Time and Materials,2023-04-01,2023-09-01,Completed,203960.42,162.74,0.3697
P0092,C0026,R03,Optimization,Time and Materials,2025-05-01,2025-07-01,Completed,111383.87,174.09,0.3908
P0093,C0204,R01,Optimization,Time and Materials,2023-04-01,2023-06-01,Completed,415031.54,244.65,0.5647
P0094,C0057,R01,Managed Services,Fixed Price,2025-03-01,2025-11-01,Completed,218088.04,182.32,0.4479
P0095,C0099,R01,Implementation,Time and Materials,2025-03-01,2025-09-01,Completed,192447.83,172.65,0.3412
P0096,C0265,R03,Optimization,Time and Materials,2024-10-01,2025-03-01,Completed,483683.23,252.13,0.5511
P0097,C0004,R03,Implementation,Time and Materials,2023-06-01,2024-02-01,Completed,832167.21,151.82,0.3152
P0098,C0050,R04,Optimization,Time and Materials,2025-06-01,2025-08-01,Completed,123002.02,188.6,0.4132
P0099,C0004,R03,Implementation,Time and Materials,2024-11-01,2025-03-01,Completed,822062.72,177.59,0.3618
P0100,C0270,R01,Implementation,Time and Materials,2023-06-01,2023-10-01,Completed,642322.04,150.45,0.3055
P0101,C0118,R01,Implementation,Fixed Price,2024-04-01,2024-09-01,Completed,552620.04,115.09,0.0943
P0102,C0296,R02,Implementation,Fixed Price,2026-02-01,2026-12-01,In Progress,473434.5,174.19,0.361
P0103,C0222,R03,Optimization,Fixed Price,2025-01-01,2025-03-01,Completed,343786,267.95,0.5648
P0104,C0113,R03,Managed Services,Time and Materials,2023-02-01,2023-10-01,Completed,52745.39,232.46,0.5776
P0105,C0081,R01,Optimization,Fixed Price,2024-03-01,2024-08-01,Completed,104934.24,179.62,0.4384
P0106,C0087,R02,Implementation,Fixed Price,2024-03-01,2024-08-01,Completed,458251.88,172.54,0.3924
P0107,C0099,R01,Optimization,Fixed Price,2025-06-01,2025-10-01,Completed,97694.17,203.66,0.4816
P0108,C0292,R04,Implementation,Time and Materials,2024-10-01,2025-03-01,Completed,373847.85,220.79,0.4848
P0109,C0132,R04,Optimization,Time and Materials,2023-12-01,2024-01-01,Completed,252626.13,199.36,0.4804
P0110,C0007,R01,Implementation,Fixed Price,2023-09-01,2024-04-01,Completed,453331.99,176.5,0.3775
P0111,C0212,R02,Training,Fixed Price,2024-10-01,2024-11-01,Completed,23658.88,235.18,0.5752
P0112,C0123,R01,Implementation,Time and Materials,2025-07-01,2026-06-01,Completed,577724.14,195.89,0.4319
P0113,C0267,R03,Optimization,Time and Materials,2025-04-01,2025-06-01,Completed,105678.73,183.98,0.4526
P0114,C0087,R02,Training,Fixed Price,2025-02-01,2025-02-01,Completed,28732.23,366.95,0.6875
P0115,C0040,R01,Implementation,Time and Materials,2025-08-01,2026-07-01,In Progress,582684.88,212.03,0.4311
P0116,C0264,R01,Optimization,Fixed Price,2026-05-01,2026-11-01,In Progress,260110.2,205.18,0.4412
P0117,C0103,R02,Implementation,Fixed Price,2023-04-01,2023-11-01,Completed,689881.12,114.3,0.0995
P0118,C0282,R01,Managed Services,Fixed Price,2023-08-01,2024-01-01,Completed,320258.8,194.47,0.5001
P0119,C0063,R02,Optimization,Time and Materials,2023-09-01,2023-10-01,Completed,242188.09,109.9,0.1245
P0120,C0212,R02,Implementation,Time and Materials,2024-03-01,2024-07-01,Completed,79303.81,219.31,0.4836
P0121,C0133,R02,Managed Services,Time and Materials,2024-06-01,2024-12-01,Completed,405237.95,224.66,0.549
P0122,C0191,R02,Optimization,Fixed Price,2025-03-01,2025-06-01,Completed,111549.3,218.51,0.492
P0123,C0106,R03,Implementation,Fixed Price,2025-09-01,2025-12-01,Completed,1312180.46,211.23,0.4852
P0124,C0072,R04,Optimization,Fixed Price,2024-03-01,2024-04-01,Completed,411500.34,204.22,0.4528
P0125,C0190,R02,Implementation,Time and Materials,2025-08-01,2025-11-01,Completed,952635.45,222.78,0.5156
P0126,C0238,R03,Managed Services,Time and Materials,2025-04-01,2025-11-01,Completed,535480.59,251.79,0.5853
P0127,C0278,R02,Optimization,Fixed Price,2025-03-01,2025-04-01,Completed,378656.9,245.09,0.543
P0128,C0042,R04,Implementation,Time and Materials,2023-04-01,2024-03-01,Completed,205775.96,150.93,0.2975
P0129,C0205,R03,Optimization,Fixed Price,2025-07-01,2025-12-01,Completed,237924.48,253.27,0.5569
P0130,C0291,R03,Implementation,Fixed Price,2026-06-01,2026-11-01,In Progress,314144.45,154.71,0.3089
P0131,C0294,R03,Optimization,Time and Materials,2025-09-01,2025-11-01,Completed,603285.11,222.11,0.5093
P0132,C0174,R01,Implementation,Fixed Price,2023-02-01,2023-06-01,Completed,535145.82,187.51,0.4315
P0133,C0190,R02,Training,Fixed Price,2024-06-01,2024-06-01,Completed,134712.4,252.93,0.6001
P0134,C0035,R01,Managed Services,Time and Materials,2025-06-01,2026-06-01,Completed,365683.16,291.64,0.6366
P0135,C0166,R02,Implementation,Time and Materials,2024-05-01,2024-10-01,Completed,120815.05,170.93,0.3427
P0136,C0118,R01,Implementation,Fixed Price,2023-09-01,2024-07-01,Completed,680972.68,160.55,0.3381
P0137,C0020,R01,Optimization,Time and Materials,2025-10-01,2026-02-01,Completed,130676.69,249.96,0.5433
P0138,C0127,R03,Implementation,Time and Materials,2026-02-01,2026-10-01,In Progress,443809.71,227.2,0.4598
P0139,C0122,R01,Managed Services,Time and Materials,2024-09-01,2025-09-01,Completed,273153.65,221.54,0.5379
P0140,C0011,R01,Implementation,Time and Materials,2026-03-01,2026-11-01,In Progress,121816.51,215.53,0.4352
P0141,C0044,R01,Implementation,Time and Materials,2025-05-01,2025-08-01,Completed,177032.43,195.66,0.4038
P0142,C0117,R01,Managed Services,Time and Materials,2024-09-01,2025-02-01,Completed,380766.21,274.13,0.6109
P0143,C0297,R03,Optimization,Time and Materials,2025-03-01,2025-09-01,Completed,110824.31,197.62,0.4407
P0144,C0084,R02,Implementation,Time and Materials,2025-06-01,2026-02-01,Completed,189374.64,175.15,0.3521
P0145,C0015,R03,Implementation,Fixed Price,2023-03-01,2023-06-01,Completed,107271.74,234.83,0.5076
P0146,C0193,R03,Implementation,Time and Materials,2024-06-01,2024-09-01,Completed,407065.15,161.18,0.3287
P0147,C0049,R04,Optimization,Time and Materials,2023-12-01,2024-04-01,Completed,156216.26,214.26,0.5119
P0148,C0223,R04,Implementation,Time and Materials,2024-11-01,2025-02-01,Completed,1187080.24,254.66,0.5399
P0149,C0179,R04,Implementation,Time and Materials,2026-05-01,2027-01-01,In Progress,1118086.88,189.93,0.3852
P0150,C0097,R03,Implementation,Fixed Price,2023-01-01,2023-07-01,Completed,439522.24,162.52,0.3457
P0151,C0037,R03,Managed Services,Fixed Price,2023-01-01,2024-01-01,Completed,659193.54,227.97,0.5662
P0152,C0214,R01,Implementation,Fixed Price,2026-05-01,2027-01-01,In Progress,230959.13,177.78,0.3801
P0153,C0112,R03,Optimization,Time and Materials,2025-06-01,2025-11-01,Completed,280377.57,245.82,0.5585
P0154,C0275,R03,Implementation,Time and Materials,2024-03-01,2024-12-01,Completed,347707.13,168.38,0.3669
P0155,C0060,R01,Implementation,Time and Materials,2024-05-01,2025-03-01,Completed,348971.67,196.49,0.4295
P0156,C0205,R03,Implementation,Time and Materials,2024-11-01,2025-06-01,Completed,563912.56,207.51,0.4435
P0157,C0083,R03,Implementation,Time and Materials,2026-04-01,2026-08-01,In Progress,146081.25,208.89,0.4324
P0158,C0071,R01,Managed Services,Fixed Price,2026-04-01,2027-05-01,In Progress,302860.97,223.63,0.5247
P0159,C0295,R03,Implementation,Time and Materials,2023-09-01,2024-07-01,Completed,1040717.37,195.91,0.4311
P0160,C0182,R01,Optimization,Time and Materials,2026-01-01,2026-03-01,Completed,312720.73,234.14,0.5128
P0161,C0275,R03,Optimization,Fixed Price,2025-01-01,2025-07-01,Completed,205458.95,211.75,0.4538
P0162,C0014,R03,Implementation,Time and Materials,2023-01-01,2023-10-01,Completed,265693.16,177.66,0.405
P0163,C0028,R03,Optimization,Fixed Price,2025-03-01,2025-04-01,Completed,425918.02,203.81,0.4708
P0164,C0174,R01,Implementation,Fixed Price,2024-01-01,2024-11-01,Completed,550483.7,201.89,0.4572
P0165,C0238,R03,Optimization,Time and Materials,2024-10-01,2025-02-01,Completed,339765.41,265.07,0.564
P0166,C0145,R02,Training,Fixed Price,2023-04-01,2023-04-01,Completed,37926.37,299.81,0.6439
P0167,C0011,R01,Implementation,Time and Materials,2023-06-01,2024-03-01,Completed,248271.32,199.43,0.459
P0168,C0203,R03,Training,Fixed Price,2025-05-01,2025-05-01,Completed,68585.88,220.75,0.5388
P0169,C0217,R04,Optimization,Time and Materials,2023-01-01,2023-04-01,Completed,403663.93,228.67,0.5423
P0170,C0015,R03,Training,Fixed Price,2024-09-01,2024-10-01,Completed,10675.52,252.97,0.5931
P0171,C0028,R03,Implementation,Fixed Price,2025-03-01,2025-12-01,Completed,1211668.32,175.71,0.3704
P0172,C0230,R03,Implementation,Time and Materials,2024-08-01,2024-12-01,Completed,713637.23,187.57,0.4051
P0173,C0117,R01,Optimization,Time and Materials,2024-03-01,2024-06-01,Completed,215686.34,195.58,0.4499
P0174,C0015,R03,Implementation,Time and Materials,2023-10-01,2024-08-01,Completed,169952.52,190.66,0.419
P0175,C0128,R02,Implementation,Fixed Price,2025-02-01,2025-06-01,Completed,159328.31,170.42,0.3315
P0176,C0143,R03,Managed Services,Fixed Price,2023-09-01,2025-02-01,Completed,84883.33,178.85,0.45
P0177,C0066,R04,Implementation,Time and Materials,2026-06-01,2027-05-01,In Progress,69000.25,189.04,0.4199
P0178,C0028,R03,Optimization,Time and Materials,2026-04-01,2026-05-01,Completed,654419.07,217.08,0.4648
P0179,C0010,R04,Implementation,Fixed Price,2024-08-01,2025-05-01,Completed,243763.47,214.98,0.4674
P0180,C0211,R04,Implementation,Time and Materials,2026-05-01,2027-01-01,In Progress,894023.87,190.57,0.3889
P0181,C0176,R04,Implementation,Fixed Price,2024-09-01,2025-03-01,Completed,398264.49,203.06,0.4425
P0182,C0139,R02,Implementation,Time and Materials,2023-11-01,2024-06-01,Completed,552950.18,184.18,0.3938
P0183,C0028,R03,Implementation,Time and Materials,2025-10-01,2026-03-01,Completed,925191.91,228.04,0.4583
P0184,C0158,R01,Implementation,Fixed Price,2023-03-01,2024-02-01,Completed,308114.72,151.36,0.3061
P0185,C0213,R01,Implementation,Time and Materials,2025-11-01,2026-08-01,In Progress,525062.37,241.49,0.4941
P0186,C0266,R03,Training,Fixed Price,2023-06-01,2023-07-01,Completed,114975.4,219.88,0.5194
P0187,C0299,R04,Implementation,Time and Materials,2024-05-01,2025-03-01,Completed,212083.11,174.58,0.3928
P0188,C0006,R01,Optimization,Time and Materials,2025-03-01,2025-05-01,Completed,268576.91,215.29,0.5074
P0189,C0207,R01,Training,Fixed Price,2025-08-01,2025-08-01,Completed,84343.58,253.44,0.5802
P0190,C0082,R01,Optimization,Time and Materials,2024-02-01,2024-08-01,Completed,92218.07,228.89,0.5382
P0191,C0198,R04,Implementation,Time and Materials,2023-12-01,2024-11-01,Completed,834689.67,211.29,0.4643
P0192,C0073,R01,Training,Fixed Price,2024-02-01,2024-03-01,Completed,113510.88,275.31,0.6305
P0193,C0158,R01,Managed Services,Time and Materials,2025-07-01,2026-05-01,Completed,154546.98,332.43,0.6812
P0194,C0034,R03,Optimization,Time and Materials,2025-11-01,2026-03-01,Completed,396456.57,255.65,0.5518
P0195,C0179,R04,Managed Services,Time and Materials,2024-11-01,2026-04-01,Completed,571877.48,289.29,0.6408
P0196,C0082,R01,Managed Services,Time and Materials,2023-03-01,2024-04-01,Completed,60250.99,249.8,0.5997
P0197,C0234,R02,Implementation,Time and Materials,2024-08-01,2025-02-01,Completed,555298.44,218.99,0.4805
P0198,C0289,R04,Optimization,Fixed Price,2024-01-01,2024-03-01,Completed,184165.36,207.11,0.488
P0199,C0292,R04,Implementation,Time and Materials,2024-07-01,2025-01-01,Completed,205357.28,197.21,0.4086
P0200,C0100,R01,Optimization,Time and Materials,2026-04-01,2026-10-01,In Progress,139128.38,218.01,0.5047
P0201,C0094,R01,Implementation,Time and Materials,2025-11-01,2026-07-01,In Progress,1411029.03,212.23,0.4673
P0202,C0084,R02,Training,Fixed Price,2023-04-01,2023-05-01,Completed,24289.66,227.01,0.5676
P0203,C0099,R01,Implementation,Fixed Price,2025-12-01,2026-04-01,Completed,250914.95,209.88,0.4377
P0204,C0217,R04,Training,Fixed Price,2025-02-01,2025-03-01,Completed,122234.82,316.34,0.6387
P0205,C0211,R04,Implementation,Fixed Price,2024-07-01,2024-10-01,Completed,825313.94,115.9,0.1215
P0206,C0285,R02,Optimization,Time and Materials,2025-06-01,2025-10-01,Completed,312236.05,215.86,0.4923
P0207,C0071,R01,Implementation,Time and Materials,2023-07-01,2024-02-01,Completed,694330.91,178.63,0.407
P0208,C0118,R01,Implementation,Fixed Price,2023-03-01,2023-08-01,Completed,788480.42,164.38,0.3328
P0209,C0224,R01,Implementation,Time and Materials,2024-08-01,2025-07-01,Completed,249682.31,192.82,0.4054
P0210,C0300,R02,Implementation,Fixed Price,2024-08-01,2025-02-01,Completed,700020.13,193.82,0.4204
P0211,C0107,R02,Implementation,Time and Materials,2023-12-01,2024-08-01,Completed,232068.45,178.35,0.4017
P0212,C0193,R03,Optimization,Time and Materials,2025-11-01,2026-02-01,Completed,154533.41,302.53,0.5989
P0213,C0184,R04,Training,Fixed Price,2023-08-01,2023-09-01,Completed,41290.46,189.23,0.4881
P0214,C0229,R03,Implementation,Time and Materials,2026-06-01,2026-09-01,In Progress,778484.64,173.82,0.3603
P0215,C0296,R02,Optimization,Time and Materials,2025-06-01,2025-08-01,Completed,331366.54,208.93,0.4929
P0216,C0181,R01,Optimization,Time and Materials,2025-11-01,2026-03-01,Completed,211394.46,272.66,0.5826
P0217,C0100,R01,Managed Services,Fixed Price,2023-08-01,2025-01-01,Completed,79083.75,201.69,0.5168
P0218,C0268,R01,Implementation,Time and Materials,2025-10-01,2026-05-01,Completed,836282.33,201.99,0.4249
P0219,C0037,R03,Managed Services,Time and Materials,2026-01-01,2027-03-01,In Progress,695053.55,252.45,0.5762
P0220,C0169,R03,Managed Services,Fixed Price,2025-11-01,2026-05-01,Completed,572847.65,209.96,0.5011
