gl_row_id,month_start,account_id,department_id,region_id,customer_id,project_id,business_line,amount_usd,source_system,entry_type
GL0000027,2025-03-01,A4000,D00,R03,C0001,,Subscription,145939.55,Subscription Billing,Revenue Recognition
GL0000028,2025-04-01,A4000,D00,R03,C0001,,Subscription,151872.52,Subscription Billing,Revenue Recognition
GL0000029,2025-05-01,A4000,D00,R03,C0001,,Subscription,157805.49,Subscription Billing,Revenue Recognition
GL0000030,2025-06-01,A4000,D00,R03,C0001,,Subscription,157805.49,Subscription Billing,Revenue Recognition
GL0000031,2025-07-01,A4000,D00,R03,C0001,,Subscription,157805.49,Subscription Billing,Revenue Recognition
GL0000032,2025-08-01,A4000,D00,R03,C0001,,Subscription,157805.49,Subscription Billing,Revenue Recognition
GL0000033,2025-09-01,A4000,D00,R03,C0001,,Subscription,157805.49,Subscription Billing,Revenue Recognition
GL0000034,2025-10-01,A4000,D00,R03,C0001,,Subscription,157805.49,Subscription Billing,Revenue Recognition
GL0000035,2025-11-01,A4000,D00,R03,C0001,,Subscription,157805.49,Subscription Billing,Revenue Recognition
GL0000036,2025-12-01,A4000,D00,R03,C0001,,Subscription,157805.49,Subscription Billing,Revenue Recognition
GL0000037,2026-01-01,A4000,D00,R03,C0001,,Subscription,157805.49,Subscription Billing,Revenue Recognition
GL0000038,2026-02-01,A4000,D00,R03,C0001,,Subscription,157805.49,Subscription Billing,Revenue Recognition
GL0000039,2026-03-01,A4000,D00,R03,C0001,,Subscription,157805.49,Subscription Billing,Revenue Recognition
GL0000040,2026-04-01,A4000,D00,R03,C0001,,Subscription,160172.57,Subscription Billing,Revenue Recognition
GL0000041,2026-05-01,A4000,D00,R03,C0001,,Subscription,162539.65,Subscription Billing,Revenue Recognition
GL0000042,2026-06-01,A4000,D00,R03,C0001,,Subscription,162539.65,Subscription Billing,Revenue Recognition
GL0000043,2023-01-01,A4000,D00,R03,C0002,,Subscription,5968.88,Subscription Billing,Revenue Recognition
GL0000044,2023-02-01,A4000,D00,R03,C0002,,Subscription,5968.88,Subscription Billing,Revenue Recognition
GL0000045,2023-03-01,A4000,D00,R03,C0002,,Subscription,5968.88,Subscription Billing,Revenue Recognition
GL0000046,2023-04-01,A4000,D00,R03,C0002,,Subscription,5968.88,Subscription Billing,Revenue Recognition
GL0000047,2023-05-01,A4000,D00,R03,C0002,,Subscription,5968.88,Subscription Billing,Revenue Recognition
GL0000048,2023-06-01,A4000,D00,R03,C0002,,Subscription,5968.88,Subscription Billing,Revenue Recognition
GL0000049,2023-07-01,A4000,D00,R03,C0002,,Subscription,5968.88,Subscription Billing,Revenue Recognition
GL0000050,2023-08-01,A4000,D00,R03,C0002,,Subscription,5968.88,Subscription Billing,Revenue Recognition
GL0000051,2023-09-01,A4000,D00,R03,C0002,,Subscription,5968.88,Subscription Billing,Revenue Recognition
GL0000052,2023-10-01,A4000,D00,R03,C0002,,Subscription,5968.88,Subscription Billing,Revenue Recognition
GL0000053,2023-11-01,A4000,D00,R03,C0002,,Subscription,5984.53,Subscription Billing,Revenue Recognition
GL0000054,2023-12-01,A4000,D00,R03,C0002,,Subscription,6000.18,Subscription Billing,Revenue Recognition
GL0000055,2024-01-01,A4000,D00,R03,C0002,,Subscription,6000.18,Subscription Billing,Revenue Recognition
GL0000056,2024-02-01,A4000,D00,R03,C0002,,Subscription,6000.18,Subscription Billing,Revenue Recognition
GL0000057,2024-03-01,A4000,D00,R03,C0002,,Subscription,6000.18,Subscription Billing,Revenue Recognition
GL0000058,2024-04-01,A4000,D00,R03,C0002,,Subscription,6000.18,Subscription Billing,Revenue Recognition
GL0000059,2024-05-01,A4000,D00,R03,C0002,,Subscription,6000.18,Subscription Billing,Revenue Recognition
GL0000060,2024-06-01,A4000,D00,R03,C0002,,Subscription,6000.18,Subscription Billing,Revenue Recognition
GL0000061,2024-07-01,A4000,D00,R03,C0002,,Subscription,6000.18,Subscription Billing,Revenue Recognition
GL0000062,2024-08-01,A4000,D00,R03,C0002,,Subscription,6000.18,Subscription Billing,Revenue Recognition
GL0000063,2024-09-01,A4000,D00,R03,C0002,,Subscription,6000.18,Subscription Billing,Revenue Recognition
GL0000064,2024-10-01,A4000,D00,R03,C0002,,Subscription,6000.18,Subscription Billing,Revenue Recognition
GL0000065,2024-11-01,A4000,D00,R03,C0002,,Subscription,6090.18,Subscription Billing,Revenue Recognition
GL0000066,2024-12-01,A4000,D00,R03,C0002,,Subscription,6180.18,Subscription Billing,Revenue Recognition
GL0000067,2025-01-01,A4000,D00,R03,C0002,,Subscription,6180.18,Subscription Billing,Revenue Recognition
GL0000068,2025-02-01,A4000,D00,R03,C0002,,Subscription,6180.18,Subscription Billing,Revenue Recognition
GL0000069,2025-03-01,A4000,D00,R03,C0002,,Subscription,6180.18,Subscription Billing,Revenue Recognition
GL0000070,2025-04-01,A4000,D00,R03,C0002,,Subscription,6180.18,Subscription Billing,Revenue Recognition
GL0000071,2025-05-01,A4000,D00,R03,C0002,,Subscription,6180.18,Subscription Billing,Revenue Recognition
GL0000072,2025-06-01,A4000,D00,R03,C0002,,Subscription,6180.18,Subscription Billing,Revenue Recognition
GL0000073,2025-07-01,A4000,D00,R03,C0002,,Subscription,6180.18,Subscription Billing,Revenue Recognition
GL0000074,2025-08-01,A4000,D00,R03,C0002,,Subscription,6180.18,Subscription Billing,Revenue Recognition
GL0000075,2025-09-01,A4000,D00,R03,C0002,,Subscription,6180.18,Subscription Billing,Revenue Recognition
GL0000076,2025-10-01,A4000,D00,R03,C0002,,Subscription,6180.18,Subscription Billing,Revenue Recognition
GL0000077,2025-11-01,A4000,D00,R03,C0002,,Subscription,6272.89,Subscription Billing,Revenue Recognition
GL0000078,2025-12-01,A4000,D00,R03,C0002,,Subscription,6365.59,Subscription Billing,Revenue Recognition
GL0000079,2026-01-01,A4000,D00,R03,C0002,,Subscription,6365.59,Subscription Billing,Revenue Recognition
GL0000080,2026-02-01,A4000,D00,R03,C0002,,Subscription,6365.59,Subscription Billing,Revenue Recognition
GL0000081,2026-03-01,A4000,D00,R03,C0002,,Subscription,6365.59,Subscription Billing,Revenue Recognition
GL0000082,2026-04-01,A4000,D00,R03,C0002,,Subscription,6365.59,Subscription Billing,Revenue Recognition
GL0000083,2026-05-01,A4000,D00,R03,C0002,,Subscription,6365.59,Subscription Billing,Revenue Recognition
GL0000084,2026-06-01,A4000,D00,R03,C0002,,Subscription,6365.59,Subscription Billing,Revenue Recognition
GL0000085,2023-11-01,A4000,D00,R02,C0003,,Subscription,1777.35,Subscription Billing,Revenue Recognition
GL0000086,2023-12-01,A4000,D00,R02,C0003,,Subscription,3554.69,Subscription Billing,Revenue Recognition
GL0000087,2024-01-01,A4000,D00,R02,C0003,,Subscription,3554.69,Subscription Billing,Revenue Recognition
GL0000088,2024-02-01,A4000,D00,R02,C0003,,Subscription,3554.69,Subscription Billing,Revenue Recognition
GL0000089,2024-03-01,A4000,D00,R02,C0003,,Subscription,3554.69,Subscription Billing,Revenue Recognition
GL0000090,2024-04-01,A4000,D00,R02,C0003,,Subscription,3554.69,Subscription Billing,Revenue Recognition
GL0000091,2024-05-01,A4000,D00,R02,C0003,,Subscription,3554.69,Subscription Billing,Revenue Recognition
GL0000092,2024-06-01,A4000,D00,R02,C0003,,Subscription,3554.69,Subscription Billing,Revenue Recognition
GL0000093,2024-07-01,A4000,D00,R02,C0003,,Subscription,3554.69,Subscription Billing,Revenue Recognition
GL0000094,2024-08-01,A4000,D00,R02,C0003,,Subscription,3554.69,Subscription Billing,Revenue Recognition
GL0000095,2024-09-01,A4000,D00,R02,C0003,,Subscription,3554.69,Subscription Billing,Revenue Recognition
GL0000096,2024-10-01,A4000,D00,R02,C0003,,Subscription,3554.69,Subscription Billing,Revenue Recognition
GL0000097,2024-11-01,A4000,D00,R02,C0003,,Subscription,3608.01,Subscription Billing,Revenue Recognition
GL0000098,2024-12-01,A4000,D00,R02,C0003,,Subscription,3661.33,Subscription Billing,Revenue Recognition
GL0000099,2025-01-01,A4000,D00,R02,C0003,,Subscription,3661.33,Subscription Billing,Revenue Recognition
GL0000100,2025-02-01,A4000,D00,R02,C0003,,Subscription,3661.33,Subscription Billing,Revenue Recognition
GL0000101,2025-03-01,A4000,D00,R02,C0003,,Subscription,3661.33,Subscription Billing,Revenue Recognition
GL0000102,2025-04-01,A4000,D00,R02,C0003,,Subscription,3661.33,Subscription Billing,Revenue Recognition
GL0000103,2025-05-01,A4000,D00,R02,C0003,,Subscription,3661.33,Subscription Billing,Revenue Recognition
GL0000104,2025-06-01,A4000,D00,R02,C0003,,Subscription,3661.33,Subscription Billing,Revenue Recognition
GL0000105,2025-07-01,A4000,D00,R02,C0003,,Subscription,3661.33,Subscription Billing,Revenue Recognition
GL0000106,2025-08-01,A4000,D00,R02,C0003,,Subscription,3661.33,Subscription Billing,Revenue Recognition
GL0000107,2025-09-01,A4000,D00,R02,C0003,,Subscription,3661.33,Subscription Billing,Revenue Recognition
GL0000108,2025-10-01,A4000,D00,R02,C0003,,Subscription,3661.33,Subscription Billing,Revenue Recognition
GL0000109,2025-11-01,A4000,D00,R02,C0003,,Subscription,3817.58,Subscription Billing,Revenue Recognition
GL0000110,2025-12-01,A4000,D00,R02,C0003,,Subscription,3973.84,Subscription Billing,Revenue Recognition
GL0000111,2026-01-01,A4000,D00,R02,C0003,,Subscription,3973.84,Subscription Billing,Revenue Recognition
GL0000112,2026-02-01,A4000,D00,R02,C0003,,Subscription,3973.84,Subscription Billing,Revenue Recognition
GL0000113,2026-03-01,A4000,D00,R02,C0003,,Subscription,3973.84,Subscription Billing,Revenue Recognition
GL0000114,2026-04-01,A4000,D00,R02,C0003,,Subscription,3973.84,Subscription Billing,Revenue Recognition
GL0000115,2026-05-01,A4000,D00,R02,C0003,,Subscription,3973.84,Subscription Billing,Revenue Recognition
GL0000116,2026-06-01,A4000,D00,R02,C0003,,Subscription,3973.84,Subscription Billing,Revenue Recognition
GL0000117,2023-01-01,A4000,D00,R03,C0004,,Subscription,37635.49,Subscription Billing,Revenue Recognition
GL0000118,2023-02-01,A4000,D00,R03,C0004,,Subscription,38200.02,Subscription Billing,Revenue Recognition
GL0000119,2023-03-01,A4000,D00,R03,C0004,,Subscription,38764.55,Subscription Billing,Revenue Recognition
GL0000120,2023-04-01,A4000,D00,R03,C0004,,Subscription,38764.55,Subscription Billing,Revenue Recognition
GL0000121,2023-05-01,A4000,D00,R03,C0004,,Subscription,38764.55,Subscription Billing,Revenue Recognition
GL0000122,2023-06-01,A4000,D00,R03,C0004,,Subscription,38764.55,Subscription Billing,Revenue Recognition
GL0000123,2023-07-01,A4000,D00,R03,C0004,,Subscription,38764.55,Subscription Billing,Revenue Recognition
GL0000124,2023-08-01,A4000,D00,R03,C0004,,Subscription,38764.55,Subscription Billing,Revenue Recognition
GL0000125,2023-09-01,A4000,D00,R03,C0004,,Subscription,38764.55,Subscription Billing,Revenue Recognition
GL0000126,2023-10-01,A4000,D00,R03,C0004,,Subscription,38764.55,Subscription Billing,Revenue Recognition
GL0000127,2023-11-01,A4000,D00,R03,C0004,,Subscription,38764.55,Subscription Billing,Revenue Recognition
GL0000128,2023-12-01,A4000,D00,R03,C0004,,Subscription,38764.55,Subscription Billing,Revenue Recognition
GL0000129,2024-01-01,A4000,D00,R03,C0004,,Subscription,38764.55,Subscription Billing,Revenue Recognition
GL0000130,2024-02-01,A4000,D00,R03,C0004,,Subscription,39970.86,Subscription Billing,Revenue Recognition
GL0000131,2024-03-01,A4000,D00,R03,C0004,,Subscription,41177.17,Subscription Billing,Revenue Recognition
GL0000132,2024-04-01,A4000,D00,R03,C0004,,Subscription,41177.17,Subscription Billing,Revenue Recognition
GL0000133,2024-05-01,A4000,D00,R03,C0004,,Subscription,41177.17,Subscription Billing,Revenue Recognition
GL0000134,2024-06-01,A4000,D00,R03,C0004,,Subscription,41177.17,Subscription Billing,Revenue Recognition
GL0000135,2024-07-01,A4000,D00,R03,C0004,,Subscription,41177.17,Subscription Billing,Revenue Recognition
GL0000136,2024-08-01,A4000,D00,R03,C0004,,Subscription,41177.17,Subscription Billing,Revenue Recognition
GL0000137,2024-09-01,A4000,D00,R03,C0004,,Subscription,41177.17,Subscription Billing,Revenue Recognition
GL0000138,2024-10-01,A4000,D00,R03,C0004,,Subscription,41177.17,Subscription Billing,Revenue Recognition
GL0000139,2024-11-01,A4000,D00,R03,C0004,,Subscription,41177.17,Subscription Billing,Revenue Recognition
GL0000140,2024-12-01,A4000,D00,R03,C0004,,Subscription,41177.17,Subscription Billing,Revenue Recognition
GL0000141,2025-01-01,A4000,D00,R03,C0004,,Subscription,41177.17,Subscription Billing,Revenue Recognition
GL0000142,2025-02-01,A4000,D00,R03,C0004,,Subscription,44039.9,Subscription Billing,Revenue Recognition
GL0000143,2025-03-01,A4000,D00,R03,C0004,,Subscription,46902.62,Subscription Billing,Revenue Recognition
GL0000144,2025-04-01,A4000,D00,R03,C0004,,Subscription,46902.62,Subscription Billing,Revenue Recognition
GL0000145,2025-05-01,A4000,D00,R03,C0004,,Subscription,46902.62,Subscription Billing,Revenue Recognition
GL0000146,2025-06-01,A4000,D00,R03,C0004,,Subscription,46902.62,Subscription Billing,Revenue Recognition
GL0000147,2025-07-01,A4000,D00,R03,C0004,,Subscription,46902.62,Subscription Billing,Revenue Recognition
GL0000148,2025-08-01,A4000,D00,R03,C0004,,Subscription,46902.62,Subscription Billing,Revenue Recognition
GL0000149,2025-09-01,A4000,D00,R03,C0004,,Subscription,46902.62,Subscription Billing,Revenue Recognition
GL0000150,2025-10-01,A4000,D00,R03,C0004,,Subscription,46902.62,Subscription Billing,Revenue Recognition
GL0000151,2025-11-01,A4000,D00,R03,C0004,,Subscription,46902.62,Subscription Billing,Revenue Recognition
GL0000152,2025-12-01,A4000,D00,R03,C0004,,Subscription,46902.62,Subscription Billing,Revenue Recognition
GL0000153,2026-01-01,A4000,D00,R03,C0004,,Subscription,46902.62,Subscription Billing,Revenue Recognition
GL0000154,2026-02-01,A4000,D00,R03,C0004,,Subscription,49105.12,Subscription Billing,Revenue Recognition
GL0000155,2026-03-01,A4000,D00,R03,C0004,,Subscription,51307.61,Subscription Billing,Revenue Recognition
GL0000156,2026-04-01,A4000,D00,R03,C0004,,Subscription,51307.61,Subscription Billing,Revenue Recognition
GL0000157,2026-05-01,A4000,D00,R03,C0004,,Subscription,51307.61,Subscription Billing,Revenue Recognition
GL0000158,2026-06-01,A4000,D00,R03,C0004,,Subscription,51307.61,Subscription Billing,Revenue Recognition
GL0000159,2023-01-01,A4000,D00,R04,C0005,,Subscription,12649.01,Subscription Billing,Revenue Recognition
GL0000160,2023-02-01,A4000,D00,R04,C0005,,Subscription,13014.5,Subscription Billing,Revenue Recognition
GL0000161,2023-03-01,A4000,D00,R04,C0005,,Subscription,13379.99,Subscription Billing,Revenue Recognition
GL0000162,2023-04-01,A4000,D00,R04,C0005,,Subscription,13379.99,Subscription Billing,Revenue Recognition
GL0000163,2023-05-01,A4000,D00,R04,C0005,,Subscription,13379.99,Subscription Billing,Revenue Recognition
GL0000164,2023-06-01,A4000,D00,R04,C0005,,Subscription,13379.99,Subscription Billing,Revenue Recognition
GL0000165,2023-07-01,A4000,D00,R04,C0005,,Subscription,13379.99,Subscription Billing,Revenue Recognition
GL0000166,2023-08-01,A4000,D00,R04,C0005,,Subscription,13379.99,Subscription Billing,Revenue Recognition
GL0000167,2023-09-01,A4000,D00,R04,C0005,,Subscription,13379.99,Subscription Billing,Revenue Recognition
GL0000168,2023-10-01,A4000,D00,R04,C0005,,Subscription,13379.99,Subscription Billing,Revenue Recognition
GL0000169,2023-11-01,A4000,D00,R04,C0005,,Subscription,13379.99,Subscription Billing,Revenue Recognition
GL0000170,2023-12-01,A4000,D00,R04,C0005,,Subscription,13379.99,Subscription Billing,Revenue Recognition
GL0000171,2024-01-01,A4000,D00,R04,C0005,,Subscription,13379.99,Subscription Billing,Revenue Recognition
GL0000172,2024-02-01,A4000,D00,R04,C0005,,Subscription,13580.69,Subscription Billing,Revenue Recognition
GL0000173,2024-03-01,A4000,D00,R04,C0005,,Subscription,13781.39,Subscription Billing,Revenue Recognition
GL0000174,2024-04-01,A4000,D00,R04,C0005,,Subscription,13781.39,Subscription Billing,Revenue Recognition
GL0000175,2024-05-01,A4000,D00,R04,C0005,,Subscription,13781.39,Subscription Billing,Revenue Recognition
GL0000176,2024-06-01,A4000,D00,R04,C0005,,Subscription,13781.39,Subscription Billing,Revenue Recognition
GL0000177,2024-07-01,A4000,D00,R04,C0005,,Subscription,13781.39,Subscription Billing,Revenue Recognition
GL0000178,2024-08-01,A4000,D00,R04,C0005,,Subscription,13781.39,Subscription Billing,Revenue Recognition
GL0000179,2024-09-01,A4000,D00,R04,C0005,,Subscription,13781.39,Subscription Billing,Revenue Recognition
GL0000180,2024-10-01,A4000,D00,R04,C0005,,Subscription,13781.39,Subscription Billing,Revenue Recognition
GL0000181,2024-11-01,A4000,D00,R04,C0005,,Subscription,13781.39,Subscription Billing,Revenue Recognition
GL0000182,2024-12-01,A4000,D00,R04,C0005,,Subscription,13781.39,Subscription Billing,Revenue Recognition
GL0000183,2025-01-01,A4000,D00,R04,C0005,,Subscription,13781.39,Subscription Billing,Revenue Recognition
GL0000184,2025-02-01,A4000,D00,R04,C0005,,Subscription,13988.11,Subscription Billing,Revenue Recognition
GL0000185,2025-03-01,A4000,D00,R04,C0005,,Subscription,14194.83,Subscription Billing,Revenue Recognition
GL0000186,2025-04-01,A4000,D00,R04,C0005,,Subscription,14194.83,Subscription Billing,Revenue Recognition
GL0000187,2025-05-01,A4000,D00,R04,C0005,,Subscription,14194.83,Subscription Billing,Revenue Recognition
GL0000188,2025-06-01,A4000,D00,R04,C0005,,Subscription,14194.83,Subscription Billing,Revenue Recognition
GL0000189,2025-07-01,A4000,D00,R04,C0005,,Subscription,14194.83,Subscription Billing,Revenue Recognition
GL0000190,2025-08-01,A4000,D00,R04,C0005,,Subscription,14194.83,Subscription Billing,Revenue Recognition
GL0000191,2025-09-01,A4000,D00,R04,C0005,,Subscription,14194.83,Subscription Billing,Revenue Recognition
GL0000192,2025-10-01,A4000,D00,R04,C0005,,Subscription,14194.83,Subscription Billing,Revenue Recognition
GL0000193,2025-11-01,A4000,D00,R04,C0005,,Subscription,14194.83,Subscription Billing,Revenue Recognition
GL0000194,2025-12-01,A4000,D00,R04,C0005,,Subscription,14194.83,Subscription Billing,Revenue Recognition
GL0000195,2026-01-01,A4000,D00,R04,C0005,,Subscription,14194.83,Subscription Billing,Revenue Recognition
GL0000196,2026-02-01,A4000,D00,R04,C0005,,Subscription,14407.75,Subscription Billing,Revenue Recognition
GL0000197,2026-03-01,A4000,D00,R04,C0005,,Subscription,14620.67,Subscription Billing,Revenue Recognition
GL0000198,2026-04-01,A4000,D00,R04,C0005,,Subscription,14620.67,Subscription Billing,Revenue Recognition
GL0000199,2026-05-01,A4000,D00,R04,C0005,,Subscription,14620.67,Subscription Billing,Revenue Recognition
GL0000200,2026-06-01,A4000,D00,R04,C0005,,Subscription,14620.67,Subscription Billing,Revenue Recognition
GL0000201,2024-08-01,A4000,D00,R01,C0006,,Subscription,6215.03,Subscription Billing,Revenue Recognition
GL0000202,2024-09-01,A4000,D00,R01,C0006,,Subscription,12430.07,Subscription Billing,Revenue Recognition
GL0000203,2024-10-01,A4000,D00,R01,C0006,,Subscription,12430.07,Subscription Billing,Revenue Recognition
GL0000204,2024-11-01,A4000,D00,R01,C0006,,Subscription,12430.07,Subscription Billing,Revenue Recognition
GL0000205,2024-12-01,A4000,D00,R01,C0006,,Subscription,12430.07,Subscription Billing,Revenue Recognition
GL0000206,2025-01-01,A4000,D00,R01,C0006,,Subscription,12430.07,Subscription Billing,Revenue Recognition
GL0000207,2025-02-01,A4000,D00,R01,C0006,,Subscription,12430.07,Subscription Billing,Revenue Recognition
GL0000208,2025-03-01,A4000,D00,R01,C0006,,Subscription,12430.07,Subscription Billing,Revenue Recognition
GL0000209,2025-04-01,A4000,D00,R01,C0006,,Subscription,12430.07,Subscription Billing,Revenue Recognition
GL0000210,2025-05-01,A4000,D00,R01,C0006,,Subscription,12430.07,Subscription Billing,Revenue Recognition
GL0000211,2025-06-01,A4000,D00,R01,C0006,,Subscription,12430.07,Subscription Billing,Revenue Recognition
GL0000212,2025-07-01,A4000,D00,R01,C0006,,Subscription,12430.07,Subscription Billing,Revenue Recognition
GL0000213,2025-08-01,A4000,D00,R01,C0006,,Subscription,12084.11,Subscription Billing,Revenue Recognition
GL0000214,2025-09-01,A4000,D00,R01,C0006,,Subscription,11738.15,Subscription Billing,Revenue Recognition
GL0000215,2025-10-01,A4000,D00,R01,C0006,,Subscription,11738.15,Subscription Billing,Revenue Recognition
GL0000216,2025-11-01,A4000,D00,R01,C0006,,Subscription,11738.15,Subscription Billing,Revenue Recognition
GL0000217,2025-12-01,A4000,D00,R01,C0006,,Subscription,11738.15,Subscription Billing,Revenue Recognition
GL0000218,2026-01-01,A4000,D00,R01,C0006,,Subscription,11738.15,Subscription Billing,Revenue Recognition
GL0000219,2026-02-01,A4000,D00,R01,C0006,,Subscription,11738.15,Subscription Billing,Revenue Recognition
GL0000220,2026-03-01,A4000,D00,R01,C0006,,Subscription,11738.15,Subscription Billing,Revenue Recognition
GL0000221,2026-04-01,A4000,D00,R01,C0006,,Subscription,11738.15,Subscription Billing,Revenue Recognition
GL0000222,2026-05-01,A4000,D00,R01,C0006,,Subscription,11738.15,Subscription Billing,Revenue Recognition
GL0000223,2026-06-01,A4000,D00,R01,C0006,,Subscription,11738.15,Subscription Billing,Revenue Recognition
GL0000224,2023-01-01,A4000,D00,R01,C0007,,Subscription,8825.06,Subscription Billing,Revenue Recognition
GL0000225,2023-02-01,A4000,D00,R01,C0007,,Subscription,8825.06,Subscription Billing,Revenue Recognition
GL0000226,2023-03-01,A4000,D00,R01,C0007,,Subscription,8825.06,Subscription Billing,Revenue Recognition
GL0000227,2023-04-01,A4000,D00,R01,C0007,,Subscription,8825.06,Subscription Billing,Revenue Recognition
GL0000228,2023-05-01,A4000,D00,R01,C0007,,Subscription,8825.06,Subscription Billing,Revenue Recognition
GL0000229,2023-06-01,A4000,D00,R01,C0007,,Subscription,8825.06,Subscription Billing,Revenue Recognition
GL0000230,2023-07-01,A4000,D00,R01,C0007,,Subscription,8825.06,Subscription Billing,Revenue Recognition
GL0000231,2023-08-01,A4000,D00,R01,C0007,,Subscription,8825.06,Subscription Billing,Revenue Recognition
GL0000232,2023-09-01,A4000,D00,R01,C0007,,Subscription,8957.43,Subscription Billing,Revenue Recognition
GL0000233,2023-10-01,A4000,D00,R01,C0007,,Subscription,9089.81,Subscription Billing,Revenue Recognition
GL0000234,2023-11-01,A4000,D00,R01,C0007,,Subscription,9089.81,Subscription Billing,Revenue Recognition
GL0000235,2023-12-01,A4000,D00,R01,C0007,,Subscription,9089.81,Subscription Billing,Revenue Recognition
GL0000236,2024-01-01,A4000,D00,R01,C0007,,Subscription,9089.81,Subscription Billing,Revenue Recognition
GL0000237,2024-02-01,A4000,D00,R01,C0007,,Subscription,9089.81,Subscription Billing,Revenue Recognition
GL0000238,2024-03-01,A4000,D00,R01,C0007,,Subscription,9089.81,Subscription Billing,Revenue Recognition
GL0000239,2024-04-01,A4000,D00,R01,C0007,,Subscription,9089.81,Subscription Billing,Revenue Recognition
GL0000240,2024-05-01,A4000,D00,R01,C0007,,Subscription,9089.81,Subscription Billing,Revenue Recognition
GL0000241,2024-06-01,A4000,D00,R01,C0007,,Subscription,9089.81,Subscription Billing,Revenue Recognition
GL0000242,2024-07-01,A4000,D00,R01,C0007,,Subscription,9089.81,Subscription Billing,Revenue Recognition
GL0000243,2024-08-01,A4000,D00,R01,C0007,,Subscription,9089.81,Subscription Billing,Revenue Recognition
GL0000244,2024-09-01,A4000,D00,R01,C0007,,Subscription,9544.72,Subscription Billing,Revenue Recognition
GL0000245,2024-10-01,A4000,D00,R01,C0007,,Subscription,9999.64,Subscription Billing,Revenue Recognition
GL0000246,2024-11-01,A4000,D00,R01,C0007,,Subscription,9999.64,Subscription Billing,Revenue Recognition
GL0000247,2024-12-01,A4000,D00,R01,C0007,,Subscription,9999.64,Subscription Billing,Revenue Recognition
GL0000248,2025-01-01,A4000,D00,R01,C0007,,Subscription,9999.64,Subscription Billing,Revenue Recognition
GL0000249,2025-02-01,A4000,D00,R01,C0007,,Subscription,9999.64,Subscription Billing,Revenue Recognition
GL0000250,2025-03-01,A4000,D00,R01,C0007,,Subscription,9999.64,Subscription Billing,Revenue Recognition
GL0000251,2025-04-01,A4000,D00,R01,C0007,,Subscription,9999.64,Subscription Billing,Revenue Recognition
GL0000252,2025-05-01,A4000,D00,R01,C0007,,Subscription,9999.64,Subscription Billing,Revenue Recognition
