month_start,department_name,function_group,region_name,fte,personnel_cost_usd,services_utilization_pct
2023-06-01,Sales,"Sales & Marketing","US West",17.0,286079.83,
2023-06-01,Marketing,"Sales & Marketing","US West",4.0,52091.6,
2023-06-01,"Product & Engineering","Research & Development","US West",41.0,876438.67,
2023-06-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-06-01,People,"General & Administrative","US West",1.0,10965.97,
2023-06-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-06-01,Executive,"General & Administrative","US West",2.0,70112.54,
2023-07-01,"Cloud Operations","Cost of Revenue","US West",11.0,183131.52,
2023-07-01,"Customer Support","Cost of Revenue","US West",12.0,159605.44,
2023-07-01,"Professional Services","Cost of Revenue","US West",19.0,304504.12,0.7424
2023-07-01,Sales,"Sales & Marketing","US West",17.0,286079.83,
2023-07-01,Marketing,"Sales & Marketing","US West",4.0,52091.6,
2023-07-01,"Product & Engineering","Research & Development","US West",41.0,876438.67,
2023-07-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-07-01,People,"General & Administrative","US West",1.0,10965.97,
2023-07-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-07-01,Executive,"General & Administrative","US West",2.0,70112.54,
2023-08-01,"Cloud Operations","Cost of Revenue","US West",11.0,183131.52,
2023-08-01,"Customer Support","Cost of Revenue","US West",12.0,159605.44,
2023-08-01,"Professional Services","Cost of Revenue","US West",19.0,303095.2,0.7705
2023-08-01,Sales,"Sales & Marketing","US West",17.0,286079.83,
2023-08-01,Marketing,"Sales & Marketing","US West",4.0,52091.6,
2023-08-01,"Product & Engineering","Research & Development","US West",40.0,856593.91,
2023-08-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-08-01,People,"General & Administrative","US West",1.0,10965.97,
2023-08-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-08-01,Executive,"General & Administrative","US West",2.0,70112.54,
2023-09-01,"Cloud Operations","Cost of Revenue","US West",11.0,183131.52,
2023-09-01,"Customer Support","Cost of Revenue","US West",12.0,159605.44,
2023-09-01,"Professional Services","Cost of Revenue","US West",20.0,315277.79,0.7515
2023-09-01,Sales,"Sales & Marketing","US West",17.0,283874.12,
2023-09-01,Marketing,"Sales & Marketing","US West",4.0,52091.6,
2023-09-01,"Product & Engineering","Research & Development","US West",40.0,856593.91,
2023-09-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-09-01,People,"General & Administrative","US West",1.0,10965.97,
2023-09-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-09-01,Executive,"General & Administrative","US West",2.0,70112.54,
2023-10-01,"Cloud Operations","Cost of Revenue","US West",11.0,183131.52,
2023-10-01,"Customer Support","Cost of Revenue","US West",12.0,159605.44,
2023-10-01,"Professional Services","Cost of Revenue","US West",20.0,315277.79,0.754
2023-10-01,Sales,"Sales & Marketing","US West",17.0,283874.12,
2023-10-01,Marketing,"Sales & Marketing","US West",4.0,52091.6,
2023-10-01,"Product & Engineering","Research & Development","US West",42.0,904947.43,
2023-10-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-10-01,People,"General & Administrative","US West",1.0,10965.97,
2023-10-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-10-01,Executive,"General & Administrative","US West",2.0,70112.54,
2023-11-01,"Cloud Operations","Cost of Revenue","US West",11.0,183131.52,
2023-11-01,"Customer Support","Cost of Revenue","US West",12.0,159605.44,
2023-11-01,"Professional Services","Cost of Revenue","US West",20.0,315277.79,0.7656
2023-11-01,Sales,"Sales & Marketing","US West",17.0,283874.12,
2023-11-01,Marketing,"Sales & Marketing","US West",4.0,52091.6,
2023-11-01,"Product & Engineering","Research & Development","US West",42.0,904947.43,
2023-11-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-11-01,People,"General & Administrative","US West",1.6,17516.14,
2023-11-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-11-01,Executive,"General & Administrative","US West",2.0,70112.54,
2023-12-01,"Cloud Operations","Cost of Revenue","US West",10.0,169311.16,
2023-12-01,"Customer Support","Cost of Revenue","US West",13.0,175310.87,
2023-12-01,"Professional Services","Cost of Revenue","US West",20.0,308541.4,0.6966
2023-12-01,Sales,"Sales & Marketing","US West",17.0,283874.12,
2023-12-01,Marketing,"Sales & Marketing","US West",4.0,52091.6,
2023-12-01,"Product & Engineering","Research & Development","US West",43.0,927572.98,
2023-12-01,Finance,"General & Administrative","US West",1.0,11135.82,
2023-12-01,People,"General & Administrative","US West",1.6,17516.14,
2023-12-01,"Information Technology","General & Administrative","US West",1.0,16549.78,
2023-12-01,Executive,"General & Administrative","US West",2.0,70112.54,
2024-01-01,"Cloud Operations","Cost of Revenue","US West",10.0,175237.04,
2024-01-01,"Customer Support","Cost of Revenue","US West",13.0,181446.75,
2024-01-01,"Professional Services","Cost of Revenue","US West",20.0,319340.36,0.701
2024-01-01,Sales,"Sales & Marketing","US West",17.0,293809.75,
2024-01-01,Marketing,"Sales & Marketing","US West",4.0,53914.79,
2024-01-01,"Product & Engineering","Research & Development","US West",43.0,960038.06,
2024-01-01,Finance,"General & Administrative","US West",1.0,11525.58,
2024-01-01,People,"General & Administrative","US West",1.6,18129.21,
2024-01-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-01-01,Executive,"General & Administrative","US West",2.0,72566.48,
2024-02-01,"Cloud Operations","Cost of Revenue","US West",10.0,175237.04,
2024-02-01,"Customer Support","Cost of Revenue","US West",13.0,181446.75,
2024-02-01,"Professional Services","Cost of Revenue","US West",20.0,319340.36,0.726
2024-02-01,Sales,"Sales & Marketing","US West",17.0,293809.75,
2024-02-01,Marketing,"Sales & Marketing","US West",4.0,53914.79,
2024-02-01,"Product & Engineering","Research & Development","US West",45.0,1018003.93,
2024-02-01,Finance,"General & Administrative","US West",1.0,11525.58,
2024-02-01,People,"General & Administrative","US West",1.6,18129.21,
2024-02-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-02-01,Executive,"General & Administrative","US West",2.0,72566.48,
2024-03-01,"Cloud Operations","Cost of Revenue","US West",10.0,175237.04,
2024-03-01,"Customer Support","Cost of Revenue","US West",13.0,181446.75,
2024-03-01,"Professional Services","Cost of Revenue","US West",20.0,319340.36,0.7543
2024-03-01,Sales,"Sales & Marketing","US West",17.0,293809.75,
2024-03-01,Marketing,"Sales & Marketing","US West",4.0,53914.79,
2024-03-01,"Product & Engineering","Research & Development","US West",46.0,1038624.53,
2024-03-01,Finance,"General & Administrative","US West",1.0,11525.58,
2024-03-01,People,"General & Administrative","US West",1.6,18129.21,
2024-03-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-03-01,Executive,"General & Administrative","US West",2.0,72566.48,
2024-04-01,"Cloud Operations","Cost of Revenue","US West",10.0,175237.04,
2024-04-01,"Customer Support","Cost of Revenue","US West",13.0,181446.75,
2024-04-01,"Professional Services","Cost of Revenue","US West",20.0,319340.36,0.7542
2024-04-01,Sales,"Sales & Marketing","US West",18.0,308079.47,
2024-04-01,Marketing,"Sales & Marketing","US West",4.0,53914.79,
2024-04-01,"Product & Engineering","Research & Development","US West",47.0,1054074.56,
2024-04-01,Finance,"General & Administrative","US West",1.0,11525.58,
2024-04-01,People,"General & Administrative","US West",1.6,18129.21,
2024-04-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-04-01,Executive,"General & Administrative","US West",2.0,72566.48,
2024-05-01,"Cloud Operations","Cost of Revenue","US West",10.0,175237.04,
2024-05-01,"Customer Support","Cost of Revenue","US West",13.0,181446.75,
2024-05-01,"Professional Services","Cost of Revenue","US West",20.0,319340.36,0.7526
2024-05-01,Sales,"Sales & Marketing","US West",18.0,308079.47,
2024-05-01,Marketing,"Sales & Marketing","US West",4.0,53914.79,
2024-05-01,"Product & Engineering","Research & Development","US West",47.0,1054074.56,
2024-05-01,Finance,"General & Administrative","US West",1.0,11525.58,
2024-05-01,People,"General & Administrative","US West",1.6,18129.21,
2024-05-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-05-01,Executive,"General & Administrative","US West",2.0,72566.48,
2024-06-01,"Cloud Operations","Cost of Revenue","US West",10.0,175237.04,
2024-06-01,"Customer Support","Cost of Revenue","US West",13.0,181446.75,
2024-06-01,"Professional Services","Cost of Revenue","US West",20.0,319340.36,0.7692
2024-06-01,Sales,"Sales & Marketing","US West",18.0,308079.47,
2024-06-01,Marketing,"Sales & Marketing","US West",4.0,53914.79,
2024-06-01,"Product & Engineering","Research & Development","US West",46.0,1025115.98,
2024-06-01,Finance,"General & Administrative","US West",1.0,11525.58,
2024-06-01,People,"General & Administrative","US West",1.6,18129.21,
2024-06-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-06-01,Executive,"General & Administrative","US West",2.0,72566.48,
2024-07-01,"Cloud Operations","Cost of Revenue","US West",10.0,175237.04,
2024-07-01,"Customer Support","Cost of Revenue","US West",13.0,181446.75,
2024-07-01,"Professional Services","Cost of Revenue","US West",20.0,319340.36,0.7589
2024-07-01,Sales,"Sales & Marketing","US West",18.0,308079.47,
2024-07-01,Marketing,"Sales & Marketing","US West",5.0,67610.14,
2024-07-01,"Product & Engineering","Research & Development","US West",47.0,1044789.2,
2024-07-01,Finance,"General & Administrative","US West",2.0,25724.95,
2024-07-01,People,"General & Administrative","US West",1.6,18129.21,
2024-07-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-07-01,Executive,"General & Administrative","US West",2.0,72566.48,
2024-08-01,"Cloud Operations","Cost of Revenue","US West",10.0,175237.04,
2024-08-01,"Customer Support","Cost of Revenue","US West",13.0,181446.75,
2024-08-01,"Professional Services","Cost of Revenue","US West",20.0,319340.36,0.7514
2024-08-01,Sales,"Sales & Marketing","US West",20.0,328566.77,
2024-08-01,Marketing,"Sales & Marketing","US West",5.0,67610.14,
2024-08-01,"Product & Engineering","Research & Development","US West",47.6,1052646.48,
2024-08-01,Finance,"General & Administrative","US West",2.0,25724.95,
2024-08-01,People,"General & Administrative","US West",1.6,18129.21,
2024-08-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-08-01,Executive,"General & Administrative","US West",2.0,72566.48,
2024-09-01,"Cloud Operations","Cost of Revenue","US West",10.0,175237.04,
2024-09-01,"Customer Support","Cost of Revenue","US West",13.0,181446.75,
2024-09-01,"Professional Services","Cost of Revenue","US West",19.0,310225.73,0.7367
2024-09-01,Sales,"Sales & Marketing","US West",20.0,328566.77,
2024-09-01,Marketing,"Sales & Marketing","US West",5.0,67610.14,
2024-09-01,"Product & Engineering","Research & Development","US West",46.6,1036140.9,
2024-09-01,Finance,"General & Administrative","US West",2.0,25724.95,
2024-09-01,People,"General & Administrative","US West",1.6,18129.21,
2024-09-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-09-01,Executive,"General & Administrative","US West",2.0,72566.48,
2024-10-01,"Cloud Operations","Cost of Revenue","US West",10.0,175237.04,
2024-10-01,"Customer Support","Cost of Revenue","US West",13.0,181446.75,
2024-10-01,"Professional Services","Cost of Revenue","US West",19.0,310225.73,0.7309
2024-10-01,Sales,"Sales & Marketing","US West",21.0,367235.95,
2024-10-01,Marketing,"Sales & Marketing","US West",6.0,78340.58,
2024-10-01,"Product & Engineering","Research & Development","US West",47.6,1055273.18,
2024-10-01,Finance,"General & Administrative","US West",2.0,25724.95,
2024-10-01,People,"General & Administrative","US West",1.6,18129.21,
2024-10-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-10-01,Executive,"General & Administrative","US West",2.0,72566.48,
2024-11-01,"Cloud Operations","Cost of Revenue","US West",11.0,202817.88,
2024-11-01,"Customer Support","Cost of Revenue","US West",12.0,170647.6,
2024-11-01,"Professional Services","Cost of Revenue","US West",19.0,310225.73,0.7583
2024-11-01,Sales,"Sales & Marketing","US West",21.0,367235.95,
2024-11-01,Marketing,"Sales & Marketing","US West",6.0,78340.58,
2024-11-01,"Product & Engineering","Research & Development","US West",47.6,1055273.18,
2024-11-01,Finance,"General & Administrative","US West",2.0,25724.95,
2024-11-01,People,"General & Administrative","US West",1.6,18129.21,
2024-11-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-11-01,Executive,"General & Administrative","US West",2.0,72566.48,
2024-12-01,"Cloud Operations","Cost of Revenue","US West",11.0,202817.88,
2024-12-01,"Customer Support","Cost of Revenue","US West",12.0,170647.6,
2024-12-01,"Professional Services","Cost of Revenue","US West",19.0,310225.73,0.7163
2024-12-01,Sales,"Sales & Marketing","US West",21.0,367235.95,
2024-12-01,Marketing,"Sales & Marketing","US West",6.0,78340.58,
2024-12-01,"Product & Engineering","Research & Development","US West",47.6,1055273.18,
2024-12-01,Finance,"General & Administrative","US West",2.0,25724.95,
2024-12-01,People,"General & Administrative","US West",1.6,18129.21,
2024-12-01,"Information Technology","General & Administrative","US West",1.0,17129.02,
2024-12-01,Executive,"General & Administrative","US West",2.0,72566.48,
2025-01-01,"Cloud Operations","Cost of Revenue","US West",11.0,209916.51,
2025-01-01,"Customer Support","Cost of Revenue","US West",12.0,176620.27,
2025-01-01,"Professional Services","Cost of Revenue","US West",19.0,321083.63,0.7169
2025-01-01,Sales,"Sales & Marketing","US West",22.0,403667.13,
2025-01-01,Marketing,"Sales & Marketing","US West",6.0,81082.5,
2025-01-01,"Product & Engineering","Research & Development","US West",47.6,1092207.75,
2025-01-01,Finance,"General & Administrative","US West",2.0,26625.32,
2025-01-01,People,"General & Administrative","US West",1.6,18763.74,
2025-01-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-01-01,Executive,"General & Administrative","US West",2.0,75106.31,
2025-02-01,"Cloud Operations","Cost of Revenue","US West",11.0,209916.51,
2025-02-01,"Customer Support","Cost of Revenue","US West",13.0,183186.78,
2025-02-01,"Professional Services","Cost of Revenue","US West",19.0,321083.63,0.7376
2025-02-01,Sales,"Sales & Marketing","US West",22.0,403667.13,
2025-02-01,Marketing,"Sales & Marketing","US West",6.0,81082.5,
2025-02-01,"Product & Engineering","Research & Development","US West",47.6,1092207.75,
2025-02-01,Finance,"General & Administrative","US West",2.0,26625.32,
2025-02-01,People,"General & Administrative","US West",1.6,18763.74,
2025-02-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-02-01,Executive,"General & Administrative","US West",2.0,75106.31,
2025-03-01,"Cloud Operations","Cost of Revenue","US West",11.0,209916.51,
2025-03-01,"Customer Support","Cost of Revenue","US West",13.0,183186.78,
2025-03-01,"Professional Services","Cost of Revenue","US West",19.0,321083.63,0.7737
2025-03-01,Sales,"Sales & Marketing","US West",22.0,403667.13,
2025-03-01,Marketing,"Sales & Marketing","US West",5.0,66907.81,
2025-03-01,"Product & Engineering","Research & Development","US West",47.6,1092207.75,
2025-03-01,Finance,"General & Administrative","US West",2.0,26625.32,
2025-03-01,People,"General & Administrative","US West",1.6,18763.74,
2025-03-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-03-01,Executive,"General & Administrative","US West",2.0,75106.31,
2025-04-01,"Cloud Operations","Cost of Revenue","US West",12.0,230803.4,
2025-04-01,"Customer Support","Cost of Revenue","US West",13.0,183186.78,
2025-04-01,"Professional Services","Cost of Revenue","US West",19.0,321083.63,0.7428
2025-04-01,Sales,"Sales & Marketing","US West",22.0,403667.13,
2025-04-01,Marketing,"Sales & Marketing","US West",5.0,66907.81,
2025-04-01,"Product & Engineering","Research & Development","US West",47.6,1094159.88,
2025-04-01,Finance,"General & Administrative","US West",1.0,11928.97,
2025-04-01,People,"General & Administrative","US West",1.6,18763.74,
2025-04-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-04-01,Executive,"General & Administrative","US West",2.0,75106.31,
2025-05-01,"Cloud Operations","Cost of Revenue","US West",12.0,230803.4,
2025-05-01,"Customer Support","Cost of Revenue","US West",13.0,183186.78,
2025-05-01,"Professional Services","Cost of Revenue","US West",19.0,321083.63,0.7633
2025-05-01,Sales,"Sales & Marketing","US West",22.0,403667.13,
2025-05-01,Marketing,"Sales & Marketing","US West",5.0,66907.81,
2025-05-01,"Product & Engineering","Research & Development","US West",47.6,1094159.88,
2025-05-01,Finance,"General & Administrative","US West",1.0,11928.97,
2025-05-01,People,"General & Administrative","US West",1.6,18763.74,
2025-05-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-05-01,Executive,"General & Administrative","US West",2.0,75106.31,
2025-06-01,"Cloud Operations","Cost of Revenue","US West",12.0,230803.4,
2025-06-01,"Customer Support","Cost of Revenue","US West",13.0,183186.78,
2025-06-01,"Professional Services","Cost of Revenue","US West",18.0,299870.37,0.7391
2025-06-01,Sales,"Sales & Marketing","US West",23.0,420372.79,
2025-06-01,Marketing,"Sales & Marketing","US West",5.0,66907.81,
2025-06-01,"Product & Engineering","Research & Development","US West",47.6,1094159.88,
2025-06-01,Finance,"General & Administrative","US West",1.0,11928.97,
2025-06-01,People,"General & Administrative","US West",1.6,18763.74,
2025-06-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-06-01,Executive,"General & Administrative","US West",2.0,75106.31,
2025-07-01,"Cloud Operations","Cost of Revenue","US West",12.0,230803.4,
2025-07-01,"Customer Support","Cost of Revenue","US West",13.0,183186.78,
2025-07-01,"Professional Services","Cost of Revenue","US West",18.0,299870.37,0.7723
2025-07-01,Sales,"Sales & Marketing","US West",23.0,420372.79,
2025-07-01,Marketing,"Sales & Marketing","US West",5.0,66907.81,
2025-07-01,"Product & Engineering","Research & Development","US West",48.6,1105916.5,
2025-07-01,Finance,"General & Administrative","US West",1.0,11928.97,
2025-07-01,People,"General & Administrative","US West",1.6,18763.74,
2025-07-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-07-01,Executive,"General & Administrative","US West",2.0,75106.31,
2025-08-01,"Cloud Operations","Cost of Revenue","US West",12.0,230803.4,
2025-08-01,"Customer Support","Cost of Revenue","US West",13.0,183186.78,
2025-08-01,"Professional Services","Cost of Revenue","US West",18.0,299870.37,0.7316
2025-08-01,Sales,"Sales & Marketing","US West",23.0,420372.79,
2025-08-01,Marketing,"Sales & Marketing","US West",5.0,66907.81,
2025-08-01,"Product & Engineering","Research & Development","US West",48.6,1105916.5,
2025-08-01,Finance,"General & Administrative","US West",1.0,11928.97,
2025-08-01,People,"General & Administrative","US West",1.6,18763.74,
2025-08-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-08-01,Executive,"General & Administrative","US West",2.0,75106.31,
2025-09-01,"Cloud Operations","Cost of Revenue","US West",12.0,230803.4,
2025-09-01,"Customer Support","Cost of Revenue","US West",13.0,183186.78,
2025-09-01,"Professional Services","Cost of Revenue","US West",18.0,299870.37,0.7505
2025-09-01,Sales,"Sales & Marketing","US West",23.0,420372.79,
2025-09-01,Marketing,"Sales & Marketing","US West",4.0,48482.96,
2025-09-01,"Product & Engineering","Research & Development","US West",48.6,1105916.5,
2025-09-01,Finance,"General & Administrative","US West",1.0,11928.97,
2025-09-01,People,"General & Administrative","US West",1.6,18763.74,
2025-09-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-09-01,Executive,"General & Administrative","US West",2.0,75106.31,
2025-10-01,"Cloud Operations","Cost of Revenue","US West",13.0,241808.17,
2025-10-01,"Customer Support","Cost of Revenue","US West",13.0,183186.78,
2025-10-01,"Professional Services","Cost of Revenue","US West",18.0,299870.37,0.7619
2025-10-01,Sales,"Sales & Marketing","US West",23.0,420372.79,
2025-10-01,Marketing,"Sales & Marketing","US West",4.0,48482.96,
2025-10-01,"Product & Engineering","Research & Development","US West",47.6,1090705.56,
2025-10-01,Finance,"General & Administrative","US West",1.0,11928.97,
2025-10-01,People,"General & Administrative","US West",1.6,18763.74,
2025-10-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-10-01,Executive,"General & Administrative","US West",2.0,75106.31,
2025-11-01,"Cloud Operations","Cost of Revenue","US West",13.0,241808.17,
2025-11-01,"Customer Support","Cost of Revenue","US West",13.0,183186.78,
2025-11-01,"Professional Services","Cost of Revenue","US West",18.0,299870.37,0.7601
2025-11-01,Sales,"Sales & Marketing","US West",23.0,420372.79,
2025-11-01,Marketing,"Sales & Marketing","US West",4.0,48482.96,
2025-11-01,"Product & Engineering","Research & Development","US West",48.6,1102499.24,
2025-11-01,Finance,"General & Administrative","US West",1.0,11928.97,
2025-11-01,People,"General & Administrative","US West",1.6,18763.74,
2025-11-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-11-01,Executive,"General & Administrative","US West",2.0,75106.31,
2025-12-01,"Cloud Operations","Cost of Revenue","US West",13.0,241808.17,
2025-12-01,"Customer Support","Cost of Revenue","US West",13.0,183186.78,
2025-12-01,"Professional Services","Cost of Revenue","US West",18.0,299870.37,0.7072
2025-12-01,Sales,"Sales & Marketing","US West",23.0,420372.79,
2025-12-01,Marketing,"Sales & Marketing","US West",4.0,48482.96,
2025-12-01,"Product & Engineering","Research & Development","US West",48.6,1102499.24,
2025-12-01,Finance,"General & Administrative","US West",1.0,11928.97,
2025-12-01,People,"General & Administrative","US West",1.6,18763.74,
2025-12-01,"Legal & Compliance","General & Administrative","US West",1.0,17508.97,
2025-12-01,"Information Technology","General & Administrative","US West",1.0,17728.54,
2025-12-01,Executive,"General & Administrative","US West",2.0,75106.31,
2026-01-01,"Cloud Operations","Cost of Revenue","US West",13.0,250271.45,
2026-01-01,"Customer Support","Cost of Revenue","US West",13.0,189598.33,
2026-01-01,"Professional Services","Cost of Revenue","US West",18.0,310365.85,0.696
2026-01-01,Sales,"Sales & Marketing","US West",23.0,435085.83,
2026-01-01,Marketing,"Sales & Marketing","US West",4.0,50179.86,
2026-01-01,"Product & Engineering","Research & Development","US West",49.6,1154534.42,
2026-01-01,Finance,"General & Administrative","US West",1.0,12346.49,
2026-01-01,People,"General & Administrative","US West",1.6,19420.47,
2026-01-01,"Legal & Compliance","General & Administrative","US West",1.0,18121.79,
2026-01-01,"Information Technology","General & Administrative","US West",1.0,18349.04,
2026-01-01,Executive,"General & Administrative","US West",2.0,77735.02,
2026-02-01,"Cloud Operations","Cost of Revenue","US West",13.0,250271.45,
2026-02-01,"Customer Support","Cost of Revenue","US West",13.0,189598.33,
2026-02-01,"Professional Services","Cost of Revenue","US West",18.0,310365.85,0.6845
2026-02-01,Sales,"Sales & Marketing","US West",23.0,435085.83,
2026-02-01,Marketing,"Sales & Marketing","US West",4.0,50179.86,
2026-02-01,"Product & Engineering","Research & Development","US West",49.6,1154534.42,
2026-02-01,Finance,"General & Administrative","US West",1.0,12346.49,
2026-02-01,People,"General & Administrative","US West",1.6,19420.47,
2026-02-01,"Legal & Compliance","General & Administrative","US West",1.0,18121.79,
2026-02-01,"Information Technology","General & Administrative","US West",1.0,18349.04,
2026-02-01,Executive,"General & Administrative","US West",2.0,77735.02,
2026-03-01,"Cloud Operations","Cost of Revenue","US West",14.0,268856.38,
2026-03-01,"Customer Support","Cost of Revenue","US West",13.0,189598.33,
2026-03-01,"Professional Services","Cost of Revenue","US West",18.0,310365.85,0.6999
2026-03-01,Sales,"Sales & Marketing","US West",23.0,435085.83,
2026-03-01,Marketing,"Sales & Marketing","US West",4.0,50179.86,
2026-03-01,"Product & Engineering","Research & Development","US West",50.6,1174153.19,
2026-03-01,Finance,"General & Administrative","US West",1.0,12346.49,
2026-03-01,People,"General & Administrative","US West",1.6,19420.47,
2026-03-01,"Legal & Compliance","General & Administrative","US West",1.0,18121.79,
2026-03-01,"Information Technology","General & Administrative","US West",1.0,18349.04,
2026-03-01,Executive,"General & Administrative","US West",2.0,77735.02,
2026-04-01,"Cloud Operations","Cost of Revenue","US West",14.0,268856.38,
2026-04-01,"Customer Support","Cost of Revenue","US West",13.0,189598.33,
2026-04-01,"Professional Services","Cost of Revenue","US West",18.0,310365.85,0.7375
2026-04-01,Sales,"Sales & Marketing","US West",23.0,435085.83,
2026-04-01,Marketing,"Sales & Marketing","US West",4.0,50179.86,
2026-04-01,"Product & Engineering","Research & Development","US West",51.6,1189504.26,
2026-04-01,Finance,"General & Administrative","US West",1.0,12346.49,
