revenue_rank,customer_id,customer_name,segment,industry,region_name,subscription_revenue_usd,services_revenue_usd,total_revenue_usd,revenue_share
28,C0120,"Crescent Logistics 120",Enterprise,"Financial Services",Canada,1443815.97,0.0,1443815.97,0.0105
29,C0035,"Summit Logistics 035",Enterprise,Manufacturing,"US West",1101805.53,338834.17,1440639.7,0.0105
30,C0247,"Crescent Logistics 247",Enterprise,Technology,"US West",1433169.99,0.0,1433169.99,0.0104
31,C0268,"Redwood Foods 268",Enterprise,Energy,"US West",565254.59,836282.33,1401536.92,0.0102
32,C0102,"Ironwood Financial 102",Enterprise,Logistics,"US Central",1385046.84,0.0,1385046.84,0.0101
33,C0253,"Beacon Health 253",Enterprise,"Retail and E-commerce","US West",1346729.08,0.0,1346729.08,0.0098
34,C0046,"Frontier Mobility 046",Enterprise,"Business Services","US Central",1281609.29,0.0,1281609.29,0.0093
35,C0217,"Silverline Mobility 217",Enterprise,"Retail and E-commerce",Canada,1249898.18,0.0,1249898.18,0.0091
36,C0110,"Clearwater Retail 110",Enterprise,Technology,"US West",1249731.32,0.0,1249731.32,0.0091
37,C0245,"Meridian Logistics 245",Enterprise,Manufacturing,"US Central",1207132.65,0.0,1207132.65,0.0088
38,C0080,"Beacon Technology 080",Enterprise,Logistics,"US East",1184796.72,0.0,1184796.72,0.0086
39,C0270,"Summit Retail 270",Enterprise,Technology,"US West",725524.36,448630.55,1174154.91,0.0086
40,C0151,"Pioneer Foods 151",Enterprise,"Business Services","US Central",980632.09,183111.64,1163743.73,0.0085
41,C0265,"Frontier Retail 265",Enterprise,Manufacturing,"US East",1147500.22,0.0,1147500.22,0.0084
42,C0036,"Redwood Education 036",Enterprise,Technology,"US East",1132817.36,0.0,1132817.36,0.0083
43,C0098,"Highland Financial 098",Enterprise,Logistics,"US East",1121717.4,0.0,1121717.4,0.0082
44,C0101,"Lakeview Insurance 101",Enterprise,"Business Services","US West",1093952.36,0.0,1093952.36,0.008
45,C0295,"Beacon Technology 295",Enterprise,Manufacturing,"US East",1058949.48,0.0,1058949.48,0.0077
46,C0236,"Harbor Media 236",Enterprise,Healthcare,"US Central",1058768.84,0.0,1058768.84,0.0077
47,C0073,"Stonegate Foods 073",Enterprise,Healthcare,"US West",722340.23,278169.46,1000509.69,0.0073
48,C0287,"Westbridge Technology 287",Enterprise,"Retail and E-commerce","US East",984701.22,0.0,984701.22,0.0072
49,C0119,"Westbridge Health 119",Enterprise,Technology,"US West",969950.2,0.0,969950.2,0.0071
50,C0071,"Stonegate Insurance 071",Enterprise,"Financial Services","US West",899852.93,64898.78,964751.71,0.007
51,C0249,"Keystone Energy 249",Enterprise,"Business Services","US Central",952380.69,0.0,952380.69,0.0069
52,C0165,"Vantage Health 165",Enterprise,Energy,"US Central",901565.94,0.0,901565.94,0.0066
53,C0072,"Westbridge Energy 072",Enterprise,"Financial Services",Canada,900029.4,0.0,900029.4,0.0066
54,C0123,"Evergreen Media 123",Mid-Market,Logistics,"US West",312243.69,577724.14,889967.83,0.0065
55,C0109,"Pioneer Retail 109",Enterprise,"Business Services","US West",881671.87,0.0,881671.87,0.0064
56,C0290,"BluePeak Energy 290",Enterprise,Healthcare,"US Central",872257.59,0.0,872257.59,0.0064
57,C0291,"Harbor Media 291",Enterprise,Energy,"US East",795762.43,62828.89,858591.32,0.0063
58,C0161,"Stonegate Retail 161",Enterprise,Healthcare,"US Central",846971.04,0.0,846971.04,0.0062
59,C0118,"Nova Retail 118",Enterprise,"Retail and E-commerce","US West",810333.59,0.0,810333.59,0.0059
60,C0135,"BluePeak Education 135",Enterprise,Healthcare,"US West",801497.37,0.0,801497.37,0.0058
61,C0257,"Cedar Media 257",Enterprise,"Financial Services","US West",798226.95,0.0,798226.95,0.0058
62,C0156,"Evergreen Energy 156",Mid-Market,Logistics,"US East",548486.58,230818.72,779305.3,0.0057
63,C0112,"Highland Health 112",Mid-Market,Technology,"US East",541175.58,236632.66,777808.24,0.0057
64,C0040,"Nova Foods 040",Mid-Market,Energy,"US West",237305.27,534127.81,771433.08,0.0056
65,C0064,"Frontier Media 064",Enterprise,Technology,"US West",770243.86,0.0,770243.86,0.0056
66,C0202,"Pioneer Foods 202",Enterprise,Technology,"US West",761373.25,0.0,761373.25,0.0055
67,C0273,"Frontier Education 273",Enterprise,Energy,"US East",754749.52,0.0,754749.52,0.0055
68,C0130,"Frontier Health 130",Enterprise,Technology,"US East",749560.83,0.0,749560.83,0.0055
69,C0017,"Atlas Mobility 017",Enterprise,Logistics,"US Central",739342.55,0.0,739342.55,0.0054
70,C0293,"Vantage Technology 293",Enterprise,Manufacturing,"US Central",691147.99,0.0,691147.99,0.005
71,C0137,"Beacon Technology 137",Enterprise,Technology,"US Central",683812.86,0.0,683812.86,0.005
72,C0233,"Pioneer Logistics 233",Enterprise,Logistics,"US West",669906.44,0.0,669906.44,0.0049
73,C0215,"Westbridge Manufacturing 215",Enterprise,Manufacturing,"US Central",657045.99,0.0,657045.99,0.0048
74,C0266,"Pioneer Financial 266",Enterprise,Energy,"US East",647289.13,0.0,647289.13,0.0047
75,C0174,"BrightPath Education 174",Enterprise,"Business Services","US West",632140.4,0.0,632140.4,0.0046
76,C0223,"Summit Energy 223",Enterprise,"Business Services",Canada,624026.7,0.0,624026.7,0.0045
77,C0296,"Frontier Technology 296",Mid-Market,"Financial Services","US Central",178646.22,437607.9,616254.12,0.0045
78,C0019,"Cedar Retail 019",Enterprise,"Retail and E-commerce","US West",597757.44,0.0,597757.44,0.0044
79,C0004,"Lakeview Education 004",Enterprise,Manufacturing,"US East",582653.9,0.0,582653.9,0.0042
80,C0238,"BluePeak Logistics 238",Mid-Market,Manufacturing,"US East",237727.38,337989.61,575716.99,0.0042
81,C0041,"Pioneer Manufacturing 041",Mid-Market,Logistics,"US West",572955.34,0.0,572955.34,0.0042
82,C0170,"Ironwood Foods 170",Enterprise,Logistics,"US East",559876.94,0.0,559876.94,0.0041
83,C0103,"Stonegate Manufacturing 103",Enterprise,"Retail and E-commerce","US Central",558253.47,0.0,558253.47,0.0041
84,C0031,"Stonegate Energy 031",Enterprise,"Retail and E-commerce","US East",549249.67,0.0,549249.67,0.004
85,C0213,"Oakridge Mobility 213",Mid-Market,Energy,"US West",109875.08,420049.9,529924.98,0.0039
86,C0034,"Westbridge Energy 034",Mid-Market,Manufacturing,"US East",118617.24,396456.57,515073.81,0.0038
87,C0058,"Frontier Manufacturing 058",Enterprise,"Retail and E-commerce","US East",514950.27,0.0,514950.27,0.0038
88,C0127,"BluePeak Education 127",Mid-Market,Energy,"US East",220713.56,259900.91,480614.47,0.0035
89,C0099,"Keystone Logistics 099",SMB,"Financial Services","US West",53535.84,419668.35,473204.19,0.0034
90,C0221,"Ironwood Mobility 221",Enterprise,"Financial Services","US West",469312.47,0.0,469312.47,0.0034
91,C0182,"Summit Education 182",Mid-Market,Energy,"US West",129990.75,312720.73,442711.48,0.0032
92,C0188,"Northstar Technology 188",Mid-Market,Healthcare,"US West",403106.93,0.0,403106.93,0.0029
93,C0093,"Ironwood Financial 093",Enterprise,Manufacturing,Canada,400946.27,0.0,400946.27,0.0029
94,C0049,"Cedar Financial 049",Mid-Market,Logistics,Canada,119319.46,278516.87,397836.33,0.0029
95,C0005,"Stonegate Logistics 005",Mid-Market,Technology,Canada,172254.24,223192.41,395446.65,0.0029
96,C0216,"Vantage Health 216",Mid-Market,Energy,Canada,391530.11,0.0,391530.11,0.0029
97,C0205,"Meridian Retail 205",Mid-Market,Manufacturing,"US East",146934.88,237924.48,384859.36,0.0028
98,C0178,"Cedar Energy 178",Mid-Market,"Business Services","US West",368718.35,0.0,368718.35,0.0027
99,C0280,"Keystone Education 280",Mid-Market,Healthcare,Canada,355665.37,0.0,355665.37,0.0026
100,C0243,"Meridian Health 243",Mid-Market,Technology,"US West",351377.09,0.0,351377.09,0.0026
101,C0085,"Highland Health 085",Mid-Market,Healthcare,"US Central",342308.08,0.0,342308.08,0.0025
102,C0171,"Stonegate Health 171",Mid-Market,"Financial Services","US East",202552.02,138917.57,341469.59,0.0025
103,C0008,"Keystone Mobility 008",Mid-Market,"Business Services","US Central",341070.11,0.0,341070.11,0.0025
104,C0214,"Harbor Energy 214",Mid-Market,Healthcare,"US West",284631.8,51324.25,335956.05,0.0024
105,C0285,"Crescent Technology 285",Mid-Market,Energy,"US Central",80989.03,253816.48,334805.51,0.0024
106,C0159,"Clearwater Technology 159",Mid-Market,Technology,"US Central",332585.36,0.0,332585.36,0.0024
107,C0181,"Summit Financial 181",Mid-Market,Logistics,"US West",119343.87,211394.46,330738.33,0.0024
108,C0117,"Highland Foods 117",Mid-Market,Technology,"US West",204273.26,123964.51,328237.77,0.0024
109,C0175,"Frontier Manufacturing 175",Mid-Market,Manufacturing,"US West",327180.9,0.0,327180.9,0.0024
110,C0154,"Atlas Financial 154",Mid-Market,Logistics,Canada,98188.21,228900.46,327088.67,0.0024
111,C0264,"Westbridge Logistics 264",Mid-Market,Technology,"US West",248286.99,74317.2,322604.19,0.0023
112,C0207,"Vantage Technology 207",Mid-Market,Healthcare,"US West",233764.27,84343.58,318107.85,0.0023
113,C0021,"Atlas Financial 021",Mid-Market,"Financial Services",Canada,314173.32,0.0,314173.32,0.0023
114,C0231,"Highland Retail 231",Mid-Market,Manufacturing,"US East",313910.42,0.0,313910.42,0.0023
115,C0158,"Northstar Education 158",Mid-Market,Logistics,"US West",157804.87,154546.98,312351.85,0.0023
116,C0176,"Cedar Insurance 176",Mid-Market,"Financial Services",Canada,306539.36,0.0,306539.36,0.0022
117,C0133,"Meridian Mobility 133",Mid-Market,"Financial Services","US Central",299183.11,0.0,299183.11,0.0022
118,C0150,"Lakeview Financial 150",Mid-Market,"Business Services","US Central",294637.05,0.0,294637.05,0.0021
119,C0007,"Keystone Retail 007",Mid-Market,Healthcare,"US West",127391.52,162319.53,289711.05,0.0021
120,C0186,"Atlas Technology 186",Enterprise,"Business Services","US East",285939.5,0.0,285939.5,0.0021
121,C0193,"Atlas Media 193",Mid-Market,Manufacturing,"US East",129906.04,154533.41,284439.45,0.0021
122,C0284,"Clearwater Foods 284",Mid-Market,Logistics,"US West",284148.27,0.0,284148.27,0.0021
123,C0162,"Beacon Logistics 162",Mid-Market,Logistics,"US West",280379.05,0.0,280379.05,0.002
124,C0297,"Frontier Health 297",Mid-Market,Technology,"US East",233931.49,45527.06,279458.55,0.002
125,C0063,"Northstar Health 063",Mid-Market,"Retail and E-commerce","US Central",278358.95,0.0,278358.95,0.002
126,C0140,"Stonegate Insurance 140",Mid-Market,Healthcare,"US West",276936.67,0.0,276936.67,0.002
127,C0020,"BrightPath Foods 020",Mid-Market,Energy,"US West",145425.72,130676.69,276102.41,0.002
128,C0045,"Redwood Insurance 045",Mid-Market,Technology,"US West",221500.0,53748.42,275248.42,0.002
129,C0157,"Clearwater Health 157",Mid-Market,"Retail and E-commerce",Canada,272397.91,0.0,272397.91,0.002
130,C0228,"Silverline Mobility 228",Mid-Market,Logistics,"US West",205747.19,64352.43,270099.62,0.002
131,C0167,"Clearwater Education 167",Enterprise,Technology,"US Central",270071.9,0.0,270071.9,0.002
132,C0122,"Atlas Foods 122",Mid-Market,Technology,"US West",206032.61,62865.24,268897.85,0.002
133,C0242,"Crescent Financial 242",Mid-Market,Manufacturing,"US Central",267400.2,0.0,267400.2,0.0019
134,C0246,"BluePeak Mobility 246",SMB,Manufacturing,"US East",47461.12,218141.39,265602.51,0.0019
135,C0164,"Meridian Foods 164",Mid-Market,Manufacturing,"US East",260459.37,0.0,260459.37,0.0019
136,C0057,"Meridian Technology 057",Mid-Market,"Retail and E-commerce","US West",137312.17,118806.33,256118.5,0.0019
137,C0241,"Pioneer Media 241",Mid-Market,Energy,"US West",132694.33,122978.03,255672.36,0.0019
138,C0032,"Redwood Insurance 032",Mid-Market,Technology,Canada,252388.32,0.0,252388.32,0.0018
139,C0053,"Cedar Manufacturing 053",Mid-Market,Manufacturing,"US West",250951.25,0.0,250951.25,0.0018
140,C0097,"Westbridge Insurance 097",Mid-Market,"Financial Services","US East",235569.49,0.0,235569.49,0.0017
141,C0095,"BrightPath Technology 095",Mid-Market,Healthcare,"US East",205100.49,28732.23,233832.72,0.0017
142,C0248,"Westbridge Mobility 248",Mid-Market,Manufacturing,"US Central",229530.19,0.0,229530.19,0.0017
143,C0047,"Northstar Retail 047",Mid-Market,"Financial Services","US Central",224612.41,0.0,224612.41,0.0016
144,C0068,"Westbridge Logistics 068",Mid-Market,Manufacturing,"US East",222490.5,0.0,222490.5,0.0016
145,C0018,"Cedar Insurance 018",SMB,Energy,"US West",37328.26,179889.16,217217.42,0.0016
146,C0259,"Clearwater Retail 259",Mid-Market,"Financial Services","US East",216404.85,0.0,216404.85,0.0016
147,C0152,"Meridian Logistics 152",Mid-Market,"Retail and E-commerce","US West",155092.06,58820.88,213912.94,0.0016
148,C0060,"Oakridge Energy 060",Mid-Market,Energy,"US West",213810.01,0.0,213810.01,0.0016
149,C0172,"Stonegate Manufacturing 172",Mid-Market,"Business Services",Canada,213323.64,0.0,213323.64,0.0016
150,C0160,"Lakeview Logistics 160",Mid-Market,"Financial Services","US West",210361.62,0.0,210361.62,0.0015
151,C0168,"Crescent Mobility 168",Mid-Market,Energy,"US Central",209635.55,0.0,209635.55,0.0015
152,C0237,"Vantage Media 237",Mid-Market,Manufacturing,"US East",208580.25,0.0,208580.25,0.0015
153,C0084,"BluePeak Retail 084",SMB,Logistics,"US Central",38211.85,169909.22,208121.07,0.0015
154,C0083,"Crescent Mobility 083",SMB,Manufacturing,"US East",51084.77,153758.68,204843.45,0.0015
155,C0139,"Redwood Foods 139",Mid-Market,Technology,"US Central",200403.62,0.0,200403.62,0.0015
156,C0086,"Crescent Manufacturing 086",Mid-Market,Healthcare,"US East",199711.0,0.0,199711.0,0.0015
157,C0272,"Harbor Health 272",Mid-Market,Energy,Canada,199317.63,0.0,199317.63,0.0015
158,C0222,"Silverline Retail 222",Mid-Market,"Retail and E-commerce","US East",195320.02,0.0,195320.02,0.0014
159,C0209,"Pioneer Manufacturing 209",Mid-Market,Technology,"US West",195047.36,0.0,195047.36,0.0014
160,C0227,"Crescent Media 227",Mid-Market,Energy,"US East",190769.45,0.0,190769.45,0.0014
161,C0077,"Atlas Insurance 077",Mid-Market,Technology,Canada,185933.27,0.0,185933.27,0.0014
162,C0180,"BrightPath Manufacturing 180",Mid-Market,"Business Services","US Central",182149.34,0.0,182149.34,0.0013
163,C0012,"Vantage Media 012",Mid-Market,Logistics,Canada,181113.87,0.0,181113.87,0.0013
164,C0116,"Oakridge Education 116",Mid-Market,Energy,"US Central",179215.08,0.0,179215.08,0.0013
165,C0087,"BluePeak Energy 087",Mid-Market,"Business Services","US Central",178660.41,0.0,178660.41,0.0013
166,C0141,"Ironwood Foods 141",Mid-Market,Technology,"US East",177733.82,0.0,177733.82,0.0013
167,C0048,"BluePeak Insurance 048",Mid-Market,Manufacturing,"US West",175740.16,0.0,175740.16,0.0013
168,C0061,"Redwood Mobility 061",Mid-Market,Energy,"US West",175356.53,0.0,175356.53,0.0013
169,C0147,"Summit Health 147",Mid-Market,Technology,"US West",173350.2,0.0,173350.2,0.0013
170,C0289,"Evergreen Media 289",Mid-Market,"Financial Services",Canada,170075.61,0.0,170075.61,0.0012
171,C0132,"Nova Insurance 132",Mid-Market,Logistics,Canada,167371.84,0.0,167371.84,0.0012
172,C0230,"Summit Retail 230",Mid-Market,Energy,"US East",166478.54,0.0,166478.54,0.0012
173,C0220,"BrightPath Financial 220",Mid-Market,"Financial Services","US West",166432.78,0.0,166432.78,0.0012
174,C0148,"BluePeak Foods 148",Mid-Market,Logistics,"US Central",164223.81,0.0,164223.81,0.0012
175,C0203,"Cedar Health 203",Mid-Market,"Business Services","US East",163267.1,0.0,163267.1,0.0012
176,C0145,"Keystone Logistics 145",Mid-Market,Energy,"US Central",159263.38,0.0,159263.38,0.0012
177,C0208,"Meridian Media 208",Mid-Market,Manufacturing,"US Central",158019.06,0.0,158019.06,0.0012
178,C0206,"Evergreen Technology 206",Mid-Market,Energy,"US East",157499.65,0.0,157499.65,0.0011
179,C0195,"Crescent Energy 195",Mid-Market,Healthcare,"US Central",156549.23,0.0,156549.23,0.0011
180,C0292,"Vantage Foods 292",Mid-Market,Logistics,Canada,151638.59,0.0,151638.59,0.0011
181,C0052,"Oakridge Education 052",Mid-Market,Healthcare,Canada,149457.42,0.0,149457.42,0.0011
182,C0056,"Pioneer Retail 056",Mid-Market,Manufacturing,Canada,148430.66,0.0,148430.66,0.0011
183,C0033,"Summit Foods 033",Mid-Market,Technology,"US West",148172.32,0.0,148172.32,0.0011
184,C0282,"BrightPath Retail 282",Mid-Market,Healthcare,"US West",147706.3,0.0,147706.3,0.0011
185,C0275,"Silverline Health 275",Mid-Market,"Financial Services","US East",130644.19,15168.11,145812.3,0.0011
186,C0029,"Lakeview Manufacturing 029",Mid-Market,Healthcare,Canada,124991.13,20593.87,145585.0,0.0011
187,C0044,"Frontier Manufacturing 044",SMB,"Business Services","US West",53249.71,90604.34,143854.05,0.001
188,C0006,"Lakeview Retail 006",Mid-Market,Technology,"US West",141895.68,0.0,141895.68,0.001
189,C0136,"Oakridge Education 136",Mid-Market,"Retail and E-commerce","US Central",137262.84,0.0,137262.84,0.001
190,C0298,"Highland Media 298",Mid-Market,Logistics,Canada,136408.82,0.0,136408.82,0.001
191,C0155,"Frontier Logistics 155",Mid-Market,"Retail and E-commerce","US Central",135362.69,0.0,135362.69,0.001
192,C0050,"Harbor Financial 050",SMB,Manufacturing,Canada,51222.63,82829.67,134052.3,0.001
193,C0173,"Northstar Insurance 173",Mid-Market,"Retail and E-commerce","US West",133811.01,0.0,133811.01,0.001
194,C0185,"Oakridge Media 185",SMB,"Financial Services","US West",52612.08,78812.02,131424.1,0.001
195,C0059,"Nova Technology 059",Mid-Market,Technology,"US West",131366.96,0.0,131366.96,0.001
196,C0260,"Keystone Mobility 260",Mid-Market,Energy,"US East",130784.65,0.0,130784.65,0.001
197,C0013,"Frontier Logistics 013",Mid-Market,Healthcare,"US Central",129798.94,0.0,129798.94,0.0009
198,C0022,"Redwood Foods 022",Mid-Market,Manufacturing,"US West",128696.15,0.0,128696.15,0.0009
199,C0251,"Ironwood Health 251",SMB,Energy,"US Central",42183.18,86160.67,128343.85,0.0009
200,C0066,"Atlas Financial 066",SMB,"Financial Services",Canada,48669.84,78191.47,126861.31,0.0009
201,C0038,"Ironwood Logistics 038",Mid-Market,Energy,"US East",125652.09,0.0,125652.09,0.0009
202,C0024,"Northstar Technology 024",Mid-Market,Energy,"US East",125238.92,0.0,125238.92,0.0009
203,C0177,"Ironwood Foods 177",Mid-Market,"Financial Services",Canada,121044.62,0.0,121044.62,0.0009
204,C0100,"BluePeak Education 100",SMB,Technology,"US West",60909.34,59626.45,120535.79,0.0009
205,C0026,"Northstar Energy 026",SMB,Logistics,"US East",80806.83,36583.38,117390.21,0.0009
206,C0089,"Summit Media 089",Mid-Market,Manufacturing,"US West",116933.71,0.0,116933.71,0.0009
207,C0011,"Highland Mobility 011",SMB,"Financial Services","US West",57373.11,54140.67,111513.78,0.0008
208,C0250,"Nova Insurance 250",SMB,Energy,Canada,66311.22,41187.1,107498.32,0.0008
209,C0078,"Redwood Energy 078",Mid-Market,Manufacturing,"US West",106934.84,0.0,106934.84,0.0008
210,C0184,"BluePeak Logistics 184",Mid-Market,Technology,Canada,106056.61,0.0,106056.61,0.0008
211,C0254,"Meridian Retail 254",Mid-Market,Healthcare,"US West",104508.0,0.0,104508.0,0.0008
212,C0212,"Lakeview Financial 212",SMB,Technology,"US Central",102296.72,0.0,102296.72,0.0007
213,C0043,"Vantage Foods 043",Mid-Market,"Retail and E-commerce","US East",98415.96,0.0,98415.96,0.0007
214,C0142,"Redwood Retail 142",SMB,"Financial Services","US West",96193.08,0.0,96193.08,0.0007
215,C0281,"Westbridge Education 281",Mid-Market,Manufacturing,"US West",92310.6,0.0,92310.6,0.0007
216,C0076,"BluePeak Energy 076",Mid-Market,Logistics,"US Central",92069.56,0.0,92069.56,0.0007
217,C0219,"Silverline Health 219",Mid-Market,Logistics,"US East",90974.73,0.0,90974.73,0.0007
218,C0256,"Westbridge Media 256",Mid-Market,Technology,"US West",89084.51,0.0,89084.51,0.0006
219,C0276,"Highland Technology 276",SMB,"Business Services","US East",50503.06,35729.43,86232.49,0.0006
220,C0091,"Lakeview Financial 091",Enterprise,"Business Services","US Central",85560.23,0.0,85560.23,0.0006
221,C0054,"Cedar Technology 054",Mid-Market,"Financial Services","US East",85470.74,0.0,85470.74,0.0006
222,C0153,"Meridian Logistics 153",SMB,"Business Services","US East",83847.38,0.0,83847.38,0.0006
223,C0134,"BrightPath Mobility 134",SMB,Healthcare,"US Central",79923.54,0.0,79923.54,0.0006
224,C0258,"Frontier Media 258",Mid-Market,Manufacturing,"US East",77512.37,0.0,77512.37,0.0006
225,C0263,"Evergreen Energy 263",Mid-Market,"Retail and E-commerce","US West",76225.11,0.0,76225.11,0.0006
226,C0002,"Crescent Health 002",Mid-Market,Healthcare,"US East",75552.74,0.0,75552.74,0.0006
227,C0189,"Redwood Insurance 189",Mid-Market,Energy,"US West",74793.62,0.0,74793.62,0.0005
228,C0286,"BluePeak Foods 286",Mid-Market,"Retail and E-commerce","US West",72512.37,0.0,72512.37,0.0005
229,C0138,"Pioneer Mobility 138",SMB,Healthcare,"US Central",71634.03,0.0,71634.03,0.0005
230,C0067,"Crescent Manufacturing 067",SMB,Energy,"US East",70517.66,0.0,70517.66,0.0005
231,C0199,"Clearwater Health 199",SMB,Manufacturing,Canada,68661.12,0.0,68661.12,0.0005
232,C0240,"Evergreen Health 240",SMB,"Business Services",Canada,64995.62,0.0,64995.62,0.0005
233,C0082,"Lakeview Energy 082",SMB,"Business Services","US West",63575.94,0.0,63575.94,0.0005
234,C0191,"Lakeview Energy 191",SMB,"Financial Services","US Central",63189.54,0.0,63189.54,0.0005
235,C0252,"Highland Retail 252",SMB,"Retail and E-commerce","US West",62942.61,0.0,62942.61,0.0005
236,C0009,"Westbridge Technology 009",SMB,"Retail and E-commerce","US West",60918.91,0.0,60918.91,0.0004
237,C0107,"Atlas Retail 107",SMB,Healthcare,"US Central",22251.87,36933.09,59184.96,0.0004
238,C0121,"Crescent Foods 121",Mid-Market,"Financial Services","US Central",58292.85,0.0,58292.85,0.0004
239,C0224,"Clearwater Education 224",SMB,Healthcare,"US West",35053.29,22835.78,57889.07,0.0004
240,C0062,"BluePeak Media 062",SMB,Healthcare,"US East",57055.15,0.0,57055.15,0.0004
241,C0124,"Silverline Energy 124",SMB,Energy,"US Central",55736.51,0.0,55736.51,0.0004
242,C0126,"Beacon Health 126",SMB,Energy,"US East",54842.64,0.0,54842.64,0.0004
243,C0144,"Lakeview Retail 144",SMB,Technology,"US Central",54413.56,0.0,54413.56,0.0004
244,C0232,"Summit Logistics 232",SMB,Energy,"US West",52480.71,0.0,52480.71,0.0004
245,C0261,"Summit Energy 261",SMB,"Business Services","US East",50455.13,0.0,50455.13,0.0004
246,C0096,"Silverline Energy 096",SMB,Logistics,"US West",49437.42,0.0,49437.42,0.0004
247,C0128,"Pioneer Health 128",SMB,"Business Services","US Central",47024.1,0.0,47024.1,0.0003
248,C0267,"Evergreen Foods 267",SMB,Healthcare,"US East",46803.73,0.0,46803.73,0.0003
249,C0025,"Redwood Health 025",SMB,Manufacturing,"US West",46495.12,0.0,46495.12,0.0003
250,C0003,"Ironwood Media 003",SMB,"Retail and E-commerce","US Central",46279.78,0.0,46279.78,0.0003
251,C0274,"Evergreen Education 274",SMB,Manufacturing,"US East",45661.64,0.0,45661.64,0.0003
252,C0239,"Silverline Health 239",Enterprise,"Retail and E-commerce",Canada,45441.24,0.0,45441.24,0.0003
253,C0255,"Pioneer Health 255",Mid-Market,"Business Services","US West",44556.34,0.0,44556.34,0.0003
254,C0244,"Ironwood Mobility 244",SMB,Energy,"US East",44133.89,0.0,44133.89,0.0003
255,C0196,"Summit Education 196",SMB,Energy,"US West",42199.21,0.0,42199.21,0.0003
256,C0183,"Clearwater Education 183",SMB,Manufacturing,"US East",32138.7,8641.53,40780.23,0.0003
257,C0277,"Ironwood Technology 277",SMB,Energy,"US West",40621.76,0.0,40621.76,0.0003
258,C0065,"Stonegate Logistics 065",SMB,"Business Services","US West",39638.69,0.0,39638.69,0.0003
259,C0166,"Cedar Manufacturing 166",SMB,Logistics,"US Central",39351.07,0.0,39351.07,0.0003
260,C0055,"Cedar Foods 055",SMB,"Financial Services","US West",39124.17,0.0,39124.17,0.0003
261,C0187,"Frontier Education 187",SMB,Logistics,"US West",38828.03,0.0,38828.03,0.0003
