month_start,scenario,subscription_revenue_usd,services_revenue_usd,total_revenue_usd,cost_of_subscription_usd,cost_of_services_usd,gross_profit_usd,gross_margin_pct,sales_marketing_usd,research_development_usd,general_administrative_usd,adjusted_ebitda_usd,adjusted_ebitda_margin_pct,depreciation_amortization_usd,operating_income_usd
2025-07-01,Actual,9246914.88,1368624.91,10615539.79,2101611.18,1167421.22,7346507.39,0.6921,2362533.1,2381982.59,1628885.9,973105.8,0.0917,191079.72,782026.08
2025-08-01,Actual,9335581.33,1694764.42,11030345.75,2138609.91,1173477.23,7718258.61,0.6997,2402820.33,2421228.9,1665509.39,1228699.99,0.1114,198546.22,1030153.77
2025-09-01,Actual,9452391.09,1738271.54,11190662.63,2144591.13,1188788.13,7857283.37,0.7021,2395917.9,2438291.22,1645525.54,1377548.71,0.1231,201431.93,1176116.78
2025-10-01,Actual,9526175.2,2214499.16,11740674.36,2163718.7,1208044.08,8368911.58,0.7128,2574249.37,2402860.81,1666406.03,1725395.37,0.147,211332.14,1514063.23
2025-11-01,Actual,9545415.48,2410504.21,11955919.69,2157011.75,1180341.18,8618566.76,0.7209,2596130.22,2433488.91,1671794.91,1917152.72,0.1604,215206.55,1701946.17
2025-12-01,Actual,9606214.62,1577135.66,11183350.28,2192345.28,1155602.48,7835402.52,0.7006,2563315.45,2420851.72,1633136.89,1218098.46,0.1089,201300.31,1016798.15
2026-01-01,Actual,9723598.24,1668592.53,11392190.77,2269755.03,1228811.8,7893623.94,0.6929,2603511.97,2558144.16,1781737.32,950230.49,0.0834,205059.43,745171.06
2026-01-01,Budget,9964981.12,2289609.48,12254590.6,2185030.54,1398494.26,8671065.8,0.7076,2678482.0,2616029.6,1797733.04,1578821.16,0.1288,206975.9,1371845.26
2026-01-01,"Q2 Forecast",9723598.24,1668592.53,11392190.77,2269755.03,1228811.8,7893623.94,0.6929,2603511.97,2558144.16,1781737.32,950230.49,0.0834,205059.43,745171.06
2026-02-01,Actual,9872349.5,1821056.82,11693406.32,2295336.31,1227088.8,8170981.21,0.6988,2599615.61,2597812.04,1753583.18,1219970.38,0.1043,210481.31,1009489.07
2026-02-01,Budget,10056454.75,2532217.95,12588672.7,2210715.4,1438065.35,8939891.95,0.7102,2699862.33,2630696.6,1840471.09,1768861.93,0.1405,212724.53,1556137.4
2026-02-01,"Q2 Forecast",9872349.5,1821056.82,11693406.32,2295336.31,1227088.8,8170981.21,0.6988,2599615.61,2597812.04,1753583.18,1219970.38,0.1043,210481.31,1009489.07
2026-03-01,Actual,9961728.13,1637203.81,11598931.94,2323179.24,1198377.77,8077374.93,0.6964,2596502.11,2620733.02,1719342.31,1140797.49,0.0984,208780.77,932016.72
2026-03-01,Budget,10146947.31,2212102.07,12359049.38,2219384.99,1369038.47,8770625.92,0.7097,2688699.01,2657946.91,1884982.68,1538997.32,0.1245,208683.06,1330314.26
2026-03-01,"Q2 Forecast",9961728.13,1637203.81,11598931.94,2323179.24,1198377.77,8077374.93,0.6964,2596502.11,2620733.02,1719342.31,1140797.49,0.0984,208780.77,932016.72
2026-04-01,Actual,9869587.73,1650055.73,11519643.46,2285253.93,1204631.87,8029757.66,0.697,2527217.5,2637119.45,1675117.74,1190302.97,0.1033,207353.58,982949.39
2026-04-01,Budget,10253582.33,1795626.51,12049208.84,2234085.26,1317047.24,8498076.34,0.7053,2590420.92,2693010.22,1737342.89,1477302.31,0.1226,203238.84,1274063.47
2026-04-01,"Q2 Forecast",9869587.73,1650055.73,11519643.46,2285253.93,1204631.87,8029757.66,0.697,2527217.5,2637119.45,1675117.74,1190302.97,0.1033,207353.58,982949.39
2026-05-01,Actual,9862711.13,1974030.18,11836741.31,2205052.97,1240229.52,8391458.82,0.7089,2547228.54,2637088.51,1737324.02,1469817.75,0.1242,213061.34,1256756.41
2026-05-01,Budget,10479938.61,1507650.92,11987589.53,2259097.18,1287739.81,8440752.54,0.7041,2624301.57,2693977.03,1745314.96,1377158.98,0.1149,202035.33,1175123.65
2026-05-01,"Q2 Forecast",9862711.13,1974030.18,11836741.31,2205052.97,1240229.52,8391458.82,0.7089,2547228.54,2637088.51,1737324.02,1469817.75,0.1242,213061.34,1256756.41
2026-06-01,Actual,9876052.54,1649060.86,11525113.4,2193959.09,1210258.41,8120895.9,0.7046,2553505.27,2611375.29,1720913.82,1235101.52,0.1072,207452.04,1027649.48
2026-06-01,Budget,10763457.87,1628461.07,12391918.94,2306113.26,1280272.04,8805533.64,0.7106,2670866.96,2695187.98,1820651.35,1618827.35,0.1306,208890.97,1409936.38
2026-06-01,"Q2 Forecast",9876052.54,1649060.86,11525113.4,2193959.09,1210258.41,8120895.9,0.7046,2553505.27,2611375.29,1720913.82,1235101.52,0.1072,207452.04,1027649.48
2026-07-01,Budget,10911359.56,1560232.39,12471591.95,2325516.78,1292607.7,8853467.47,0.7099,2664113.88,2710672.33,1782920.51,1695760.75,0.136,210187.69,1485573.06
2026-07-01,"Q2 Forecast",10420348.38,1435413.79,11855762.17,2212919.65,1235997.97,8406844.55,0.7091,2577312.8,2595395.02,1770746.54,1463390.19,0.1234,208085.81,1255304.38
2026-08-01,Budget,11015985.97,1932031.43,12948017.4,2366431.41,1299316.25,9282269.74,0.7169,2709451.54,2755347.16,1824892.77,1992578.27,0.1539,218400.84,1774177.43
2026-08-01,"Q2 Forecast",10520266.6,1780047.06,12300313.66,2251702.57,1242320.4,8806290.69,0.7159,2621595.57,2638151.85,1805469.41,1741073.86,0.1415,216216.83,1524857.03
2026-09-01,Budget,11153821.49,1981629.56,13135451.05,2373081.54,1315760.04,9446609.47,0.7192,2701992.63,2774758.68,1800392.62,2169465.54,0.1652,221575.12,1947890.42
2026-09-01,"Q2 Forecast",10651899.52,1823099.21,12474998.73,2257913.09,1258372.07,8958713.57,0.7181,2614498.07,2656745.19,1791293.54,1896176.77,0.152,219359.37,1676817.4
2026-10-01,Budget,11240886.73,2524529.04,13765415.77,2394243.34,1336947.87,10034224.56,0.7289,2898968.2,2734419.37,1824871.38,2575965.61,0.1871,232465.35,2343500.26
2026-10-01,"Q2 Forecast",10735046.83,2322566.72,13057613.55,2277237.92,1278692.21,9501683.42,0.7277,2813471.86,2618149.23,1809871.9,2260190.43,0.1731,230140.7,2030049.73
2026-11-01,Budget,11263590.26,2747974.81,14011565.07,2386838.88,1305780.62,10318945.57,0.7365,2923355.52,2769246.67,1833552.39,2792790.99,0.1993,236727.21,2556063.78
2026-11-01,"Q2 Forecast",10756728.7,2528136.83,13284865.53,2271201.4,1249125.89,9764538.24,0.735,2837530.38,2651533.52,1807870.59,2467603.75,0.1857,234359.94,2233243.81
2026-12-01,Budget,11335333.26,1797934.65,13133267.91,2425903.7,1278967.78,9428396.43,0.7179,2887004.51,2754863.79,1788930.39,1997597.74,0.1521,221430.34,1776167.4
2026-12-01,"Q2 Forecast",10825243.26,1654099.88,12479343.14,2308262.83,1223221.99,8947858.32,0.717,2800579.28,2637764.95,1772213.85,1737300.24,0.1392,219216.04,1518084.2
